,trace,day,type
0,0,29,School screening
1,1,15,School screening
2,2,0,-
3,3,15,School screening
4,4,22,School screening
5,5,15,School screening
6,6,15,School screening
7,7,22,School screening
8,8,1,School screening
9,9,15,School screening
10,10,0,-
11,11,29,School screening
12,12,15,School screening
13,13,8,School screening
14,14,15,School screening
15,15,8,School screening
16,16,15,School screening
17,17,22,School screening
18,18,15,School screening
19,19,0,-
20,20,29,School screening
21,21,8,School screening
22,22,8,School screening
23,23,22,School screening
24,24,8,School screening
25,25,0,-
26,26,22,School screening
27,27,15,School screening
28,28,22,School screening
29,29,1,School screening
30,30,8,School screening
31,31,15,School screening
32,32,1,School screening
33,33,15,School screening
34,34,8,School screening
35,35,15,School screening
36,36,22,School screening
37,37,8,School screening
38,38,8,School screening
39,39,8,School screening
40,40,1,School screening
41,41,15,School screening
42,42,29,School screening
43,43,8,School screening
44,44,8,School screening
45,45,1,School screening
46,46,8,School screening
47,47,22,School screening
48,48,8,School screening
49,49,15,School screening
50,50,15,School screening
51,51,8,School screening
52,52,1,School screening
53,53,15,School screening
54,54,29,School screening
55,55,29,School screening
56,56,8,School screening
57,57,22,School screening
58,58,15,School screening
59,59,1,School screening
60,60,15,School screening
61,61,15,School screening
62,62,29,School screening
63,63,8,School screening
64,64,0,-
65,65,29,School screening
66,66,8,School screening
67,67,15,School screening
68,68,15,School screening
69,69,8,School screening
70,70,8,School screening
71,71,8,School screening
72,72,8,School screening
73,73,15,School screening
74,74,15,School screening
75,75,15,School screening
76,76,0,-
77,77,0,-
78,78,8,School screening
79,79,15,School screening
80,80,29,School screening
81,81,8,School screening
82,82,8,School screening
83,83,1,School screening
84,84,8,School screening
85,85,22,School screening
86,86,8,School screening
87,87,1,School screening
88,88,8,School screening
89,89,15,School screening
90,90,22,School screening
91,91,22,School screening
92,92,8,School screening
93,93,22,School screening
94,94,1,School screening
95,95,8,School screening
96,96,1,School screening
97,97,15,School screening
98,98,8,School screening
99,99,15,School screening
100,100,15,School screening
101,101,22,School screening
102,102,8,School screening
103,103,15,School screening
