,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,238.1672,0.8328,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
2,2.0000,237.3253,1.4314,1.0931,0.1502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8949
3,3.0000,236.3493,2.0160,1.3383,0.2963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8559
4,4.0000,229.9570,1.5335,0.8739,0.3684,5.7377,0.5586,0.8659,0.1051,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.4414,0.0000,0.0000,0.3634,0.8839
5,5.0000,229.1742,1.8679,1.2032,0.4875,5.7377,0.4164,0.9099,0.2032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.4414,0.0000,0.0000,0.3634,0.9219
6,6.0000,229.1742,1.3173,1.5986,0.6426,5.7377,0.3153,0.9019,0.3123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.4414,0.0000,0.0000,0.3634,0.9650
7,7.0000,229.1742,0.9630,1.7407,0.8549,5.7377,0.2332,0.8569,0.4394,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.4414,0.0000,0.0000,0.3634,0.9690
8,8.0000,228.1181,1.7277,1.7958,1.0911,5.7377,0.1722,0.8098,0.5475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.4414,0.0000,0.0000,0.3634,0.9760
9,9.0000,227.0390,2.3003,2.0551,1.3383,5.7377,0.1331,0.7327,0.6637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.4414,0.0000,0.0000,0.3634,0.9950
10,10.0000,225.9349,2.7618,2.4404,1.5956,5.7377,0.0881,0.6867,0.7548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.4414,0.0000,0.0000,0.3634,1.0410
11,11.0000,221.1041,1.1772,0.7868,0.7558,10.1882,1.2402,2.7808,1.9670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.1832,0.0000,0.0000,1.1331,0.0000,0.0000,0.8088,1.0981
