,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,238.1882,0.8118,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
2,2.0000,236.0410,1.2963,0.9870,0.1341,1.3934,0.0460,0.0991,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.1712,0.0000,0.0000,0.0771,0.0000,0.0000,0.0771,0.9059
3,3.0000,235.1421,1.8048,1.2422,0.2693,1.3934,0.0400,0.0921,0.0160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.1712,0.0000,0.0000,0.0771,0.0000,0.0000,0.0771,0.8889
4,4.0000,234.0561,2.3824,1.5786,0.4414,1.3934,0.0340,0.0891,0.0250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.1712,0.0000,0.0000,0.0771,0.0000,0.0000,0.0771,0.9009
5,5.0000,232.8088,2.9409,2.0621,0.6466,1.3934,0.0240,0.0891,0.0350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.1712,0.0000,0.0000,0.0771,0.0000,0.0000,0.0771,0.9289
6,6.0000,232.8088,2.0971,2.6386,0.9139,1.3934,0.0110,0.0891,0.0480,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.1712,0.0000,0.0000,0.0771,0.0000,0.0000,0.0771,0.9850
7,7.0000,232.8088,1.5075,2.8529,1.2893,1.3934,0.0070,0.0821,0.0591,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.1712,0.0000,0.0000,0.0771,0.0000,0.0000,0.0771,0.9980
8,8.0000,231.2743,2.6326,2.8859,1.6657,1.3934,0.0070,0.0681,0.0731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.1712,0.0000,0.0000,0.0771,0.0000,0.0000,0.0771,1.0000
9,9.0000,227.9389,2.6486,2.3904,1.6366,3.5736,0.3864,0.9359,0.4895,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9499,0.0000,0.0000,0.2753,0.0000,0.0000,0.2693,1.0511
10,10.0000,226.6326,3.2052,2.8058,1.9710,3.5736,0.2903,0.9149,0.6066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9499,0.0000,0.0000,0.2753,0.0000,0.0000,0.2693,1.1101
11,11.0000,225.3514,3.5936,3.3463,2.3233,3.5736,0.2152,0.8589,0.7377,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9499,0.0000,0.0000,0.2753,0.0000,0.0000,0.2693,1.1792
12,12.0000,223.9149,4.0541,3.8779,2.7678,3.5736,0.1552,0.8058,0.8509,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9499,0.0000,0.0000,0.2753,0.0000,0.0000,0.2693,1.2673
13,13.0000,223.9149,2.8779,4.5125,3.3093,3.5736,0.1171,0.7307,0.9640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9499,0.0000,0.0000,0.2753,0.0000,0.0000,0.2693,1.3654
14,14.0000,223.9149,2.0561,4.7117,3.9319,3.5736,0.0871,0.6537,1.0711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9499,0.0000,0.0000,0.2753,0.0000,0.0000,0.2693,1.3984
15,15.0000,222.2252,3.1692,4.6296,4.5906,3.5736,0.0571,0.5936,1.1612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9499,0.0000,0.0000,0.2753,0.0000,0.0000,0.2693,1.4104
16,16.0000,220.3203,2.9540,3.3694,3.9469,4.2893,0.5576,2.0631,2.4995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.7928,0.0000,0.0000,0.5666,0.0000,0.0000,0.4705,1.4414
17,17.0000,219.0621,3.3574,3.7908,4.3804,4.2893,0.3914,1.9570,2.7718,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.7928,0.0000,0.0000,0.5666,0.0000,0.0000,0.4705,1.5205
