,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,0.8408,0.8408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,2,60.3137,1.4887,0.4342,0.1223,63.1681,0.1615,0.4221,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2253,0.0000,0.0000,0.1909,0.1162
3,3,56.0896,2.5469,0.9688,0.1957,63.1681,0.1097,0.4646,0.0543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2253,0.0000,0.0000,0.1909,0.1760
4,4,52.2313,3.9957,1.8508,0.3045,63.1681,0.0804,0.4364,0.1048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2253,0.0000,0.0000,0.1909,0.2127
5,5,49.6051,6.0622,3.3075,0.4610,63.1681,0.0645,0.3953,0.1715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2253,0.0000,0.0000,0.1909,0.2739
6,6,49.6051,3.6618,5.3394,0.7031,63.1681,0.0486,0.3539,0.2173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2253,0.0000,0.0000,0.1909,0.3549
7,7,49.6051,2.2502,6.0994,1.1557,63.1681,0.0363,0.3099,0.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2253,0.0000,0.0000,0.1909,0.3929
8,8,48.9689,5.4795,6.5247,1.7755,63.1681,0.0222,0.2858,0.3422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2253,0.0000,0.0000,0.1909,0.4222
9,9,91.7951,3.6401,2.2777,1.3205,73.2583,2.1717,6.9521,2.0797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7725,0.0000,0.0000,0.7919,0.0000,0.0000,0.3003,0.4922
10,10,91.5096,5.1357,3.5785,1.6907,73.2583,1.3451,6.9687,2.9877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7725,0.0000,0.0000,0.7919,0.0000,0.0000,0.3003,0.5553
11,11,91.9851,6.7638,5.3241,2.1873,73.2583,0.8688,6.6029,4.0751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7725,0.0000,0.0000,0.7919,0.0000,0.0000,0.3003,0.5816
12,12,94.6298,8.6058,7.4307,2.9928,73.2583,0.5505,5.9118,5.4740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7725,0.0000,0.0000,0.7919,0.0000,0.0000,0.3003,0.6715
13,13,94.6298,4.7842,10.1758,4.1742,73.2583,0.3449,5.3213,6.8031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7725,0.0000,0.0000,0.7919,0.0000,0.0000,0.3003,0.7972
14,14,94.6298,2.7120,11.7969,5.5141,73.2583,0.2105,4.5917,8.2853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7725,0.0000,0.0000,0.7919,0.0000,0.0000,0.3003,0.8430
15,15,102.2005,6.2058,11.5685,7.5301,73.2583,0.1580,3.9272,9.6818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7725,0.0000,0.0000,0.7919,0.0000,0.0000,0.3003,0.9105
16,16,260.8076,2.8397,2.1365,2.7891,94.1832,1.8612,13.0428,15.6877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5073,0.0000,0.0000,1.4757,0.0000,0.0000,0.6257,1.0852
17,17,270.8468,4.1410,3.0282,3.2284,94.1832,1.0862,12.2533,18.5467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5073,0.0000,0.0000,1.4757,0.0000,0.0000,0.6257,1.1512
