,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,238.2282,0.7718,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
2,2.0000,237.3754,1.4064,1.0871,0.1311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9079
3,3.0000,233.8358,1.5766,1.0210,0.2432,2.7978,0.1872,0.3123,0.0260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9940,0.0000,0.0000,0.1752,0.0000,0.0000,0.1662,0.8789
4,4.0000,232.8078,2.1321,1.3714,0.3654,2.7978,0.1391,0.3233,0.0631,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9940,0.0000,0.0000,0.1752,0.0000,0.0000,0.1662,0.9009
5,5.0000,231.7377,2.6026,1.8028,0.5335,2.7978,0.1041,0.3133,0.1081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9940,0.0000,0.0000,0.1752,0.0000,0.0000,0.1662,0.9309
6,6.0000,231.7377,1.8729,2.2573,0.8088,2.7978,0.0771,0.3023,0.1461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9940,0.0000,0.0000,0.1752,0.0000,0.0000,0.1662,0.9870
7,7.0000,231.7377,1.3564,2.4595,1.1231,2.7978,0.0551,0.2883,0.1822,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9940,0.0000,0.0000,0.1752,0.0000,0.0000,0.1662,1.0190
8,8.0000,230.3744,2.3093,2.5445,1.4484,2.7978,0.0440,0.2643,0.2172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9940,0.0000,0.0000,0.1752,0.0000,0.0000,0.1662,1.0230
9,9.0000,228.9510,3.0741,2.8519,1.7998,2.7978,0.0300,0.2523,0.2432,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9940,0.0000,0.0000,0.1752,0.0000,0.0000,0.1662,1.0621
10,10.0000,224.8298,2.4064,1.8328,1.3814,5.9970,0.7678,1.7257,1.0591,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.4565,0.0000,0.0000,0.5395,0.0000,0.0000,0.4775,1.1251
