,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,238.2249,0.8886,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
2,2,237.4188,1.5056,1.1301,0.1722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9161
3,3,231.9979,1.3683,0.8249,0.2842,5.7394,0.4035,0.6285,0.0530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.3796,0.0000,0.0000,0.3394,0.8824
4,4,231.2391,1.7768,1.1103,0.3842,5.7394,0.2968,0.6468,0.1468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.3796,0.0000,0.0000,0.3394,0.8970
5,5,230.3333,2.1976,1.5079,0.5178,5.7394,0.2335,0.6274,0.2334,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.3796,0.0000,0.0000,0.3394,0.9312
6,6,230.3333,1.5728,1.9463,0.7101,5.7394,0.1884,0.6014,0.3031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.3796,0.0000,0.0000,0.3394,0.9805
7,7,230.3333,1.1522,2.1218,0.9535,5.7394,0.1468,0.5544,0.3928,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.3796,0.0000,0.0000,0.3394,0.9889
8,8,229.1717,2.0349,2.1781,1.2410,5.7394,0.1134,0.5139,0.4663,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.3796,0.0000,0.0000,0.3394,0.9874
9,9,227.9948,2.7065,2.4900,1.5113,5.7394,0.0909,0.4548,0.5460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.3796,0.0000,0.0000,0.3394,1.0089
10,10,223.1053,1.3548,0.8895,0.8460,10.3960,1.1867,2.5108,1.5815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.5941,0.0000,0.0000,1.0597,0.0000,0.0000,0.7738,1.0638
11,11,222.5894,1.5433,1.1781,0.9452,10.3960,0.8529,2.5352,1.8890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.5941,0.0000,0.0000,1.0597,0.0000,0.0000,0.7738,1.1013
12,12,221.9893,1.7396,1.5080,1.0829,10.3960,0.6199,2.4358,2.2204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.5941,0.0000,0.0000,1.0597,0.0000,0.0000,0.7738,1.1252
13,13,221.9893,1.2363,1.8026,1.2908,10.3960,0.4250,2.2876,2.5635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.5941,0.0000,0.0000,1.0597,0.0000,0.0000,0.7738,1.1527
14,14,221.9893,0.8895,1.9249,1.5134,10.3960,0.2944,2.1051,2.8755,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.5941,0.0000,0.0000,1.0597,0.0000,0.0000,0.7738,1.1466
15,15,221.2837,1.4345,1.9230,1.7629,10.3960,0.2124,1.9057,3.1556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.5941,0.0000,0.0000,1.0597,0.0000,0.0000,0.7738,1.1432
16,16,220.6564,1.7558,2.0562,2.0225,10.3960,0.1423,1.7405,3.3878,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.5941,0.0000,0.0000,1.0597,0.0000,0.0000,0.7738,1.1386
