,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,238.2821,0.8236,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
2,2,237.4621,1.4771,1.1218,0.1519,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9289
3,3,234.2463,1.6691,1.0748,0.2705,3.1922,0.2230,0.3625,0.0359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.3757,0.0000,0.0000,0.2004,0.0000,0.0000,0.1895,0.9039
4,4,233.2070,2.2543,1.4499,0.3977,3.1922,0.1674,0.3767,0.0804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.3757,0.0000,0.0000,0.2004,0.0000,0.0000,0.1895,0.9283
5,5,232.1323,2.7504,1.9123,0.5728,3.1922,0.1275,0.3650,0.1348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.3757,0.0000,0.0000,0.2004,0.0000,0.0000,0.1895,0.9616
6,6,232.1323,1.9876,2.3947,0.8599,3.1922,0.0967,0.3524,0.1785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.3757,0.0000,0.0000,0.2004,0.0000,0.0000,0.1895,1.0220
7,7,232.1323,1.4475,2.6092,1.1893,3.1922,0.0709,0.3372,0.2204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.3757,0.0000,0.0000,0.2004,0.0000,0.0000,0.1895,1.0568
8,8,230.7776,2.4420,2.6979,1.5282,3.1922,0.0573,0.3103,0.2594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.3757,0.0000,0.0000,0.2004,0.0000,0.0000,0.1895,1.0618
9,9,229.3737,3.2517,3.0188,1.8962,3.1922,0.0409,0.2965,0.2885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.3757,0.0000,0.0000,0.2004,0.0000,0.0000,0.1895,1.1030
10,10,225.3953,2.5855,1.9699,1.4798,6.4778,0.8611,1.8977,1.1644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.1965,0.0000,0.0000,0.5817,0.0000,0.0000,0.5125,1.1689
11,11,224.4033,2.9041,2.4334,1.7642,6.4778,0.6354,1.8633,1.4245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.1965,0.0000,0.0000,0.5817,0.0000,0.0000,0.5125,1.2429
12,12,223.2873,3.2310,3.0093,2.0722,6.4778,0.4563,1.7881,1.6795,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.1965,0.0000,0.0000,0.5817,0.0000,0.0000,0.5125,1.3137
13,13,223.2873,2.3183,3.5413,2.4517,6.4778,0.3082,1.7025,1.9097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.1965,0.0000,0.0000,0.5817,0.0000,0.0000,0.5125,1.3707
14,14,223.2873,1.6796,3.7197,2.9131,6.4778,0.2209,1.5767,2.1230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.1965,0.0000,0.0000,0.5817,0.0000,0.0000,0.5125,1.3922
15,15,221.9955,2.6169,3.6965,3.4150,6.4778,0.1624,1.4208,2.3361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.1965,0.0000,0.0000,0.5817,0.0000,0.0000,0.5125,1.4020
16,16,220.7895,3.1867,3.9720,3.8958,6.4778,0.1140,1.3011,2.5045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.1965,0.0000,0.0000,0.5817,0.0000,0.0000,0.5125,1.4272
17,17,220.1277,2.4170,2.0751,3.1208,6.6457,0.8975,3.2924,4.0980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,89.5134,0.0000,0.0000,1.0604,0.0000,0.0000,0.7370,1.4194
18,18,219.2804,2.7027,2.4749,3.3928,6.6457,0.6426,3.0979,4.5444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,89.5134,0.0000,0.0000,1.0604,0.0000,0.0000,0.7370,1.4844
