,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,4.8772,0.7871,0.0124,0.0000,4.4721,0.0000,0.0124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5368,0.0000,0.0000,0.0124,0.0000,0.0000,0.0124,0.0000
2,2.0000,9.9422,1.5438,0.3446,0.1155,9.0911,0.0159,0.0380,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0736,0.0000,0.0000,0.0265,0.0000,0.0000,0.0265,0.1103
3,3.0000,15.5102,2.4371,0.9605,0.2189,13.7485,0.0490,0.1008,0.0082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.6105,0.0000,0.0000,0.0424,0.0000,0.0000,0.0424,0.1894
4,4.0000,22.8740,4.2283,1.8229,0.3253,18.7858,0.1220,0.2940,0.0245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.1473,0.0000,0.0000,0.0638,0.0000,0.0000,0.0627,0.2348
5,5.0000,32.1316,5.7888,3.1471,0.4831,24.6537,0.2276,0.7211,0.0647,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.6841,0.0000,0.0000,0.0941,0.0000,0.0000,0.0903,0.2741
6,6.0000,32.1316,3.4664,5.2164,0.7413,24.6537,0.1318,0.7666,0.1233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.6841,0.0000,0.0000,0.0941,0.0000,0.0000,0.0903,0.3460
7,7.0000,32.1316,2.1496,6.1434,1.1491,24.6537,0.0736,0.7442,0.2083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.6841,0.0000,0.0000,0.0941,0.0000,0.0000,0.0903,0.3697
8,8.0000,41.9540,4.8819,5.8585,1.7269,29.2588,0.1155,1.3917,0.4576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.1903,0.0000,0.0000,0.1237,0.0000,0.0000,0.1168,0.3759
9,9.0000,51.6339,7.5615,7.0844,2.4470,33.1330,0.2749,2.1590,0.8705,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.6957,0.0000,0.0000,0.1543,0.0000,0.0000,0.1443,0.4342
10,10.0000,63.6023,10.1415,8.7336,3.3889,37.0008,0.5310,3.1164,1.5183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46.0759,0.0000,0.0000,0.1938,0.0000,0.0000,0.1778,0.5132
11,11.0000,77.9373,11.6834,11.2888,4.5208,40.9733,0.8188,4.3830,2.5467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.9864,0.0000,0.0000,0.2388,0.0000,0.0000,0.2159,0.6680
12,12.0000,95.0492,13.8491,13.8104,6.1441,44.4457,1.0710,5.7993,4.0585,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.7000,0.0000,0.0000,0.2851,0.0000,0.0000,0.2547,0.8397
