,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.0000,13.0955,0.8242,0.0373,0.0000,13.4696,0.0000,0.0373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0373,0.0000,0.0000,0.0373,0.0000
2,0.0000,24.8654,1.5445,0.3969,0.1212,26.0684,0.0324,0.1182,0.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0822,0.0000,0.0000,0.0754,0.1169
3,0.0000,37.0976,2.5149,0.9314,0.2086,38.8334,0.1427,0.3240,0.0296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1434,0.0000,0.0000,0.1196,0.1815
4,0.0000,48.7772,3.8335,1.6543,0.3120,51.3983,0.3336,0.7202,0.0934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2309,0.0000,0.0000,0.1684,0.2276
5,0.0000,60.9939,5.2894,2.6994,0.4494,64.1352,0.6620,1.4696,0.2273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3440,0.0000,0.0000,0.2246,0.2855
6,0.0000,60.9939,3.1302,4.5132,0.6502,64.1352,0.4377,1.5540,0.3525,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3440,0.0000,0.0000,0.2246,0.3517
7,0.0000,60.9939,1.9270,5.2354,1.0194,64.1352,0.2785,1.5192,0.5525,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3440,0.0000,0.0000,0.2246,0.3898
8,0.0000,66.1839,4.3476,4.5823,1.4254,65.7987,0.3486,2.5618,1.0250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9328,0.0000,0.0000,0.4422,0.0000,0.0000,0.2444,0.4032
9,0.0000,74.0687,5.9909,4.8642,1.7806,67.8599,0.6605,3.6492,1.7340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8848,0.0000,0.0000,0.5551,0.0000,0.0000,0.2665,0.4555
