,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,234.8898,0.6390,0.8194,0.0000,2.5782,0.0000,0.1357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,0.0000,0.0000,0.1357,0.0000,0.0000,0.1357,1.0000
2,2,234.1700,1.1368,0.8932,0.0991,2.5782,0.0000,0.1150,0.0130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,0.0000,0.0000,0.1357,0.0000,0.0000,0.1357,0.8769
3,3,231.3479,1.3128,0.8615,0.1997,4.5720,0.1082,0.3047,0.0443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.6388,0.0000,0.0000,0.2586,0.0000,0.0000,0.2536,0.8411
4,4,230.5682,1.6869,1.1019,0.3254,4.5720,0.0687,0.2908,0.0973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.6388,0.0000,0.0000,0.2586,0.0000,0.0000,0.2536,0.7984
5,5,229.6220,2.0876,1.4492,0.4743,4.5720,0.0473,0.2651,0.1449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.6388,0.0000,0.0000,0.2586,0.0000,0.0000,0.2536,0.8246
6,6,229.6220,1.4695,1.8644,0.6699,4.5720,0.0354,0.2434,0.1812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.6388,0.0000,0.0000,0.2586,0.0000,0.0000,0.2536,0.8507
7,7,229.6220,1.0534,2.0494,0.8990,4.5720,0.0227,0.2215,0.2164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.6388,0.0000,0.0000,0.2586,0.0000,0.0000,0.2536,0.8639
8,8,224.9902,0.9870,0.9414,0.6887,8.4481,0.3221,1.2885,0.7214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,94.7211,0.0000,0.0000,0.5984,0.0000,0.0000,0.5459,0.8523
9,9,224.3530,1.2963,1.1048,0.8070,8.4481,0.2238,1.2279,0.8802,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,94.7211,0.0000,0.0000,0.5984,0.0000,0.0000,0.5459,0.8554
10,10,222.2132,1.0955,0.7894,0.7037,10.0414,0.4272,1.6702,1.2961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5220,0.0000,0.0000,0.7502,0.0000,0.0000,0.6807,0.8682
11,11,221.7254,1.2169,0.9817,0.8319,10.0414,0.3058,1.5771,1.5130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5220,0.0000,0.0000,0.7502,0.0000,0.0000,0.6807,0.8862
12,12,221.1352,1.3867,1.1974,0.9781,10.0414,0.2189,1.4486,1.7310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5220,0.0000,0.0000,0.7502,0.0000,0.0000,0.6807,0.8860
13,13,221.1352,0.9806,1.4315,1.1465,10.0414,0.1606,1.3129,1.9281,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5220,0.0000,0.0000,0.7502,0.0000,0.0000,0.6807,0.9095
14,14,221.1352,0.6939,1.5227,1.3424,10.0414,0.1140,1.1927,2.0975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5220,0.0000,0.0000,0.7502,0.0000,0.0000,0.6807,0.9101
15,15,221.5304,0.5856,0.6256,0.9577,9.0249,0.3134,1.9302,2.9258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151.8156,0.0000,0.0000,1.0044,0.0000,0.0000,0.7187,0.8859
16,16,221.1848,0.7084,0.7098,1.0391,9.0249,0.2186,1.7588,3.1921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151.8156,0.0000,0.0000,1.0044,0.0000,0.0000,0.7187,0.8677
17,17,221.9853,0.5290,0.4443,1.1751,7.8234,0.3108,1.9048,3.4953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,174.5273,0.0000,0.0000,1.1088,0.0000,0.0000,0.6847,0.8086
18,18,221.6837,0.6312,0.5278,1.2354,7.8234,0.2199,1.7465,3.7468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,174.5273,0.0000,0.0000,1.1088,0.0000,0.0000,0.6847,0.8029
19,19,221.3023,0.7350,0.6482,1.3159,7.8234,0.1478,1.5970,3.9743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,174.5273,0.0000,0.0000,1.1088,0.0000,0.0000,0.6847,0.7959
20,20,221.3023,0.5099,0.7685,1.4217,7.8234,0.0959,1.4498,4.1777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,174.5273,0.0000,0.0000,1.1088,0.0000,0.0000,0.6847,0.7865
21,21,221.3023,0.3730,0.7982,1.5369,7.8234,0.0632,1.3220,4.3418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,174.5273,0.0000,0.0000,1.1088,0.0000,0.0000,0.6847,0.7764
22,22,223.8165,0.2735,0.2957,3.0853,5.1053,0.1665,1.4185,3.2909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,209.2071,0.0000,0.0000,1.2573,0.0000,0.0000,0.5056,0.5854
