,trace,day,type
0,0,31,School screening
1,1,0,-
2,2,3,School screening
3,3,0,-
4,4,10,School screening
5,5,10,School screening
6,6,26,School screening
7,7,17,School screening
8,8,24,School screening
9,9,17,School screening
10,10,0,-
11,11,26,School screening
12,12,26,School screening
13,13,0,-
14,14,10,School screening
15,15,31,School screening
16,16,17,School screening
17,17,17,School screening
18,18,10,School screening
19,19,0,-
20,20,31,School screening
21,21,24,School screening
22,22,5,School screening
23,23,0,-
24,24,3,School screening
25,25,17,School screening
26,26,19,School screening
27,27,0,-
28,28,10,School screening
29,29,0,-
30,30,24,School screening
31,31,0,-
32,32,10,School screening
33,33,10,School screening
34,34,31,School screening
35,35,0,-
36,36,17,School screening
37,37,31,School screening
38,38,0,-
39,39,31,School screening
40,40,24,School screening
41,41,24,School screening
42,42,10,School screening
43,43,10,School screening
44,44,0,-
45,45,26,School screening
46,46,17,School screening
47,47,17,School screening
48,48,0,-
49,49,10,School screening
50,50,19,School screening
51,51,19,School screening
52,52,10,School screening
53,53,12,School screening
54,54,24,School screening
55,55,24,School screening
56,56,24,School screening
57,57,26,School screening
58,58,19,School screening
59,59,0,-
60,60,3,School screening
61,61,10,School screening
62,62,0,-
63,63,0,-
64,64,31,School screening
65,65,0,-
66,66,24,School screening
67,67,10,School screening
68,68,31,School screening
69,69,17,School screening
70,70,24,School screening
71,71,5,School screening
72,72,0,-
73,73,12,School screening
74,74,0,-
75,75,10,School screening
76,76,0,-
77,77,10,School screening
78,78,12,School screening
79,79,0,-
80,80,0,-
81,81,26,School screening
82,82,5,School screening
83,83,12,School screening
84,84,3,School screening
85,85,17,School screening
86,86,10,School screening
87,87,0,-
88,88,10,School screening
89,89,10,School screening
90,90,10,School screening
91,91,12,School screening
92,92,0,-
93,93,0,-
94,94,17,School screening
95,95,0,-
96,96,10,School screening
97,97,24,School screening
98,98,0,-
99,99,10,School screening
100,100,26,School screening
101,101,31,School screening
102,102,10,School screening
103,103,12,School screening
104,104,17,School screening
105,105,12,School screening
106,106,0,-
107,107,24,School screening
108,108,33,School screening
109,109,31,School screening
