,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,239.9849,0.0151,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0151,0.0000,0.0000
2,2.0000,239.9196,0.0704,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0653,0.0000,0.0101
3,3.0000,239.8693,0.1055,0.0251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0804,0.0000,0.0201
4,4.0000,239.3166,0.0804,0.0000,0.0000,0.5276,0.0402,0.0352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,2.8844,0.0000,0.0352,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1055,0.0302,0.0302
5,5.0000,239.2714,0.0854,0.0402,0.0000,0.5276,0.0302,0.0402,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,3.5678,0.0000,0.0352,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1256,0.0302,0.0653
6,6.0000,239.1508,0.0804,0.0653,0.0000,0.5276,0.0251,0.0452,0.0050,0.0000,0.0000,0.0000,0.0000,0.0955,0.0000,0.0050,0.0000,240.0000,4.1960,0.0050,0.0352,0.0000,0.0050,0.0000,0.0000,0.0000,50.0000,0.1508,0.0352,0.0854
7,7.0000,239.1307,0.0804,0.0854,0.0000,0.5276,0.0101,0.0553,0.0101,0.0000,0.0000,0.0000,0.0000,0.0955,0.0000,0.0050,0.0000,240.0000,4.8894,0.0050,0.0352,0.0000,0.0050,0.0000,0.0000,0.0000,50.0000,0.1709,0.0352,0.1005
8,8.0000,239.0402,0.1508,0.0905,0.0151,0.5276,0.0101,0.0452,0.0201,0.0000,0.0000,0.0000,0.0000,0.0955,0.0000,0.0050,0.0000,240.0000,5.6181,0.0050,0.0352,0.0000,0.0050,0.0000,0.0000,0.0000,50.0000,0.2060,0.0352,0.1005
9,9.0000,238.8442,0.2211,0.0955,0.0352,0.5276,0.0050,0.0402,0.0302,0.0000,0.0000,0.0000,0.0000,0.1859,0.0050,0.0101,0.0000,240.0000,6.4171,0.0101,0.0352,0.0000,0.0101,0.0000,0.0000,0.0000,50.0000,0.2211,0.0402,0.1005
10,10.0000,238.7739,0.2362,0.1407,0.0452,0.5276,0.0000,0.0352,0.0402,0.0000,0.0000,0.0000,0.0000,0.1859,0.0050,0.0101,0.0000,240.0000,7.1809,0.0101,0.0352,0.0000,0.0101,0.0000,0.0000,0.0000,50.0000,0.2362,0.0402,0.1206
11,11.0000,236.6533,0.0905,0.0000,0.0402,2.6181,0.0955,0.2412,0.0603,0.0000,0.0000,0.0000,0.0000,0.1859,0.0050,0.0101,0.0000,479.1960,7.8492,0.0101,0.2412,0.0000,0.0101,0.0000,0.0000,0.0000,50.0000,0.2663,0.1608,0.1508
