,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,239.9899,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7337,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0101,0.0000,0.0000
2,2.0000,239.9397,0.0603,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0603,0.0000,0.0000
3,3.0000,239.8844,0.0955,0.0201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1558,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1055,0.0000,0.0201
4,4.0000,239.5678,0.1206,0.0101,0.0000,0.2814,0.0000,0.0201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120.0000,2.9397,0.0000,0.0151,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1307,0.0151,0.0251
5,5.0000,239.5075,0.1407,0.0503,0.0000,0.2814,0.0000,0.0201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120.0000,3.6583,0.0000,0.0151,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1457,0.0151,0.0553
6,6.0000,239.4824,0.1357,0.0653,0.0151,0.2814,0.0000,0.0201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120.0000,4.4271,0.0000,0.0151,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1709,0.0151,0.0653
7,7.0000,239.4623,0.1256,0.0905,0.0201,0.2814,0.0000,0.0151,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120.0000,5.1106,0.0000,0.0151,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1910,0.0151,0.0704
8,8.0000,239.2915,0.1759,0.1106,0.0201,0.2814,0.0000,0.0151,0.0050,0.0000,0.0000,0.0000,0.0000,0.0905,0.0000,0.0101,0.0000,120.0000,5.9347,0.0050,0.0151,0.0000,0.0050,0.0000,0.0000,0.0000,50.0000,0.2010,0.0201,0.0854
9,9.0000,239.1658,0.2613,0.1457,0.0251,0.2814,0.0000,0.0151,0.0050,0.0000,0.0000,0.0000,0.0000,0.0905,0.0000,0.0101,0.0000,120.0000,6.6332,0.0050,0.0151,0.0000,0.0050,0.0000,0.0000,0.0000,50.0000,0.2161,0.0201,0.1005
10,10.0000,239.0151,0.3367,0.1859,0.0603,0.2814,0.0000,0.0050,0.0151,0.0000,0.0000,0.0000,0.0000,0.0905,0.0000,0.0101,0.0000,120.0000,7.4724,0.0050,0.0151,0.0000,0.0050,0.0000,0.0000,0.0000,50.0000,0.2261,0.0201,0.1206
11,11.0000,237.7085,0.1960,0.0553,0.0302,1.4322,0.1206,0.1960,0.0603,0.0000,0.0000,0.0000,0.0000,0.1709,0.0101,0.0151,0.0050,239.7487,8.2563,0.0101,0.1256,0.0000,0.0101,0.0000,0.0000,0.0000,50.0000,0.2613,0.1005,0.1357
12,12.0000,237.6281,0.2211,0.0955,0.0452,1.4322,0.1005,0.1859,0.0905,0.0000,0.0000,0.0000,0.0000,0.1709,0.0050,0.0201,0.0050,239.7487,9.0402,0.0101,0.1256,0.0000,0.0101,0.0000,0.0000,0.0000,50.0000,0.2814,0.1005,0.1558
13,13.0000,237.5980,0.1960,0.1407,0.0553,1.4322,0.0704,0.1910,0.1156,0.0000,0.0000,0.0000,0.0000,0.1709,0.0000,0.0251,0.0050,239.7487,9.8141,0.0101,0.1256,0.0000,0.0101,0.0000,0.0000,0.0000,50.0000,0.3116,0.1005,0.1709
14,14.0000,237.5678,0.1608,0.1859,0.0754,1.4322,0.0402,0.2010,0.1357,0.0000,0.0000,0.0000,0.0000,0.1709,0.0000,0.0251,0.0050,239.7487,10.5779,0.0101,0.1256,0.0000,0.0101,0.0000,0.0000,0.0000,50.0000,0.3417,0.1005,0.2010
15,15.0000,237.2764,0.3015,0.2161,0.0955,1.4322,0.0201,0.2010,0.1558,0.0000,0.0000,0.0000,0.0000,0.2663,0.0000,0.0302,0.0050,239.7487,11.1709,0.0151,0.1256,0.0000,0.0151,0.0000,0.0000,0.0000,50.0000,0.3618,0.1055,0.2312
16,16.0000,237.0452,0.4372,0.2915,0.1156,1.4322,0.0151,0.1658,0.1960,0.0000,0.0000,0.0000,0.0000,0.2663,0.0000,0.0251,0.0101,239.7487,11.9548,0.0151,0.1256,0.0000,0.0151,0.0000,0.0000,0.0000,50.0000,0.3869,0.1055,0.2412
17,17.0000,236.6482,0.6432,0.3668,0.1307,1.4322,0.0050,0.1608,0.2111,0.0452,0.0151,0.0402,0.0000,0.2663,0.0000,0.0201,0.0151,239.7487,12.6985,0.0151,0.1256,0.0050,0.0151,0.0000,0.0000,0.0000,50.0000,0.4121,0.1106,0.2814
18,18.0000,234.3065,0.2462,0.1156,0.1055,3.6432,0.2764,0.5377,0.2663,0.0452,0.0101,0.0452,0.0000,0.3116,0.0050,0.0503,0.0352,358.7437,13.3920,0.0201,0.3568,0.0050,0.0201,0.0000,0.0000,0.0000,50.0000,0.4523,0.2613,0.3216
19,19.0000,234.1809,0.3116,0.1608,0.1206,3.6432,0.2010,0.5025,0.3769,0.0452,0.0050,0.0452,0.0050,0.3116,0.0050,0.0503,0.0352,358.7437,14.1106,0.0201,0.3568,0.0050,0.0201,0.0000,0.0000,0.0000,50.0000,0.4824,0.2613,0.3116
20,20.0000,233.9950,0.2161,0.2261,0.1357,3.6432,0.1558,0.5025,0.4221,0.0452,0.0050,0.0352,0.0151,0.4824,0.0101,0.0754,0.0352,358.7437,14.7437,0.0302,0.3568,0.0050,0.0302,0.0000,0.0000,0.0000,50.0000,0.4975,0.2714,0.3518
21,21.0000,233.9045,0.1709,0.2211,0.1759,3.6432,0.1156,0.5025,0.4623,0.0452,0.0000,0.0402,0.0151,0.5578,0.0151,0.0854,0.0452,358.7437,15.4271,0.0352,0.3568,0.0050,0.0352,0.0000,0.0000,0.0000,50.0000,0.5126,0.2764,0.3467
22,22.0000,233.7437,0.2814,0.2462,0.2010,3.6432,0.0955,0.4422,0.5427,0.1357,0.0000,0.0402,0.0251,0.4673,0.0101,0.0653,0.0603,358.7437,16.0804,0.0352,0.3568,0.0101,0.0352,0.0000,0.0000,0.0000,50.0000,0.5276,0.2764,0.3467
23,23.0000,233.4874,0.4322,0.3317,0.2211,3.6432,0.0553,0.4372,0.5879,0.1357,0.0000,0.0402,0.0251,0.4673,0.0050,0.0603,0.0704,358.7437,16.6784,0.0352,0.3568,0.0101,0.0352,0.0000,0.0000,0.0000,50.0000,0.5477,0.2764,0.3819
24,24.0000,233.1457,0.5930,0.3819,0.2513,3.6432,0.0251,0.4221,0.6332,0.1357,0.0000,0.0402,0.0251,0.5226,0.0251,0.0754,0.0804,358.7437,17.4372,0.0402,0.3568,0.0101,0.0402,0.0000,0.0000,0.0000,50.0000,0.5729,0.2814,0.3869
25,25.0000,231.9698,0.1960,0.0653,0.5327,4.8342,0.3015,0.7487,0.5477,0.1357,0.0000,0.0402,0.0251,0.4422,0.0251,0.0704,0.0653,476.7337,18.1608,0.0402,0.6382,0.0101,0.0402,0.0000,0.0000,0.0000,50.0000,0.5980,0.3618,0.3869
26,26.0000,231.8844,0.2211,0.1156,0.5427,4.8342,0.2060,0.7487,0.6432,0.1357,0.0000,0.0402,0.0251,0.4422,0.0201,0.0704,0.0704,476.7337,18.8744,0.0402,0.6382,0.0101,0.0402,0.0000,0.0000,0.0000,50.0000,0.6030,0.3618,0.4020
27,27.0000,231.7739,0.1658,0.1658,0.5578,4.8342,0.1457,0.7286,0.7236,0.1357,0.0000,0.0352,0.0302,0.5176,0.0352,0.0704,0.0804,476.7337,19.5126,0.0452,0.6382,0.0101,0.0452,0.0000,0.0000,0.0000,50.0000,0.6382,0.3668,0.4171
28,28.0000,231.6533,0.1658,0.1759,0.5678,4.8342,0.1156,0.6834,0.7990,0.1357,0.0000,0.0251,0.0402,0.6080,0.0302,0.0754,0.0905,476.7337,20.1558,0.0503,0.6382,0.0101,0.0503,0.0000,0.0000,0.0000,50.0000,0.6683,0.3719,0.4020
