,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,0.0145,0.0145,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0145,0.0000,0.0000
2,2,0.0431,0.0240,0.0096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1427,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0285,0.0000,0.0096
3,3,2.0140,0.0639,0.0246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7166,0.0000,0.0048,0.0000,0.1189,1.8230,0.0048,0.0000,0.0000,0.0048,0.0000,0.0000,0.0000,0.0000,0.0582,0.0048,0.0145
4,4,2.2429,0.1761,0.0578,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7166,0.0000,0.0000,0.0048,0.1189,2.5448,0.0048,0.0000,0.0000,0.0048,0.0000,0.0000,0.0000,0.0000,0.1037,0.0048,0.0186
5,5,4.8065,0.3425,0.1322,0.0049,0.0000,0.0000,0.0000,0.0000,1.7827,0.0000,0.0049,0.0000,1.7166,0.0000,0.0000,0.0048,0.1189,3.4820,0.0048,0.0000,0.0049,0.0048,0.0000,0.0000,0.0000,0.0000,0.1208,0.0096,0.0497
6,6,4.8286,0.2961,0.1546,0.0184,0.0000,0.0000,0.0000,0.0000,1.7827,0.0000,0.0049,0.0000,1.7166,0.0000,0.0000,0.0048,0.1189,4.0068,0.0048,0.0000,0.0049,0.0048,0.0000,0.0000,0.0000,0.0000,0.1579,0.0096,0.0810
7,7,4.9385,0.2292,0.2356,0.0274,0.0000,0.0000,0.0000,0.0000,1.7827,0.0000,0.0049,0.0000,1.7166,0.0000,0.0000,0.0048,0.1189,4.8186,0.0048,0.0000,0.0049,0.0048,0.0000,0.0000,0.0000,0.0000,0.1877,0.0096,0.0853
8,8,5.6727,0.5379,0.2265,0.0882,0.0000,0.0000,0.0000,0.0000,1.7827,0.0000,0.0049,0.0000,1.7166,0.0000,0.0000,0.0048,0.1189,5.4398,0.0048,0.0000,0.0049,0.0048,0.0000,0.0000,0.0000,0.0000,0.2120,0.0096,0.0753
9,9,8.1977,0.6426,0.3242,0.1439,0.0000,0.0000,0.0000,0.0000,1.7827,0.0000,0.0049,0.0000,3.2694,0.0000,0.0194,0.0048,0.1189,5.7368,0.0096,0.0000,0.0049,0.0096,0.0000,0.0000,0.0000,0.0000,0.2234,0.0144,0.0913
10,10,21.8663,0.3497,0.1188,0.1844,10.6149,0.1955,0.2593,0.0834,1.7827,0.0000,0.0049,0.0000,3.2694,0.0000,0.0048,0.0096,0.7139,6.3295,0.0096,0.0375,0.0049,0.0096,0.0000,0.0000,0.0000,0.0000,0.2338,0.0507,0.1052
11,11,23.6235,0.5708,0.3129,0.1844,10.6149,0.0586,0.4980,0.0880,1.7827,0.0000,0.0049,0.0000,3.2694,0.0000,0.0048,0.0096,0.7139,6.9184,0.0096,0.0375,0.0049,0.0096,0.0000,0.0000,0.0000,0.0000,0.3264,0.0507,0.1831
12,12,26.7225,0.8944,0.4277,0.2786,10.6149,0.0294,0.4285,0.1865,1.7827,0.0000,0.0049,0.0000,5.0185,0.0000,0.0097,0.0096,0.7139,7.8276,0.0144,0.0375,0.0049,0.0144,0.0000,0.0000,0.0000,0.0000,0.3441,0.0551,0.1991
13,13,28.5409,0.6640,0.6353,0.3226,10.6149,0.0098,0.3869,0.3375,1.7827,0.0000,0.0049,0.0000,6.3937,0.0049,0.0292,0.0096,0.7139,8.1679,0.0192,0.0375,0.0049,0.0192,0.0000,0.0000,0.0000,0.0000,0.3693,0.0595,0.2418
14,14,28.4923,0.4055,0.7237,0.4606,10.6149,0.0049,0.2455,0.5426,1.7827,0.0000,0.0000,0.0049,6.3937,0.0049,0.0097,0.0192,0.7139,8.9840,0.0192,0.0375,0.0049,0.0192,0.0000,0.0000,0.0000,0.0000,0.3961,0.0595,0.2189
15,15,32.8616,0.6725,0.5843,0.4361,10.6149,0.0049,0.2412,0.5661,2.2667,0.0049,0.1234,0.0837,6.6795,0.0443,0.2006,0.0628,0.7139,9.4348,0.0239,0.0375,0.0098,0.0239,0.0000,0.0000,0.0000,0.0000,0.4302,0.0680,0.2515
16,16,38.9436,0.9846,0.6174,0.5115,10.6149,0.0049,0.2269,0.5702,5.5144,0.0290,0.1784,0.1552,6.6795,0.0443,0.1862,0.0773,0.7139,9.9625,0.0239,0.0375,0.0234,0.0239,0.0000,0.0000,0.0000,0.0000,0.4443,0.0797,0.2315
17,17,79.8761,0.4865,0.1719,0.2914,30.8679,0.1534,1.0546,1.0656,5.5144,0.0242,0.1110,0.2665,6.7438,0.0049,0.2545,0.1071,3.3612,10.8035,0.0286,0.2037,0.0234,0.0286,0.0000,0.0000,0.0000,0.0000,0.4788,0.1801,0.2927
18,18,81.2655,0.6730,0.3667,0.3576,30.8679,0.1073,1.1709,1.1455,5.5144,0.0242,0.1110,0.2665,6.7438,0.0049,0.1862,0.1755,3.3612,12.0362,0.0286,0.2037,0.0234,0.0286,0.0000,0.0000,0.0000,0.0000,0.5407,0.1801,0.3386
19,19,82.5775,0.8824,0.6355,0.3851,30.8679,0.0853,1.0299,1.4763,3.7847,0.0097,0.0961,0.3998,6.7438,0.0000,0.2501,0.1755,3.3612,12.6928,0.0286,0.2037,0.0234,0.0286,0.0000,0.0000,0.0000,0.0000,0.5474,0.1768,0.4527
20,20,83.6281,0.5561,0.7375,0.5433,30.8679,0.0666,1.0025,1.6178,4.7141,0.0293,0.1736,0.3998,6.7438,0.0000,0.1862,0.2293,3.3612,14.0756,0.0286,0.2037,0.0281,0.0286,0.0000,0.0000,0.0000,0.0000,0.5661,0.1801,0.4209
21,21,83.7666,0.2774,1.1379,0.6003,30.8679,0.0332,0.7050,2.2130,4.7141,0.0097,0.1294,0.4421,6.7438,0.0000,0.1276,0.2974,3.3612,14.5236,0.0286,0.2037,0.0281,0.0286,0.0000,0.0000,0.0000,0.0000,0.5918,0.1801,0.4158
