,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1,239.9536,0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.2646,0.6187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0039,0.0000,0.0000
2,2,239.8638,0.0305,-0.0016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.2646,1.3018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0291,0.0000,-0.0016
3,3,239.8117,0.0490,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.2646,1.9853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0531,0.0000,0.0029
4,4,239.7136,0.0765,0.0179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.2646,2.6413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0785,0.0000,0.0175
5,5,239.6159,0.0883,0.0281,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.2646,3.3362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0958,0.0000,0.0249
6,6,239.5899,0.0976,0.0315,0.0068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.2646,3.9533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1178,0.0000,0.0303
7,7,239.5692,0.0640,0.0667,0.0176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.2646,4.5710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1356,0.0000,0.0551
8,8,238.8709,0.1130,0.0661,0.0177,-0.1089,0.0000,-0.0241,-0.0037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.5292,5.2039,0.0000,-0.0107,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1475,-0.0067,0.0656
9,9,238.7316,0.1553,0.1005,0.0221,-0.1089,0.0000,-0.0284,-0.0066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.5292,5.8534,0.0000,-0.0107,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1613,-0.0067,0.0957
10,10,238.4170,0.1997,0.1242,0.0303,-0.1089,0.0000,-0.0189,-0.0099,0.0000,0.0000,0.0000,0.0000,-0.0847,0.0000,-0.0094,0.0000,56.5292,6.5323,-0.0047,-0.0107,0.0000,-0.0047,0.0000,0.0000,0.0000,50.0000,0.1787,-0.0037,0.0938
11,11,238.0506,0.2619,0.1287,0.0363,-0.1089,0.0000,-0.0189,-0.0099,-0.0566,-0.0228,-0.0144,-0.0095,-0.0847,0.0000,-0.0047,-0.0047,56.5292,7.3323,-0.0047,-0.0107,-0.0036,-0.0047,0.0000,0.0000,0.0000,50.0000,0.1880,0.0029,0.1065
12,12,237.8319,0.2928,0.2064,0.0370,-0.1089,0.0000,-0.0189,-0.0099,-0.0566,-0.0183,-0.0187,-0.0095,-0.0847,0.0000,-0.0047,-0.0047,56.5292,7.9250,-0.0047,-0.0107,-0.0036,-0.0047,0.0000,0.0000,0.0000,50.0000,0.2176,0.0029,0.1247
13,13,237.7167,0.1871,0.2597,0.0771,-0.1089,0.0000,-0.0095,-0.0172,-0.0566,-0.0137,-0.0144,-0.0165,-0.0606,0.0000,-0.0240,-0.0047,56.5292,8.6729,-0.0037,-0.0107,-0.0036,-0.0037,0.0000,0.0000,0.0000,50.0000,0.2367,0.0063,0.1573
14,14,237.7021,0.1266,0.3067,0.1063,-0.1089,0.0000,-0.0047,-0.0213,-0.0566,-0.0091,-0.0187,-0.0165,-0.0606,0.0000,-0.0194,-0.0037,56.5292,9.3560,-0.0037,-0.0107,-0.0036,-0.0037,0.0000,0.0000,0.0000,50.0000,0.2511,0.0063,0.1807
15,15,236.3172,0.2080,0.2094,0.1192,0.4670,0.0072,0.0574,0.0142,-0.0566,-0.0091,-0.0187,-0.0165,-0.0606,0.0000,-0.0194,-0.0037,84.7098,10.0220,-0.0037,0.0320,-0.0036,-0.0037,0.0000,0.0000,0.0000,50.0000,0.2889,0.0466,0.1965
16,16,236.0362,0.3413,0.2250,0.1491,0.4670,-0.0023,0.0537,0.0213,-0.0566,-0.0046,-0.0144,-0.0246,-0.0606,0.0000,-0.0194,-0.0037,84.7098,10.7023,-0.0037,0.0320,-0.0036,-0.0037,0.0000,0.0000,0.0000,50.0000,0.2986,0.0466,0.1952
17,17,235.6734,0.4264,0.2292,0.1619,0.4670,0.0008,0.0518,0.0286,-0.0436,-0.0066,-0.0334,-0.0144,-0.0351,-0.0140,-0.0125,-0.0128,84.7098,11.4062,-0.0017,0.0320,-0.0016,-0.0017,0.0000,0.0000,0.0000,50.0000,0.3183,0.0529,0.2046
18,18,235.2898,0.5421,0.3303,0.1858,0.4670,0.0008,0.0406,0.0425,-0.0436,-0.0066,-0.0255,-0.0153,-0.0351,-0.0047,-0.0128,-0.0183,84.7098,12.1761,-0.0017,0.0320,-0.0016,-0.0017,0.0000,0.0000,0.0000,50.0000,0.3734,0.0529,0.2282
19,19,234.5215,0.6415,0.4461,0.2104,0.4670,0.0008,0.0293,0.0541,-0.0182,-0.0066,-0.0230,-0.0022,0.0409,-0.0047,0.0017,-0.0126,84.7098,12.9205,0.0036,0.0320,0.0009,0.0036,0.0000,0.0000,0.0000,50.0000,0.4156,0.0620,0.2525
20,20,234.3329,0.4380,0.5200,0.2995,0.4670,-0.0037,0.0230,0.0733,-0.0182,-0.0066,-0.0230,-0.0022,0.1311,-0.0060,0.0139,-0.0080,84.7098,13.5602,0.0099,0.0320,0.0009,0.0099,0.0000,0.0000,0.0000,50.0000,0.4460,0.0707,0.2901
21,21,234.1306,0.3307,0.5641,0.3594,0.4670,0.0000,0.0191,0.0805,-0.0182,-0.0094,-0.0150,-0.0048,0.2338,-0.0071,0.0242,0.0003,84.7098,14.2183,0.0168,0.0320,0.0009,0.0168,0.0000,0.0000,0.0000,50.0000,0.4746,0.0796,0.3039
22,22,233.0351,0.3438,0.3401,0.3653,0.8891,0.0139,0.1732,0.1684,-0.0182,-0.0094,-0.0119,-0.0074,0.2571,-0.0038,0.0220,0.0189,112.6740,14.8129,0.0205,0.0902,0.0009,0.0205,0.0000,0.0000,0.0000,50.0000,0.4905,0.1220,0.3219
23,23,232.5774,0.5140,0.3505,0.4210,0.8891,0.0084,0.1475,0.2031,-0.0182,-0.0094,-0.0090,-0.0093,0.3119,-0.0022,0.0317,0.0361,112.6740,15.5169,0.0242,0.0902,0.0009,0.0242,0.0000,0.0000,0.0000,50.0000,0.5161,0.1266,0.3120
24,24,232.0613,0.7091,0.4247,0.4765,0.8891,0.0007,0.1364,0.2222,0.0190,-0.0033,-0.0013,-0.0052,0.2540,0.0002,0.0271,0.0332,112.6740,16.2697,0.0242,0.0902,0.0039,0.0242,0.0000,0.0000,0.0000,50.0000,0.5649,0.1267,0.3463
25,25,231.5695,0.8662,0.5753,0.5615,0.8891,-0.0000,0.1319,0.2319,-0.0350,-0.0047,-0.0076,-0.0384,0.2540,0.0010,0.0081,0.0468,112.6740,17.0121,0.0242,0.0902,0.0039,0.0242,0.0000,0.0000,0.0000,50.0000,0.5899,0.1175,0.3661
