,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,239.9749,0.0251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.8442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0251,0.0000,0.0000
2,2.0000,239.9447,0.0503,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,1.6131,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0503,0.0000,0.0050
3,3.0000,239.8643,0.1106,0.0251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4372,2.3869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1055,0.0000,0.0251
4,4.0000,239.8090,0.1558,0.0201,0.0151,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4372,3.0955,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1357,0.0000,0.0201
5,5.0000,239.7538,0.1809,0.0452,0.0201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4372,3.7688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1508,0.0000,0.0402
6,6.0000,239.7286,0.1608,0.0854,0.0251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4372,4.4673,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1759,0.0000,0.0754
7,7.0000,239.6784,0.1709,0.1256,0.0251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4372,5.1457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.2261,0.0000,0.0955
8,8.0000,239.3367,0.2915,0.1357,0.0352,0.0704,0.0101,0.0201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0955,0.0000,0.0050,0.0000,27.4322,5.8693,0.0050,0.0050,0.0000,0.0050,0.0000,0.0000,0.0000,50.0000,0.2412,0.0101,0.1256
9,9.0000,239.1055,0.4372,0.2060,0.0503,0.0704,0.0101,0.0151,0.0050,0.0000,0.0000,0.0000,0.0000,0.0955,0.0000,0.0050,0.0000,27.4322,6.5779,0.0050,0.0050,0.0000,0.0050,0.0000,0.0000,0.0000,50.0000,0.2663,0.0101,0.1658
10,10.0000,238.6382,0.5176,0.2814,0.0603,0.2563,0.0101,0.0251,0.0101,0.0000,0.0000,0.0000,0.0000,0.1508,0.0201,0.0251,0.0050,30.3216,7.3015,0.0101,0.0151,0.0000,0.0101,0.0000,0.0000,0.0000,50.0000,0.2965,0.0251,0.1960
11,11.0000,238.3065,0.6181,0.3869,0.0854,0.2563,0.0101,0.0201,0.0151,0.0804,0.0050,0.0151,0.0000,0.1508,0.0151,0.0302,0.0050,30.3216,8.0050,0.0101,0.0151,0.0050,0.0101,0.0000,0.0000,0.0000,50.0000,0.3216,0.0302,0.2412
12,12.0000,237.9447,0.7487,0.4372,0.1658,0.2563,0.0000,0.0251,0.0201,0.1407,0.0151,0.0402,0.0050,0.1508,0.0101,0.0352,0.0050,30.3216,8.7990,0.0101,0.0151,0.0101,0.0101,0.0000,0.0000,0.0000,50.0000,0.3417,0.0352,0.2462
13,13.0000,237.9146,0.5427,0.6231,0.2161,0.2563,0.0000,0.0201,0.0251,0.1407,0.0151,0.0402,0.0050,0.1508,0.0101,0.0302,0.0101,30.3216,9.5628,0.0101,0.0151,0.0101,0.0101,0.0000,0.0000,0.0000,50.0000,0.3719,0.0352,0.2814
14,14.0000,237.7739,0.3668,0.6533,0.3015,0.2563,0.0000,0.0201,0.0251,0.1608,0.0151,0.0905,0.0352,0.2412,0.0101,0.0352,0.0151,30.3216,10.3467,0.0151,0.0151,0.0151,0.0151,0.0000,0.0000,0.0000,50.0000,0.4020,0.0452,0.3116
15,15.0000,236.5176,0.5678,0.4322,0.2714,1.0452,0.0402,0.2010,0.1206,0.2412,0.0201,0.0804,0.0603,0.2965,0.0151,0.0452,0.0452,42.2663,11.1307,0.0201,0.0704,0.0201,0.0201,0.0000,0.0000,0.0000,50.0000,0.4271,0.1106,0.3116
16,16.0000,236.0955,0.6734,0.4874,0.3317,1.0452,0.0352,0.1910,0.1357,0.2412,0.0151,0.0754,0.0704,0.4472,0.0201,0.0804,0.0553,42.2663,11.8693,0.0302,0.0704,0.0201,0.0302,0.0000,0.0000,0.0000,50.0000,0.4422,0.1206,0.3367
