,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,239.9749,0.0251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6884,0.7437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0251,0.0000,0.0000
2,2.0000,239.9146,0.0704,0.0151,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.3769,1.4774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0653,0.0000,0.0151
3,3.0000,239.8124,0.0888,0.0318,0.0000,0.0637,0.0000,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.0653,2.1910,0.0000,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0955,0.0034,0.0302
4,4.0000,239.7454,0.1307,0.0570,0.0000,0.0637,0.0000,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0653,2.8761,0.0000,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1256,0.0034,0.0503
5,5.0000,239.6533,0.1608,0.0654,0.0201,0.0955,0.0000,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0620,3.5980,0.0000,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1457,0.0050,0.0603
6,6.0000,239.6282,0.1524,0.0854,0.0335,0.0955,0.0000,0.0034,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0620,4.2479,0.0000,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1709,0.0050,0.0687
7,7.0000,239.6081,0.1139,0.1290,0.0486,0.0955,0.0000,0.0034,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0620,4.8727,0.0000,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1910,0.0050,0.0988
8,8.0000,239.3652,0.2043,0.1390,0.0570,0.2194,0.0000,0.0117,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.3735,5.5377,0.0000,0.0117,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.2060,0.0117,0.1089
9,9.0000,239.1189,0.2714,0.1692,0.0721,0.3350,0.0067,0.0184,0.0084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41.6851,6.2211,0.0000,0.0184,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.2211,0.0184,0.1424
