,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,240.0016,0.0317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.7651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0317,0.0000,0.0000
2,2.0000,239.9863,0.0604,0.0236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.0000,1.4053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0671,0.0000,0.0236
3,3.0000,240.0083,0.0993,0.0263,0.0000,0.1864,0.0000,0.0098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.0000,2.1073,0.0000,0.0098,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0929,0.0098,0.0317
4,4.0000,239.9815,0.1598,0.0442,0.0000,0.3291,0.0098,0.0177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.0000,2.9402,0.0000,0.0177,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1291,0.0177,0.0536
5,5.0000,239.9137,0.2190,0.0633,0.0000,0.4303,0.0098,0.0317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0031,3.6781,0.0000,0.0234,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1668,0.0234,0.0638
6,6.0000,239.8745,0.2279,0.0920,0.0208,0.4303,0.0098,0.0294,0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0031,4.4011,0.0000,0.0234,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.2161,0.0234,0.0823
7,7.0000,239.8449,0.2089,0.1279,0.0368,0.4303,0.0098,0.0159,0.0177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0031,5.2239,0.0000,0.0234,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.2510,0.0234,0.1077
8,8.0000,239.7175,0.3166,0.1759,0.0343,0.5702,0.0244,0.0244,0.0299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,72.0078,5.9589,0.0000,0.0316,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.3006,0.0316,0.1437
9,9.0000,239.5128,0.3235,0.2240,0.0525,0.8445,0.0357,0.1005,0.0323,0.0000,0.0000,0.0000,0.0000,0.2807,0.0000,0.0148,0.0000,84.0094,6.6537,0.0148,0.0531,0.0000,0.0148,0.0000,0.0000,0.0000,50.0000,0.3180,0.0563,0.1690
10,10.0000,239.1657,0.3493,0.2043,0.0594,1.3828,0.0848,0.2294,0.0629,0.0000,0.0000,0.0000,0.0000,0.2807,0.0000,0.0148,0.0000,104.0001,7.4589,0.0148,0.0890,0.0000,0.0148,0.0000,0.0000,0.0000,50.0000,0.3385,0.0914,0.2145
11,11.0000,239.0159,0.4075,0.2412,0.0712,1.4809,0.0740,0.2446,0.0932,0.0000,0.0000,0.0000,0.0000,0.2807,0.0000,0.0148,0.0000,111.9833,8.2577,0.0148,0.0951,0.0000,0.0148,0.0000,0.0000,0.0000,50.0000,0.3491,0.0976,0.2368
12,12.0000,238.8175,0.4193,0.2824,0.1008,1.6658,0.0869,0.2475,0.1511,0.0000,0.0000,0.0000,0.0000,0.2807,0.0000,0.0148,0.0000,119.9605,8.9655,0.0148,0.1100,0.0000,0.0148,0.0000,0.0000,0.0000,50.0000,0.3544,0.1098,0.2615
13,13.0000,238.7958,0.3170,0.3540,0.1563,1.6658,0.0591,0.2434,0.1830,0.0000,0.0000,0.0000,0.0000,0.2807,0.0000,0.0148,0.0000,119.9605,9.7562,0.0148,0.1100,0.0000,0.0148,0.0000,0.0000,0.0000,50.0000,0.3777,0.1098,0.2645
14,14.0000,238.7629,0.2795,0.3893,0.1986,1.6658,0.0459,0.2380,0.1987,0.0000,0.0000,0.0000,0.0000,0.2807,0.0000,0.0148,0.0000,119.9605,10.5889,0.0148,0.1100,0.0000,0.0148,0.0000,0.0000,0.0000,50.0000,0.4162,0.1098,0.2636
15,15.0000,238.3078,0.5287,0.3563,0.2167,1.9284,0.0402,0.2650,0.2392,0.0835,0.0049,0.0098,0.0000,0.3941,0.0293,0.0505,0.0146,131.9217,11.2376,0.0237,0.1293,0.0049,0.0237,0.0000,0.0000,0.0000,50.0000,0.4641,0.1349,0.2971
