,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,0.0145,0.0145,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5432,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0145,0.0000,0.0000
2,2.0000,0.0493,0.0303,0.0098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0349,0.0000,0.0098
3,3.0000,0.5104,0.0764,0.0136,0.0000,0.3480,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6988,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0523,0.0010,0.0145
4,4.0000,1.1044,0.2432,0.0261,0.0000,0.6961,0.0000,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7671,0.0000,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0766,0.0019,0.0279
5,5.0000,1.8632,0.3877,0.0785,0.0000,1.0441,0.0000,0.0029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2442,0.0000,0.0029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1024,0.0029,0.0424
6,6.0000,1.8893,0.3318,0.1311,0.0067,1.0441,0.0000,0.0000,0.0029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9458,0.0000,0.0029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1398,0.0029,0.0545
7,7.0000,1.9098,0.2248,0.1729,0.0203,1.0441,0.0000,0.0000,0.0029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.8181,0.0000,0.0029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1686,0.0029,0.0875
8,8.0000,4.1638,0.5812,0.2427,0.0311,2.2474,0.0039,0.0037,0.0068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3503,0.0000,0.0066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2374,0.0066,0.1204
9,9.0000,9.4073,0.5245,0.7138,0.0625,4.2297,0.0059,0.0654,0.0127,0.0000,0.0000,0.0000,0.0000,0.9707,0.0000,0.0027,0.0000,0.0134,6.0809,0.0027,0.0130,0.0000,0.0027,0.0000,0.0000,0.0000,0.0000,0.2574,0.0156,0.1320
