,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1,239.9816,0.0397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0397,0.0000,0.0000
2,2,239.8916,0.2457,0.0225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0626,0.0000,0.0225
3,3,239.7350,0.4457,0.0768,0.0064,0.0000,0.0000,0.0000,0.0000,0.0526,0.0315,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2534,0.0000,0.0000,0.0048,0.0000,0.0000,0.0000,0.0000,50.0000,0.0851,0.0048,0.0334
4,4,239.5267,0.7053,0.1644,0.0166,0.0000,0.0000,0.0000,0.0000,0.0526,0.0268,0.0168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0265,0.0000,0.0000,0.0048,0.0000,0.0000,0.0000,0.0000,50.0000,0.1118,0.0048,0.0455
5,5,239.2599,0.9599,0.3064,0.0274,0.0000,0.0000,0.0000,0.0000,0.0526,0.0372,0.0430,0.0059,0.0000,0.0266,0.0325,0.0000,0.0000,3.7737,0.0030,0.0000,0.0064,0.0030,0.0000,0.0000,0.0000,50.0000,0.1314,0.0079,0.0653
6,6,239.2286,0.7156,0.5088,0.0580,0.0000,0.0000,0.0000,0.0000,0.0526,0.0330,0.0396,0.0147,0.0351,0.0536,0.0400,0.0089,0.0000,4.5064,0.0064,0.0000,0.0064,0.0064,0.0000,0.0000,0.0000,50.0000,0.1545,0.0108,0.1069
7,7,239.2088,0.4936,0.6217,0.1181,0.0000,0.0000,0.0000,0.0000,0.0526,0.0475,0.0810,0.0264,0.0362,0.0445,0.0741,0.0143,0.0000,5.2750,0.0079,0.0000,0.0094,0.0079,0.0000,0.0000,0.0000,50.0000,0.1752,0.0149,0.1352
8,8,238.3642,1.4835,0.6018,0.1807,0.0000,0.0000,0.0000,0.0000,0.0526,0.0528,0.1425,0.0463,0.0372,0.0604,0.1238,0.0408,0.0000,6.0529,0.0122,0.0000,0.0135,0.0122,0.0000,0.0000,0.0000,50.0000,0.1998,0.0230,0.1644
9,9,237.2891,2.4268,0.8409,0.2446,0.0000,0.0000,0.0000,0.0000,0.0689,0.0691,0.1532,0.0620,0.0710,0.1214,0.2213,0.0836,0.0000,6.7566,0.0235,0.0000,0.0162,0.0235,0.0000,0.0000,0.0000,50.0000,0.2204,0.0362,0.2025
10,10,236.3085,3.0173,1.3333,0.3246,0.0000,0.0000,0.0000,0.0000,0.1030,0.0815,0.1796,0.1094,0.0710,0.1357,0.2515,0.1172,0.0000,7.5100,0.0271,0.0000,0.0218,0.0271,0.0000,0.0000,0.0000,50.0000,0.2491,0.0446,0.2783
11,11,235.3419,3.2773,1.8519,0.5010,0.0000,0.0000,0.0000,0.0000,0.1150,0.0861,0.1878,0.1388,0.1145,0.2282,0.3961,0.1619,0.0000,8.2305,0.0419,0.0000,0.0243,0.0419,0.0000,0.0000,0.0000,50.0000,0.2743,0.0609,0.3481
12,12,234.1718,3.7540,2.3342,0.7231,0.0000,0.0000,0.0000,0.0000,0.1161,0.1153,0.2211,0.1819,0.1567,0.2761,0.5271,0.2291,0.0000,8.9547,0.0559,0.0000,0.0291,0.0559,0.0000,0.0000,0.0000,50.0000,0.3079,0.0802,0.4244
13,13,234.1202,2.6402,2.9555,0.9887,0.0000,0.0000,0.0000,0.0000,0.1432,0.0986,0.2632,0.2290,0.1827,0.2461,0.6161,0.3351,0.0000,9.6688,0.0651,0.0000,0.0338,0.0651,0.0000,0.0000,0.0000,50.0000,0.3279,0.0936,0.5245
14,14,234.0277,1.8118,3.0331,1.2806,0.0000,0.0000,0.0000,0.0000,0.1867,0.0994,0.3471,0.2827,0.2364,0.2952,0.8121,0.4795,0.0000,10.3644,0.0867,0.0000,0.0423,0.0867,0.0000,0.0000,0.0000,50.0000,0.3607,0.1232,0.5934
15,15,231.6141,4.3024,2.8675,1.5037,0.0000,0.0000,0.0000,0.0000,0.2147,0.1027,0.4025,0.3645,0.3233,0.2817,1.0208,0.6934,0.0000,11.0611,0.1113,0.0000,0.0504,0.1113,0.0000,0.0000,0.0000,50.0000,0.3765,0.1554,0.6327
16,16,229.3481,5.7243,3.4358,1.8034,0.0000,0.0000,0.0000,0.0000,0.2859,0.1139,0.4908,0.4516,0.4416,0.2958,1.1098,0.8752,0.0000,11.7803,0.1305,0.0000,0.0626,0.1305,0.0000,0.0000,0.0000,50.0000,0.3985,0.1862,0.7501
17,17,227.4161,6.2915,4.2508,2.1783,0.0000,0.0000,0.0000,0.0000,0.2684,0.1459,0.5652,0.5728,0.4781,0.3889,1.2356,1.0875,0.0000,12.4698,0.1533,0.0000,0.0749,0.1533,0.0000,0.0000,0.0000,50.0000,0.4247,0.2185,0.8624
18,18,225.1601,6.9688,5.1223,2.6032,0.0000,0.0000,0.0000,0.0000,0.3057,0.1706,0.6688,0.7018,0.5690,0.4990,1.4181,1.3100,0.0000,13.1731,0.1828,0.0000,0.0891,0.1828,0.0000,0.0000,0.0000,50.0000,0.4413,0.2619,1.0057
19,19,221.9009,8.6946,5.9036,3.0684,0.0000,0.0000,0.0000,0.0000,0.3386,0.2282,0.8472,0.8843,0.6627,0.5586,1.7002,1.5795,0.0000,13.8299,0.2186,0.0000,0.1119,0.2186,0.0000,0.0000,0.0000,50.0000,0.4664,0.3173,1.1637
20,20,221.7748,5.8735,6.8074,3.6058,0.0000,0.0000,0.0000,0.0000,0.3726,0.3056,0.9415,1.0776,0.7648,0.7399,2.1483,1.9722,0.0000,14.5477,0.2753,0.0000,0.1310,0.2753,0.0000,0.0000,0.0000,50.0000,0.4854,0.3914,1.3964
21,21,221.6376,3.8750,6.8188,4.1440,0.0000,0.0000,0.0000,0.0000,0.3736,0.2968,1.1875,1.3355,0.9228,0.7641,2.5489,2.4813,0.0000,15.2574,0.3309,0.0000,0.1582,0.3309,0.0000,0.0000,0.0000,50.0000,0.5030,0.4702,1.4960
22,22,217.3450,7.7769,6.3865,4.7992,0.0000,0.0000,0.0000,0.0000,0.3970,0.3132,1.3517,1.5824,0.9906,0.6544,2.7343,2.9973,0.0000,16.0186,0.3675,0.0000,0.1848,0.3675,0.0000,0.0000,0.0000,50.0000,0.5269,0.5264,1.5358
23,23,213.8649,9.3124,7.1029,5.4487,0.0000,0.0000,0.0000,0.0000,0.4224,0.3056,1.4078,1.8437,1.0650,0.7500,3.0607,3.4002,0.0000,16.7194,0.4205,0.0000,0.2036,0.4205,0.0000,0.0000,0.0000,50.0000,0.5443,0.5858,1.6605
