,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1,239.8534,0.2654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.2654,0.0000,0.0000
2,2,239.6206,0.5191,0.0927,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.5143,0.0000,0.0927
3,3,239.3111,0.7977,0.2561,0.0142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.7412,0.0000,0.2345
4,4,238.7662,1.2810,0.4363,0.0391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2804,0.0000,0.0148,0.0000,0.0000,2.9718,0.0148,0.0000,0.0000,0.0148,0.0000,0.0000,0.0000,50.0000,0.9977,0.0148,0.3732
5,5,232.2886,0.7551,0.0000,0.0667,9.1691,0.5373,0.6834,0.0392,0.0000,0.0000,0.0000,0.0000,0.2804,0.0000,0.0148,0.0000,240.0942,3.7617,0.0148,0.6834,0.0000,0.0148,0.0000,0.0000,0.0000,50.0000,1.2314,0.5227,0.5227
6,6,231.8618,0.8205,0.2312,0.0667,9.1691,0.3882,0.7795,0.1071,0.0000,0.0000,0.0000,0.0000,0.5994,0.0000,0.0315,0.0000,240.0942,4.4460,0.0315,0.6834,0.0000,0.0315,0.0000,0.0000,0.0000,50.0000,1.4911,0.5339,0.6918
7,7,231.6308,0.8814,0.4086,0.0988,9.1691,0.2455,0.8296,0.2006,0.0000,0.0000,0.0000,0.0000,0.5994,0.0000,0.0315,0.0000,240.0942,5.2364,0.0315,0.6834,0.0000,0.0315,0.0000,0.0000,0.0000,50.0000,1.7416,0.5339,0.8291
8,8,230.8892,1.4276,0.5674,0.1610,9.1691,0.1860,0.7520,0.3357,0.2806,0.0000,0.0148,0.0000,0.5994,0.0000,0.0315,0.0000,240.0942,5.9241,0.0315,0.6834,0.0148,0.0315,0.0000,0.0000,0.0000,50.0000,2.0300,0.5400,0.9481
9,9,229.7079,2.1504,0.9174,0.2343,9.1691,0.1362,0.6823,0.4570,0.4399,0.0147,0.0238,0.0000,0.7440,0.0000,0.0392,0.0000,240.0942,6.6190,0.0392,0.6834,0.0238,0.0392,0.0000,0.0000,0.0000,50.0000,2.2824,0.5502,1.1517
