,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.0000,0.1511,0.1511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1511,0.0000,0.0000
2,0.0000,0.5224,0.3798,0.0629,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3447,0.0000,0.0629
3,0.0000,1.3900,0.8004,0.2103,0.0142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9679,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5730,0.0000,0.1746
4,0.0000,6.5320,1.5696,0.3632,0.0321,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1972,0.0634,0.0634,0.0000,0.0000,2.6790,0.0097,0.0000,0.0000,0.0097,0.0000,0.0000,0.0000,0.0000,0.8044,0.0097,0.2846
5,0.0000,12.4624,2.2363,0.9344,0.0971,0.0000,0.0000,0.0000,0.0000,2.8738,0.0442,0.0245,0.0000,2.1972,0.0244,0.1218,0.0000,0.0000,3.2169,0.0097,0.0000,0.0098,0.0097,0.0000,0.0000,0.0000,0.0000,0.9960,0.0193,0.3908
6,0.0000,14.4396,1.6797,1.7327,0.1811,0.0000,0.0000,0.0000,0.0000,2.8738,0.0196,0.0490,0.0000,3.9283,0.0197,0.0921,0.0097,0.0000,3.5010,0.0145,0.0000,0.0098,0.0145,0.0000,0.0000,0.0000,0.0000,1.1964,0.0240,0.5320
7,0.0000,19.7244,1.5107,2.0412,0.2618,0.0000,0.0000,0.0000,0.0000,4.5782,0.0196,0.0291,0.0049,7.3702,0.0197,0.0772,0.0243,0.0000,4.2072,0.0240,0.0000,0.0145,0.0240,0.0000,0.0000,0.0000,0.0000,1.4482,0.0378,0.6853
8,0.0000,187.9565,1.5620,0.3774,0.3014,149.5750,0.2267,1.9339,0.1873,4.5782,0.0049,0.0145,0.0442,13.9981,0.0244,0.4505,0.0532,5.9804,4.7419,0.0468,0.9450,0.0145,0.0468,0.0000,0.0000,0.0000,0.0000,1.5359,0.4732,0.8194
9,0.0000,192.1700,2.9258,0.8915,0.3558,149.5750,0.1649,1.7359,0.4183,4.5782,0.0049,0.0145,0.0442,15.6112,0.0049,0.5687,0.0964,5.9804,5.4310,0.0512,0.9450,0.0145,0.0512,0.0000,0.0000,0.0000,0.0000,1.8317,0.4722,0.8684
10,0.0000,196.6135,5.1960,1.7147,0.5224,149.5750,0.1163,1.5957,0.6493,4.5782,0.0049,0.0098,0.0488,15.6112,0.0049,0.3700,0.1491,5.9804,6.5613,0.0512,0.9450,0.0145,0.0512,0.0000,0.0000,0.0000,0.0000,2.0491,0.4722,1.0054
11,0.0000,205.1404,7.4935,2.8500,0.7893,149.5750,0.0476,1.3899,0.8330,5.7054,0.0183,0.0424,0.0488,16.2095,0.0246,0.5251,0.1577,5.9804,7.2564,0.0556,0.9450,0.0189,0.0556,0.0000,0.0000,0.0000,0.0000,2.1170,0.4701,1.0610
12,0.0000,225.1837,11.3018,6.0387,1.1394,149.5750,0.0386,1.2536,1.0005,5.7054,0.0046,0.0604,0.0536,16.8159,0.0246,0.5262,0.1577,5.9804,8.0238,0.0572,0.9450,0.0189,0.0572,0.0000,0.0000,0.0000,0.0000,2.1951,0.4689,1.3026
13,0.0000,234.4771,5.9426,9.6134,1.7981,149.5750,0.0236,0.9861,1.4290,5.7054,0.0046,0.0241,0.0713,19.9978,0.0729,0.6006,0.1859,5.9804,9.2391,0.0699,0.9450,0.0189,0.0699,0.0000,0.0000,0.0000,0.0000,2.4983,0.4850,1.3851
14,0.0000,251.1540,3.2438,11.3551,2.4075,149.5750,0.0142,0.8506,1.5663,6.9763,0.0852,0.1119,0.0759,24.9676,0.2774,0.6382,0.3646,5.9804,9.6653,0.0933,0.9450,0.0261,0.0933,0.0000,0.0000,0.0000,0.0000,2.6350,0.5375,1.4612
15,0.0000,588.4525,1.9817,0.7216,1.5514,396.4150,1.2558,10.4400,3.7585,8.0911,0.0662,0.4015,0.2391,35.5621,0.2420,1.5889,0.6633,70.9077,10.0881,0.1410,4.6657,0.0347,0.1410,0.0000,0.0000,0.0000,0.0000,2.9877,1.4756,1.5453
16,0.0000,594.7534,3.2215,1.1951,1.7505,396.4150,0.8149,9.3518,5.0484,8.0911,0.0045,0.4980,0.3141,38.5701,0.2590,1.6299,1.0488,70.9077,10.6817,0.1568,4.6657,0.0347,0.1568,0.0000,0.0000,0.0000,0.0000,2.9632,1.4809,1.7159
17,0.0000,605.3144,5.6950,1.9621,1.9926,396.4150,0.4618,8.3436,6.3864,8.6147,0.0238,0.3067,0.5984,41.4887,0.2381,1.6373,1.2295,70.9077,11.2695,0.1662,4.6657,0.0392,0.1662,0.0000,0.0000,0.0000,0.0000,3.1234,1.4987,1.7147
18,0.0000,609.2503,7.1279,3.6139,2.6763,396.4150,0.2393,8.1536,7.9466,9.1017,0.0639,0.4314,0.6311,40.9192,0.1182,1.5873,1.4577,70.9077,12.0946,0.1682,4.6657,0.0433,0.1682,0.0000,0.0000,0.0000,0.0000,3.1898,1.5141,1.6435
19,0.0000,617.6102,10.7038,5.2141,3.1438,396.4150,0.1276,6.6674,10.5175,6.4070,0.0639,0.3580,0.6712,44.5120,0.3608,2.3786,2.0685,70.9077,12.7114,0.1959,4.6657,0.0433,0.1959,0.0000,0.0000,0.0000,0.0000,3.3186,1.5230,1.7316
20,0.0000,619.6513,6.0523,7.6337,3.6660,396.4150,0.0855,5.3792,12.6298,6.4070,0.0227,0.3756,0.8948,46.3737,0.3121,2.6076,2.7430,70.9077,13.0801,0.2168,4.6657,0.0433,0.2168,0.0000,0.0000,0.0000,0.0000,3.3815,1.5139,2.0726
21,0.0000,624.6443,3.8311,8.4416,5.3238,396.4150,0.0652,4.1143,15.1992,4.7482,0.0180,0.2353,1.0656,39.2949,0.2397,2.4690,3.4647,70.9077,13.4227,0.2219,4.6657,0.0433,0.2219,0.0000,0.0000,0.0000,0.0000,3.5915,1.5466,2.3684
22,0.0000,752.9530,2.2888,0.9959,5.6893,418.4187,1.6165,12.6701,18.3903,4.7482,0.0045,0.2079,1.1900,43.0052,0.1910,2.2261,3.5142,194.9985,14.1037,0.2598,7.5621,0.0433,0.2598,0.0000,0.0000,0.0000,0.0000,3.8422,1.9383,2.2146
23,0.0000,744.0652,4.3283,2.0607,5.7787,418.4187,1.1347,10.6223,21.8852,4.7482,0.0000,0.1677,1.2595,45.3569,0.1100,2.0080,4.0687,194.9985,14.5229,0.2726,7.5621,0.0433,0.2726,0.0000,0.0000,0.0000,0.0000,3.9730,1.9297,2.1247
