,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.0000,0.1874,0.1874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1874,0.0000,0.0000
2,0.0000,4.9237,0.4227,0.0435,0.0000,3.9284,0.0000,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3161,0.0000,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3990,0.0109,0.0544
3,0.0000,17.8695,0.7906,0.1357,0.0035,14.6418,0.0066,0.0482,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9136,0.0000,0.0490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6084,0.0415,0.1529
4,0.0000,41.5175,1.3377,0.2536,0.0141,32.5857,0.0723,0.1359,0.0048,0.0000,0.0000,0.0000,0.0000,1.7865,0.0000,0.0049,0.0000,0.3959,2.5255,0.0049,0.1334,0.0000,0.0049,0.0000,0.0000,0.0000,0.0000,0.7519,0.0990,0.2727
5,0.0000,74.9029,1.6243,0.3718,0.0359,56.2146,0.2376,0.3051,0.0205,0.3538,0.0000,0.0010,0.0000,2.1212,0.0000,0.0058,0.0000,0.7918,3.3059,0.0058,0.2975,0.0010,0.0058,0.0000,0.0000,0.0000,0.0000,0.9914,0.1809,0.3689
6,0.0000,78.1555,1.1613,0.9644,0.0559,56.2146,0.1366,0.4101,0.0461,0.3538,0.0000,0.0010,0.0000,5.1109,0.0098,0.0271,0.0039,0.7918,3.9247,0.0154,0.2975,0.0010,0.0154,0.0000,0.0000,0.0000,0.0000,1.2251,0.1893,0.5137
7,0.0000,80.8869,0.8985,1.3328,0.1523,56.2146,0.0569,0.4952,0.0819,0.3538,0.0000,0.0010,0.0000,7.1870,0.0289,0.0926,0.0145,0.7918,5.0178,0.0239,0.2975,0.0010,0.0239,0.0000,0.0000,0.0000,0.0000,1.3942,0.1960,0.6520
8,0.0000,148.9395,1.9286,0.8760,0.2660,110.1490,0.0989,0.9313,0.2181,0.7054,0.0000,0.0020,0.0000,8.4851,0.0289,0.0874,0.0327,3.8201,5.7359,0.0284,0.8478,0.0020,0.0284,0.0000,0.0000,0.0000,0.0000,1.4866,0.3666,0.7717
9,0.0000,212.8436,2.7150,0.8477,0.3105,158.5399,0.3843,1.3834,0.4611,1.9800,0.0039,0.0049,0.0010,10.3755,0.0458,0.1242,0.0487,12.7199,6.4049,0.0348,1.4706,0.0059,0.0348,0.0000,0.0000,0.0000,0.0000,1.6534,0.5279,0.8357
