,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1,239.8729,0.2347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.2347,0.0000,0.0000
2,2,239.5721,0.5782,0.1050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.5631,0.0000,0.1050
3,3,239.2278,0.9078,0.2459,0.0314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.8448,0.0000,0.2320
4,4,238.7502,1.2802,0.4695,0.0829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,1.1161,0.0000,0.4050
5,5,236.3825,1.4751,0.5767,0.1257,3.5584,0.1724,0.2744,0.0147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.8660,4.0854,0.0000,0.1992,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,1.3806,0.1992,0.5900
6,6,235.9354,1.3016,0.8769,0.2100,3.5584,0.1125,0.3002,0.0537,0.2807,0.0000,0.0148,0.0000,0.4171,0.0295,0.0368,0.0000,29.8660,4.7973,0.0238,0.1992,0.0148,0.0238,0.0000,0.0000,0.0000,50.0000,1.6060,0.2161,0.8089
7,7,235.6382,1.1224,1.1698,0.3357,3.5584,0.0829,0.2897,0.1043,0.2807,0.0000,0.0148,0.0000,0.5324,0.0148,0.0969,0.0148,29.8660,5.5455,0.0319,0.1992,0.0148,0.0319,0.0000,0.0000,0.0000,50.0000,1.8524,0.2217,0.9768
8,8,234.5431,1.9566,1.1759,0.5647,3.5584,0.0765,0.2284,0.1715,0.3949,0.0000,0.0795,0.0147,0.6782,0.0148,0.0933,0.0238,29.8660,6.3515,0.0393,0.1992,0.0238,0.0393,0.0000,0.0000,0.0000,50.0000,2.1256,0.2328,1.0326
9,9,233.1138,2.7124,1.5212,0.7608,3.5584,0.0701,0.2089,0.1956,0.5548,0.0000,0.0572,0.0441,1.0501,0.0236,0.1270,0.0318,29.8660,7.1246,0.0602,0.1992,0.0318,0.0602,0.0000,0.0000,0.0000,50.0000,2.3105,0.2565,1.2106
