,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1,239.8104,0.3129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.3129,0.0000,0.0000
2,2,239.4619,0.6966,0.1413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3898,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.6553,0.0000,0.1413
3,3,238.3450,0.8668,0.2450,0.0000,2.0593,0.0570,0.1382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,2.1265,0.0000,0.1114,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.8792,0.1114,0.3104
4,4,237.8086,1.2619,0.5073,0.0000,2.0593,0.0506,0.1324,0.0238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,2.8759,0.0000,0.1114,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,1.1001,0.1114,0.5003
5,5,237.0748,1.7538,0.7538,0.0799,2.0593,0.0237,0.1390,0.0466,0.0000,0.0000,0.0000,0.0000,0.2362,0.0148,0.0443,0.0000,60.0000,3.6047,0.0148,0.1114,0.0000,0.0148,0.0000,0.0000,0.0000,50.0000,1.3743,0.1175,0.6118
6,6,236.7435,1.6231,1.0701,0.2089,2.0593,0.0237,0.1201,0.0705,0.0000,0.0000,0.0000,0.0000,0.4158,0.0148,0.0508,0.0000,60.0000,4.2834,0.0237,0.1114,0.0000,0.0237,0.0000,0.0000,0.0000,50.0000,1.6625,0.1236,0.7813
7,7,236.2913,1.5036,1.2701,0.3781,2.0593,0.0237,0.1010,0.0832,0.0000,0.0000,0.0000,0.0000,0.8280,0.0148,0.0974,0.0000,60.0000,5.0633,0.0465,0.1114,0.0000,0.0465,0.0000,0.0000,0.0000,50.0000,1.9281,0.1437,0.9408
8,8,235.0268,2.4301,1.5915,0.5213,2.0593,0.0148,0.1143,0.0832,0.0000,0.0000,0.0000,0.0000,0.9551,0.0238,0.0932,0.0148,60.0000,5.7611,0.0535,0.1114,0.0000,0.0535,0.0000,0.0000,0.0000,50.0000,2.1900,0.1496,1.1678
9,9,233.3303,3.4691,2.1888,0.6572,2.0593,0.0148,0.1085,0.0895,0.0000,0.0000,0.0000,0.0000,1.3143,0.0305,0.1113,0.0237,60.0000,6.4638,0.0729,0.1114,0.0000,0.0729,0.0000,0.0000,0.0000,50.0000,2.4330,0.1667,1.3711
