,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,0.2414,0.2414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2414,0.0000,0.0000
2,2,0.8656,0.6065,0.0829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5352,0.0000,0.0829
3,3,9.1013,0.8080,0.2113,0.0049,6.1560,0.0195,0.0478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.3778,2.0801,0.0000,0.0189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7891,0.0189,0.1749
4,4,12.9378,1.9367,0.5092,0.0428,6.1560,0.0195,0.0478,0.0000,0.0000,0.0000,0.0000,0.0000,1.7187,0.0000,0.0048,0.0000,22.3778,2.7513,0.0048,0.0189,0.0000,0.0048,0.0000,0.0000,0.0000,0.0000,1.1170,0.0235,0.3535
5,5,16.6937,3.0160,1.1794,0.0692,6.1560,0.0195,0.0478,0.0000,0.0000,0.0000,0.0000,0.0000,1.7187,0.0000,0.0048,0.0000,22.3778,3.0986,0.0048,0.0189,0.0000,0.0048,0.0000,0.0000,0.0000,0.0000,1.2847,0.0235,0.5544
6,6,18.1258,1.7788,2.2464,0.1837,6.1560,0.0195,0.0287,0.0097,0.0000,0.0000,0.0000,0.0000,2.9674,0.0049,0.0490,0.0000,22.3778,3.8472,0.0096,0.0189,0.0000,0.0096,0.0000,0.0000,0.0000,0.0000,1.4354,0.0282,0.7497
7,7,25.4309,1.3909,2.4542,0.3762,6.1560,0.0195,0.0287,0.0097,2.9744,0.0330,0.2333,0.0000,4.6920,0.0049,0.0537,0.0000,22.3778,4.5758,0.0144,0.0189,0.0130,0.0144,0.0000,0.0000,0.0000,0.0000,1.6745,0.0447,0.8037
8,8,38.3257,3.4782,2.4003,0.7138,6.1560,0.0195,0.0097,0.0189,2.9744,0.0223,0.1515,0.0237,8.9111,0.0098,0.1784,0.0049,22.3778,5.5555,0.0282,0.0189,0.0130,0.0282,0.0000,0.0000,0.0000,0.0000,1.8828,0.0576,0.7666
9,9,62.3094,5.7552,2.8489,1.4141,6.1560,0.0195,0.0097,0.0189,4.1458,0.0264,0.1555,0.0278,21.8453,0.1063,0.2984,0.0190,22.3778,5.7696,0.0695,0.0189,0.0170,0.0695,0.0000,0.0000,0.0000,0.0000,2.0393,0.0997,0.9970
