,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1,239.8729,0.2347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8660,0.8841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.2347,0.0000,0.0000
2,2,239.5721,0.5782,0.1050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8660,1.6203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.5631,0.0000,0.1050
3,3,239.2129,0.9030,0.2404,0.0314,0.2798,0.0000,0.0147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.8660,2.4239,0.0000,0.0147,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.8448,0.0147,0.2320
4,4,238.7240,1.2692,0.4643,0.0829,0.2798,0.0000,0.0147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.8660,3.2757,0.0000,0.0147,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,1.1161,0.0147,0.4050
5,5,238.0344,1.8124,0.7790,0.1257,0.2798,0.0000,0.0000,0.0147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.8660,4.1023,0.0000,0.0147,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,1.3806,0.0147,0.5850
6,6,237.6530,1.5527,1.1577,0.2388,0.2798,0.0000,0.0000,0.0147,0.2807,0.0000,0.0148,0.0000,0.4171,0.0295,0.0368,0.0000,29.8660,4.8156,0.0238,0.0147,0.0148,0.0238,0.0000,0.0000,0.0000,50.0000,1.6246,0.0394,0.8151
7,7,237.3650,1.3023,1.4943,0.4086,0.2798,0.0000,0.0000,0.0147,0.2807,0.0000,0.0148,0.0000,0.5324,0.0148,0.0969,0.0148,29.8660,5.5890,0.0319,0.0147,0.0148,0.0319,0.0000,0.0000,0.0000,50.0000,1.8890,0.0467,0.9996
8,8,234.6792,2.0862,1.2065,0.6343,2.9066,0.0593,0.3092,0.1188,0.5536,0.0000,0.0854,0.0147,0.8010,0.0238,0.1067,0.0238,48.7525,6.3657,0.0465,0.1665,0.0318,0.0465,0.0000,0.0000,0.0000,50.0000,2.1577,0.2174,1.0334
9,9,233.2390,2.9117,1.6032,0.8023,2.9066,0.0593,0.2608,0.1661,0.5536,0.0000,0.0572,0.0441,1.1818,0.0237,0.1328,0.0318,48.7525,7.0528,0.0670,0.1665,0.0318,0.0670,0.0000,0.0000,0.0000,50.0000,2.3653,0.2341,1.2281
