,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1,239.8728,0.2346,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8679,0.8682,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.2346,0.0000,0.0000
2,2,239.5718,0.5779,0.1048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8679,1.6026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.5631,0.0000,0.1048
3,3,239.2066,0.9087,0.2401,0.0314,0.2780,0.0000,0.0146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.8679,2.4075,0.0000,0.0146,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.8495,0.0146,0.2318
4,4,238.7128,1.2792,0.4644,0.0831,0.2780,0.0000,0.0146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.8679,3.2619,0.0000,0.0146,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,1.1259,0.0146,0.4046
5,5,238.0224,1.8160,0.7846,0.1259,0.2780,0.0000,0.0000,0.0146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.8679,4.0817,0.0000,0.0146,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,1.3903,0.0146,0.5905
6,6,237.6405,1.5516,1.1677,0.2395,0.2780,0.0000,0.0000,0.0146,0.2805,0.0000,0.0148,0.0000,0.4161,0.0295,0.0367,0.0000,29.8679,4.8047,0.0237,0.0146,0.0148,0.0237,0.0000,0.0000,0.0000,50.0000,1.6339,0.0393,0.8263
7,7,237.3579,1.2967,1.5019,0.4093,0.2780,0.0000,0.0000,0.0146,0.2805,0.0000,0.0148,0.0000,0.5314,0.0147,0.0968,0.0147,29.8679,5.5803,0.0318,0.0146,0.0148,0.0318,0.0000,0.0000,0.0000,50.0000,1.8935,0.0466,1.0102
8,8,234.5929,2.0793,1.2107,0.6347,2.9119,0.0606,0.3085,0.1173,0.5551,0.0000,0.0857,0.0148,0.9408,0.0238,0.1125,0.0237,48.7873,6.3563,0.0537,0.1667,0.0319,0.0537,0.0000,0.0000,0.0000,50.0000,2.1631,0.2233,1.0441
9,9,233.1509,2.9043,1.6075,0.8023,2.9119,0.0606,0.2600,0.1645,0.5551,0.0000,0.0573,0.0443,1.3136,0.0237,0.1385,0.0318,48.7873,7.0493,0.0738,0.1667,0.0319,0.0738,0.0000,0.0000,0.0000,50.0000,2.3657,0.2400,1.2382
