,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,146.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,143.8953,0.2792,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.7306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,146.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2792,0.0000,0.0000
2,2,143.7106,0.5938,0.0777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,1.7910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,146.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4857,0.0000,0.0777
3,3,143.4543,0.8371,0.1972,0.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,2.6845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,146.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6704,0.0000,0.1748
4,4,143.1392,1.1682,0.3648,0.0777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,3.4508,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,146.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8213,0.0000,0.3311
5,5,142.6405,1.6743,0.7038,0.1244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,4.1998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,146.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9611,0.0000,0.4788
6,6,142.5109,1.3315,1.0737,0.2527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,4.9664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,146.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1037,0.0000,0.6304
7,7,142.2821,1.1975,1.2136,0.4213,0.1614,0.0231,0.0461,0.0231,0.0000,0.0000,0.0231,0.0000,0.0000,0.0000,0.0000,0.0000,60.4382,5.6735,0.0000,0.0461,0.0231,0.0000,0.0000,0.0000,0.0000,146.0229,0.0000,0.0000,0.0000,0.1845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3012,0.0231,0.6906
8,8,141.2380,1.5200,0.7168,0.3146,1.4293,0.2022,0.8271,0.2570,0.0000,0.0000,0.0231,0.0000,0.0000,0.0000,0.0000,0.0000,124.8297,6.3981,0.0000,0.6774,0.0231,0.0000,0.0000,0.0000,0.0000,145.4315,0.0000,0.0000,0.0000,1.6941,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4468,0.2118,0.8040
9,9,140.6276,2.1316,0.9342,0.4248,1.4293,0.1614,0.7152,0.4095,0.0000,0.0000,0.0432,0.0000,0.0000,0.0000,0.0000,0.0000,125.0517,7.2528,0.0000,0.6774,0.0432,0.0000,0.0000,0.0000,0.0000,145.4315,0.0000,0.0000,0.0000,1.6941,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6015,0.2118,0.9204
