,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,72.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,218.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,71.8822,0.0236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.4978,0.0000,0.0000,0.0000,0.0000,217.7991,0.0618,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1177,0.0000,0.0000
2,2,71.7690,0.0603,-0.0066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,1.3212,0.0000,0.0000,0.0000,0.0000,217.6271,0.1541,-0.0069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2795,0.0000,0.0027
3,3,71.6058,0.1082,0.0194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,2.0048,0.0000,0.0000,0.0000,0.0000,217.4912,0.1923,0.0358,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4038,0.0000,0.0671
4,4,71.2987,0.1518,0.0591,0.0000,-0.0364,-0.0091,-0.0091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.8270,2.6895,-0.0091,-0.0091,0.0000,-0.0091,216.8628,0.3811,0.0533,-0.0091,-0.1184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0091,0.0000,0.6075,-0.0091,0.1334
5,5,71.0404,0.2842,0.0704,-0.0078,-0.0364,-0.0091,0.0000,-0.0091,0.0000,0.0000,-0.0074,0.0000,0.0000,0.0000,0.0000,0.0000,59.8925,3.2238,-0.0091,-0.0091,-0.0074,-0.0091,216.5569,0.4318,0.1839,-0.0068,-0.1184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0091,0.0000,0.8035,-0.0091,0.2367
6,6,70.9692,0.2572,0.1386,0.0045,-0.0364,0.0000,-0.0091,-0.0091,0.0000,0.0000,-0.0074,0.0000,0.0000,0.0000,0.0000,0.0000,59.9675,3.9554,-0.0069,-0.0091,-0.0074,-0.0069,216.4254,0.4281,0.2460,0.0154,-0.1184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0069,0.0000,0.9972,-0.0091,0.2948
7,7,70.7540,0.2733,0.1892,0.0245,-0.0247,-0.0090,-0.0068,-0.0068,0.0000,0.0000,0.0000,-0.0074,0.0000,0.0000,0.0000,0.0000,60.1729,4.5602,0.0025,-0.0123,-0.0074,0.0025,216.0214,0.4611,0.2942,0.0731,-0.0850,0.0000,-0.0090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0025,0.0000,1.3078,-0.0068,0.3651
8,8,70.1766,0.3553,0.1903,0.0465,0.0206,-0.0069,0.0639,0.0027,0.0000,0.0000,0.0000,-0.0074,0.0000,0.0000,0.0000,0.0000,122.2493,5.2041,0.0025,0.1211,-0.0074,0.0025,214.8499,0.6378,0.2884,0.0992,0.0864,-0.0069,0.0376,-0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0025,0.0000,1.4742,0.0073,0.5151
9,9,69.8300,0.4487,0.2625,0.0918,0.0206,-0.0090,0.0551,0.0076,0.0000,0.0000,0.0000,-0.0074,0.0000,0.0000,0.0000,0.0000,122.2493,5.9466,0.0025,0.1211,-0.0074,0.0025,214.4262,0.7803,0.4095,0.1590,0.0864,0.0000,0.0265,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0025,0.0000,1.6284,0.0073,0.5472
10,10,69.3700,0.5890,0.3174,0.0971,0.0330,-0.0090,0.0569,0.0219,0.0000,0.0000,0.0000,-0.0074,0.0000,0.0000,-0.0092,0.0000,122.6509,6.6193,0.0148,0.1482,-0.0149,0.0148,213.6691,0.8656,0.5143,0.2195,0.1773,-0.0067,0.0300,0.0089,0.0000,0.0000,-0.0074,0.0000,0.0000,0.0000,0.0027,-0.0091,1.8029,0.0158,0.6333
11,11,68.8452,0.7186,0.4150,0.1681,0.0696,0.0000,0.0478,0.0444,0.0000,0.0000,0.0000,-0.0074,0.0000,0.0000,0.0000,-0.0092,123.0438,7.3974,0.0288,0.1580,-0.0149,0.0288,212.8070,1.0928,0.7170,0.2466,0.2717,-0.0092,0.0427,0.0089,0.0000,0.0000,0.0000,-0.0074,0.0000,0.0000,0.0152,-0.0091,1.9430,0.0236,0.7715
12,12,68.2416,0.9824,0.5236,0.2143,0.0696,0.0000,0.0478,0.0444,0.0000,0.0000,0.0000,-0.0074,0.0000,0.0000,0.0000,-0.0092,123.1543,8.1028,0.0288,0.1580,-0.0149,0.0288,212.1323,1.3225,0.9355,0.3302,0.2717,-0.0092,0.0386,0.0076,0.0000,0.0000,0.0000,-0.0074,0.0000,0.0000,0.0152,-0.0091,2.1245,0.0236,0.8502
13,13,68.0376,0.7238,0.6831,0.3370,0.1659,-0.0058,0.0481,0.0720,0.0000,0.0000,0.0000,-0.0074,0.0000,0.0000,0.0000,-0.0092,124.6089,8.7383,0.0365,0.1913,-0.0149,0.0365,211.5301,1.0051,1.3000,0.4049,0.5614,-0.0108,0.0486,0.0220,0.0000,0.0000,0.0000,-0.0074,0.0000,0.0000,0.0094,-0.0023,2.3457,0.0484,1.0381
14,14,67.9647,0.4450,0.8941,0.3848,0.1759,-0.0053,0.0564,0.0944,0.0000,0.0000,0.0000,-0.0074,0.0000,0.0000,0.0000,-0.0092,125.2737,9.2916,0.0672,0.2274,-0.0149,0.0672,211.1238,0.8025,1.3133,0.6124,0.7323,-0.0052,0.0528,0.0400,0.0000,0.0000,0.0000,-0.0074,0.0000,0.0000,0.0292,0.0031,2.5370,0.0649,1.0905
