,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,72.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,218.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,71.8687,0.1313,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6465,0.0000,0.0000,0.0000,0.0000,217.9697,0.0303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1616,0.0000,0.0000
2,2.0000,71.7475,0.2323,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4747,0.0000,0.0000,0.0000,0.0000,217.9192,0.0606,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3131,0.0000,0.0303
3,3.0000,71.6566,0.2828,0.0606,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2222,0.0000,0.0000,0.0000,0.0000,217.8990,0.0808,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4040,0.0000,0.0707
4,4.0000,71.5051,0.3434,0.1414,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0606,0.0000,0.0000,0.0000,0.0000,217.8384,0.1313,0.0303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4848,0.0000,0.1616
5,5.0000,71.3737,0.4040,0.1818,0.0303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,0.0000,0.1919,3.9091,0.0101,0.0000,0.0000,0.0101,217.7475,0.1717,0.0707,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5556,0.0000,0.2222
6,6.0000,71.2929,0.3636,0.2626,0.0707,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,0.1919,4.6566,0.0101,0.0000,0.0000,0.0101,217.7273,0.1313,0.1212,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6566,0.0000,0.2626
7,7.0000,71.2121,0.3434,0.3333,0.1010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,0.1919,5.2626,0.0101,0.0000,0.0000,0.0101,217.6667,0.1515,0.1616,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7980,0.0000,0.3131
8,8.0000,70.8687,0.5051,0.3535,0.1414,0.0606,0.0101,0.0303,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,0.0101,0.5758,6.0606,0.0303,0.0404,0.0000,0.0303,217.3535,0.1515,0.1616,0.0505,0.2626,0.0000,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,0.0000,0.8788,0.0202,0.3737
9,9.0000,70.6364,0.5859,0.4646,0.1818,0.0606,0.0101,0.0202,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0202,0.5758,6.7980,0.0303,0.0404,0.0000,0.0303,217.2222,0.2323,0.1919,0.0707,0.2626,0.0000,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,0.0000,0.9596,0.0202,0.4242
10,10.0000,70.3838,0.6869,0.5253,0.2222,0.0707,0.0303,0.0404,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0202,0.7677,7.4646,0.0303,0.0505,0.0000,0.0303,216.9798,0.2727,0.2424,0.0808,0.4040,0.0000,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,1.0505,0.0303,0.4949
11,11.0000,70.0505,0.8182,0.6667,0.2828,0.0707,0.0202,0.0505,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0202,0.7677,8.2626,0.0303,0.0505,0.0000,0.0303,216.8586,0.3434,0.2525,0.1212,0.4040,0.0000,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,1.1414,0.0303,0.5455
12,12.0000,69.6364,0.9697,0.7980,0.3535,0.0808,0.0202,0.0909,0.0202,0.0000,0.0000,0.0101,0.0000,0.0000,0.0000,0.0000,0.0202,0.9596,9.0303,0.0303,0.1010,0.0101,0.0303,216.5253,0.4747,0.2929,0.1414,0.5354,0.0000,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,1.2424,0.0404,0.6566
13,13.0000,69.5152,0.7475,1.0707,0.4242,0.0808,0.0202,0.0808,0.0303,0.0000,0.0000,0.0101,0.0000,0.0000,0.0000,0.0000,0.0202,0.9596,9.8081,0.0303,0.1010,0.0101,0.0303,216.4747,0.4242,0.3434,0.1919,0.5354,0.0000,0.0101,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,1.4141,0.0404,0.7374
14,14.0000,69.4646,0.5455,1.0505,0.5657,0.0808,0.0303,0.0909,0.1111,0.0000,0.0000,0.0202,0.0000,0.0000,0.0000,0.0202,0.0202,1.5354,10.3939,0.0505,0.1616,0.0202,0.0505,216.1919,0.3232,0.3838,0.2525,0.7879,0.0000,0.0303,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,1.4949,0.0606,0.8081
15,15.0000,68.9798,0.8586,1.0707,0.6566,0.1111,0.0404,0.0909,0.1313,0.0000,0.0000,0.0101,0.0101,0.0000,0.0000,0.0101,0.0303,1.7273,11.1919,0.0505,0.1717,0.0303,0.0505,215.8687,0.4242,0.4242,0.2929,0.9192,0.0000,0.0202,0.0303,0.0000,0.0000,0.0101,0.0000,0.0000,0.0000,0.0000,0.0101,1.6162,0.0707,0.8788
