,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,146.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,143.8228,0.1114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6232,0.0000,0.0000,0.0000,0.0000,145.9875,-0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1166,0.0000,0.0000
2,2,143.6187,0.2257,0.0296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0019,0.0000,0.0000,1.2747,-0.0019,0.0000,0.0000,-0.0019,145.9527,0.0122,-0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2646,0.0000,0.0336
3,3,143.3167,0.3986,0.0834,-0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0019,0.0000,0.0000,1.9606,-0.0019,0.0000,0.0000,-0.0019,145.9286,0.0230,0.0015,-0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4142,0.0000,0.0838
4,4,142.8889,0.6211,0.1757,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0015,0.0000,0.0000,2.7030,-0.0015,0.0000,0.0000,-0.0015,145.8799,0.0463,0.0108,-0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5709,0.0000,0.1661
5,5,142.3454,0.8717,0.3339,0.0337,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0019,0.0000,0.0000,0.0000,-0.0007,0.0000,0.0000,3.3203,-0.0007,0.0000,-0.0019,-0.0007,145.8158,0.0797,0.0153,-0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7143,0.0000,0.2554
6,6,142.1593,0.7889,0.5113,0.0908,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0009,-0.0019,0.0000,0.0000,0.0025,-0.0019,0.0000,4.0515,0.0051,0.0000,-0.0002,0.0051,145.8029,0.0642,0.0330,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0018,0.0000,0.8961,0.0000,0.3460
7,7,142.0070,0.7093,0.6559,0.1521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0010,-0.0012,0.0000,0.0000,0.0067,-0.0019,0.0000,4.7531,0.0096,0.0000,0.0007,0.0096,145.7808,0.0606,0.0512,0.0038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0018,0.0000,1.0597,0.0000,0.4505
8,8,141.0985,1.2401,0.7794,0.2314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,-0.0012,0.0000,0.0000,0.0096,-0.0015,0.0000,5.3927,0.0158,0.0000,0.0067,0.0158,145.6870,0.1147,0.0582,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0014,0.0000,1.1918,0.0000,0.5761
9,9,139.9327,1.8420,1.0578,0.3373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0027,-0.0005,0.0000,0.0000,0.0107,0.0002,0.0000,6.1285,0.0189,0.0000,0.0070,0.0189,145.5471,0.1910,0.0830,0.0199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0014,0.0000,1.3488,0.0000,0.6879
10,10,138.4915,2.5266,1.4365,0.4713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014,0.0027,0.0000,0.0000,0.0198,0.0025,0.0000,6.8436,0.0337,0.0000,0.0099,0.0337,145.3407,0.2993,0.1199,0.0312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0015,-0.0018,1.5070,0.0000,0.8057
11,11,136.9434,3.1658,1.9486,0.6507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0039,0.0000,0.0000,0.0294,0.0038,0.0000,7.5323,0.0442,0.0000,0.0130,0.0442,145.1000,0.4093,0.1993,0.0395,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0015,-0.0018,1.6944,0.0000,0.9669
12,12,135.3841,3.5972,2.5851,0.9195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0114,0.0039,0.0000,0.0000,0.0360,0.0107,0.0000,8.3208,0.0653,0.0000,0.0216,0.0653,144.7406,0.5735,0.2880,0.0708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014,-0.0018,1.8389,0.0000,1.1374
13,13,135.2595,2.7019,3.1971,1.2953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0207,0.0039,0.0000,0.0000,0.0488,0.0137,0.0000,9.0582,0.0866,0.0000,0.0315,0.0866,144.7110,0.4261,0.4191,0.1050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0026,-0.0014,1.9895,0.0000,1.3193
14,14,135.0851,2.0700,3.5544,1.6897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0306,0.0080,0.0000,0.0000,0.0647,0.0214,0.0000,9.7531,0.1165,0.0000,0.0468,0.1165,144.6966,0.2951,0.4948,0.1694,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0038,-0.0006,2.1731,0.0000,1.4794
15,15,132.8155,3.4546,3.6480,2.1835,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0389,0.0094,0.0000,0.0000,0.0834,0.0246,0.0000,10.4235,0.1396,0.0000,0.0573,0.1396,144.2722,0.5834,0.4951,0.2416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0014,2.3044,0.0000,1.5939
16,16,130.5524,4.4625,4.0985,2.6970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0355,0.0153,0.0000,0.0000,0.1026,0.0327,0.0000,11.1640,0.1710,0.0000,0.0614,0.1710,143.7897,0.7911,0.6317,0.3097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0019,0.0000,0.0000,0.0000,0.0024,0.0014,2.4420,0.0000,1.7518
17,17,128.0809,5.3220,4.8346,3.2330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0379,0.0247,0.0000,0.0000,0.1272,0.0448,0.0000,11.8942,0.2124,0.0000,0.0739,0.2124,143.2587,1.0015,0.7796,0.4029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0019,0.0000,0.0000,0.0000,0.0026,0.0038,2.6013,0.0000,1.9289
18,18,125.6964,6.0105,5.5451,3.8870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0637,0.0247,0.0000,0.0000,0.1554,0.0652,0.0000,12.6626,0.2763,0.0000,0.1028,0.2763,142.6254,1.2415,0.9745,0.4938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0015,0.0000,0.0000,0.0000,0.0093,0.0038,2.7301,0.0000,2.1176
19,19,122.9967,6.6782,6.3990,4.7127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0756,0.0345,0.0000,0.0000,0.1870,0.0867,0.0000,13.4162,0.3362,0.0000,0.1275,0.3362,141.9163,1.5110,1.1757,0.6403,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0019,-0.0019,0.0000,0.0000,0.0107,0.0067,2.8682,0.0000,2.3302
20,20,122.8878,4.7605,7.4705,5.6064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0880,0.0456,0.0000,0.0000,0.2004,0.1141,0.0000,14.1325,0.4004,0.0000,0.1598,0.4004,141.8979,1.0887,1.4272,0.8146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0015,-0.0019,0.0000,0.0000,0.0153,0.0097,2.9943,0.0000,2.5975
21,21,122.7938,3.5421,7.6935,6.6173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1004,0.0612,0.0000,0.0000,0.2379,0.1318,0.0000,14.8805,0.4745,0.0000,0.1910,0.4745,141.8813,0.7926,1.5295,1.0146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0007,-0.0019,0.0000,0.0000,0.0222,0.0097,3.1013,0.0000,2.7628
22,22,119.5876,5.4632,7.5183,7.7301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1161,0.0559,0.0000,0.0000,0.2562,0.1633,0.0000,15.5659,0.5408,0.0000,0.2101,0.5408,141.0014,1.3393,1.5360,1.2342,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0007,-0.0019,0.0000,0.0000,0.0279,0.0117,3.2654,0.0000,2.8335
23,23,116.4183,6.7612,8.0640,8.6787,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1259,0.0664,0.0000,0.0000,0.2703,0.2058,0.0000,16.2449,0.6169,0.0000,0.2362,0.6169,140.1729,1.6468,1.7438,1.4314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014,-0.0019,0.0000,0.0000,0.0346,0.0166,3.3998,0.0000,2.9989
24,24,113.0400,7.9090,8.7719,9.8263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1325,0.0819,0.0000,0.0000,0.2915,0.2335,0.0000,16.9410,0.6951,0.0000,0.2687,0.6951,139.1824,2.0398,1.9736,1.6803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0038,-0.0015,0.0000,0.0000,0.0442,0.0166,3.5229,0.0000,3.2339
