,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,216.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,215.8513,0.3362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9078,0.0000,0.0000,0.0000,0.0000,74.0027,0.0633,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3693,0.0000,0.0000
2,2,215.6555,0.6463,0.0926,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7198,0.0000,0.0000,0.0000,0.0000,73.9710,0.1326,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6315,0.0000,0.0926
3,3,215.4070,0.9320,0.2737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4969,0.0000,0.0000,0.0000,0.0000,73.9462,0.1764,0.0295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7981,0.0000,0.2256
4,4,214.7478,1.7678,0.5786,0.0472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2652,0.0000,0.0000,0.0000,0.0000,73.9181,0.2059,0.0631,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9738,0.0000,0.4173
5,5,213.9439,2.5837,1.0331,0.1638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0295,0.0000,0.0000,4.1098,0.0295,0.0000,0.0000,0.0295,73.8923,0.2011,0.0921,0.0295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2986,0.0000,0.5082
6,6,213.8302,1.9817,1.5391,0.3945,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0631,0.0000,0.0000,4.7653,0.0631,0.0000,0.0000,0.0631,73.8657,0.1711,0.1458,0.0472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4807,0.0000,0.6057
7,7,213.6536,1.5899,1.9274,0.5968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0470,0.0294,0.0000,5.5011,0.0631,0.0000,0.0000,0.0631,73.8243,0.1892,0.1958,0.0472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7333,0.0000,0.8176
8,8,212.1902,3.3405,2.1454,0.8238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0292,0.0000,0.0000,0.0000,0.0632,0.0294,0.0000,6.3144,0.0782,0.0000,0.0292,0.0782,73.7786,0.2064,0.2438,0.0633,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9288,0.0000,0.8919
9,9,210.2747,5.1460,2.7845,1.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0473,0.0000,0.0000,0.0000,0.0926,0.0294,0.0000,7.0384,0.1065,0.0000,0.0473,0.1065,73.6105,0.4356,0.2556,0.0924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1936,0.0000,1.1286
10,10,207.9334,7.0658,3.7219,1.5610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0634,0.0000,0.0000,0.0000,0.0925,0.0474,0.0000,7.8274,0.1200,0.0000,0.0634,0.1200,73.5170,0.4403,0.3476,0.1460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4548,0.0000,1.2937
11,11,205.4351,8.3525,5.2267,2.0586,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1327,0.0000,0.0000,0.0000,0.1589,0.0474,0.0000,8.6951,0.1897,0.0000,0.1327,0.1897,73.3585,0.5374,0.4224,0.2135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7333,0.0000,1.6722
12,12,202.1607,10.3753,7.1643,2.5676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1650,0.0469,0.0000,0.0000,0.1462,0.0633,0.0000,9.4214,0.1897,0.0000,0.1894,0.1897,73.0854,0.8296,0.5089,0.2489,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8949,0.0000,2.1210
13,13,201.9998,7.6398,8.9788,3.5406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1828,0.0629,0.0000,0.0000,0.1715,0.1142,0.0000,10.2495,0.2493,0.0000,0.2186,0.2493,73.0341,0.6364,0.6916,0.3164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0899,0.0000,2.4019
14,14,201.8050,5.5897,9.9842,4.6730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2161,0.0779,0.0000,0.0000,0.2705,0.1401,0.0000,10.9435,0.3690,0.0000,0.2623,0.3690,73.0119,0.4339,0.8059,0.4234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3137,0.0000,2.6788
15,15,196.6843,10.5986,9.8734,6.1125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1921,0.1326,0.0000,0.0000,0.2878,0.2124,0.0000,11.7271,0.4553,0.0000,0.2884,0.4553,72.7489,0.7190,0.8291,0.5007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5712,0.0000,2.7791
16,16,191.7833,13.7428,11.3831,7.3945,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2316,0.1326,0.0000,0.0000,0.3982,0.2410,0.0000,12.4565,0.5891,0.0000,0.3257,0.5891,72.3980,1.0465,0.9476,0.5777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7579,0.0000,3.0494
17,17,186.0975,16.9258,13.5843,8.9202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2317,0.1643,0.0000,0.0000,0.4075,0.3545,0.0000,13.4827,0.6961,0.0000,0.3478,0.6961,72.0374,1.2186,1.1616,0.7034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9370,0.0000,3.4852
18,18,180.1531,19.1079,16.6118,10.5945,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2999,0.1643,0.0000,0.0000,0.4678,0.3797,0.0000,14.4083,0.7755,0.0000,0.4290,0.7755,71.5297,1.5850,1.3652,0.8226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0294,0.0000,0.0000,0.0000,0.0000,0.0000,4.1910,0.0000,3.8773
19,19,173.2907,21.6315,19.9297,12.7095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3518,0.1889,0.0000,0.0000,0.6211,0.3914,0.0000,15.1370,0.9409,0.0000,0.5030,0.9409,71.0178,1.7961,1.5928,1.0242,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0294,0.0000,0.0000,0.0000,0.0000,0.0000,4.3687,0.0000,4.5858
20,20,173.0283,15.7686,23.3602,15.2127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3551,0.2300,0.0000,0.0000,0.7453,0.4169,0.0000,15.8768,1.1306,0.0000,0.5557,1.1306,70.9885,1.3898,1.8773,1.1828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0474,0.0000,0.0000,0.0000,0.0000,0.0000,4.6561,0.0000,5.2399
