,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,0.0554,0.0554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7550,0.0000,0.0000,0.0000,0.0000,0.0175,0.0175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0710,0.0000,0.0000
2,2,0.1512,0.1199,0.0153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7147,1.5063,0.0020,0.0000,0.0000,0.0020,0.0302,0.0246,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.1521,0.0000,0.0211
3,3,0.2847,0.1716,0.0463,0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7147,1.9711,0.0020,0.0000,0.0000,0.0020,0.0694,0.0573,0.0118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.2454,0.0000,0.0586
4,4,0.5623,0.3212,0.0890,0.0114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7147,2.5905,0.0020,0.0000,0.0000,0.0020,0.0993,0.0675,0.0309,0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.3580,0.0000,0.0973
5,5,0.8885,0.3687,0.2217,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7147,3.3839,0.0020,0.0000,0.0000,0.0020,0.1697,0.1072,0.0470,0.0059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.4785,0.0000,0.1745
6,6,0.9829,0.3675,0.2886,0.0622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,1.4160,4.1804,0.0039,0.0000,0.0000,0.0039,0.1814,0.0980,0.0607,0.0098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.5836,0.0000,0.2065
7,7,1.0974,0.2958,0.3554,0.1044,0.0317,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0039,0.0000,4.2636,5.0099,0.0059,0.0020,0.0000,0.0059,0.5851,0.1006,0.0768,0.0175,0.3346,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.6921,0.0020,0.2795
8,8,1.8669,0.5213,0.4034,0.1459,0.0317,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0039,0.0000,4.2636,5.7544,0.0059,0.0020,0.0000,0.0059,0.7191,0.1991,0.1026,0.0249,0.3346,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.7584,0.0020,0.3385
9,9,2.7928,0.7453,0.6031,0.2378,0.0396,0.0040,0.0179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0059,0.0000,6.3667,6.3044,0.0098,0.0198,0.0020,0.0098,1.3415,0.3060,0.1444,0.0324,0.6692,0.0000,0.0020,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0040,0.0000,0.8523,0.0040,0.3960
10,10,3.7798,0.8922,0.9111,0.3312,0.0396,0.0040,0.0020,0.0080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0039,0.0020,6.3667,7.2556,0.0098,0.0198,0.0020,0.0098,1.5084,0.3578,0.1825,0.0523,0.6692,0.0000,0.0020,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0020,0.0020,0.9681,0.0040,0.4610
