,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,216.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,215.7172,0.2828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.6869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2828,0.0000,0.0000
2,2.0000,215.3232,0.5758,0.1010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,1.3434,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5152,0.0000,0.1010
3,3.0000,214.6566,1.0808,0.2525,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,1.9899,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7374,0.0000,0.2222
4,4.0000,213.6263,1.8283,0.4747,0.0606,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,0.0000,60.1515,2.6061,0.0101,0.0000,0.0000,0.0101,0.0000,0.0000,0.0000,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9495,0.0000,0.3535
5,5.0000,211.9293,2.9394,0.8283,0.1111,0.0707,0.0404,0.0606,0.0000,0.0000,0.0000,0.0101,0.0000,0.0000,0.0000,0.0101,0.0000,60.2929,3.4646,0.0101,0.0404,0.0101,0.0101,0.0000,0.0000,0.0000,73.9798,0.0000,0.0000,0.0000,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2929,0.0101,0.5657
6,6.0000,211.5960,2.0707,1.7576,0.1919,0.2020,0.0505,0.0909,0.0000,0.0000,0.0000,0.0202,0.0000,0.0000,0.0000,0.0101,0.0101,60.5758,4.1414,0.0202,0.0606,0.0202,0.0202,0.0000,0.0000,0.0000,73.9596,0.0000,0.0000,0.0000,0.0404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4949,0.0202,0.8586
7,7.0000,211.4141,1.6162,2.0808,0.4747,0.2020,0.0404,0.1010,0.0000,0.0000,0.0000,0.0404,0.0000,0.0000,0.0000,0.0202,0.0101,61.0101,4.8687,0.0303,0.0606,0.0404,0.0303,0.0000,0.0000,0.0000,73.9596,0.0000,0.0000,0.0000,0.0404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6768,0.0202,1.0101
8,8.0000,207.1212,2.5758,0.9697,0.4343,2.7071,0.4242,1.3131,0.3636,0.0000,0.0000,0.0404,0.0000,0.0000,0.0000,0.0404,0.0101,125.0101,5.6566,0.0505,1.0202,0.0404,0.0505,0.0000,0.0000,0.0000,73.4747,0.0000,0.0000,0.0000,0.5253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9293,0.2626,1.0909
9,9.0000,204.6263,4.2222,1.5152,0.5556,2.8384,0.3131,1.3535,0.4747,0.0000,0.0000,0.0404,0.0101,0.0000,0.0000,0.0303,0.0202,125.3434,6.4242,0.0505,1.0303,0.0505,0.0505,0.0000,0.0000,0.0000,73.4545,0.0000,0.0000,0.0000,0.5455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1010,0.2727,1.2828
