,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,239.6197,0.1854,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6652,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1854,0.0000,0.0000
2,2,239.1060,0.4986,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4660,0.0000,0.0028
3,3,238.1659,0.9692,0.1134,-0.0092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7663,0.0000,0.1040
4,4,236.5797,1.5604,0.3675,-0.0029,-0.0933,-0.0339,-0.0339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0085,0.0000,-0.1612,2.7246,-0.0085,-0.0339,0.0000,-0.0085,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9536,-0.0085,0.2866
5,5,234.5560,2.4887,0.7458,0.0606,-0.0933,-0.0339,-0.0255,-0.0085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0085,0.0000,-0.1612,3.4285,-0.0085,-0.0339,0.0000,-0.0085,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1531,-0.0085,0.4426
6,6,234.1555,1.8142,1.1930,0.1868,-0.0246,-0.0232,-0.0093,-0.0053,0.0000,0.0000,-0.0092,0.0000,0.0000,0.0000,-0.0092,-0.0085,-0.0451,4.2375,-0.0064,-0.0095,-0.0092,-0.0064,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2878,-0.0024,0.6141
7,7,233.8719,1.6080,1.5869,0.2659,-0.0246,-0.0166,-0.0178,-0.0093,0.0000,0.0000,-0.0092,0.0000,0.0000,0.0000,-0.0092,-0.0085,-0.0451,5.0394,-0.0064,-0.0095,-0.0092,-0.0064,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5422,-0.0024,0.7776
8,8,229.9469,3.6407,1.7291,0.4844,0.1402,0.0130,0.0521,0.0126,0.0000,0.0000,-0.0070,0.0000,0.0000,0.0000,0.0117,-0.0085,0.5917,5.7268,0.0179,0.0520,-0.0070,0.0179,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8571,0.0154,0.9478
9,9,225.1344,6.2387,2.3852,0.7066,0.2127,0.0004,0.0689,0.0398,0.0000,0.0000,-0.0027,0.0000,0.0000,0.0000,0.0117,-0.0085,0.7269,6.4739,0.0179,0.0737,-0.0027,0.0179,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1153,0.0221,1.1579
