,trace,day,type
0,0,22,School screening
1,1,15,School screening
2,2,15,School screening
3,3,8,School screening
4,4,8,School screening
5,5,8,School screening
6,6,15,School screening
7,7,15,School screening
8,8,8,School screening
9,9,8,School screening
10,10,8,School screening
11,11,8,School screening
12,12,15,School screening
13,13,8,School screening
14,14,13,External screening
15,15,8,School screening
16,16,8,School screening
17,17,8,School screening
18,18,8,School screening
19,19,8,School screening
20,20,15,School screening
21,21,15,School screening
22,22,8,School screening
23,23,15,School screening
24,24,15,School screening
25,25,15,School screening
26,26,8,School screening
27,27,22,School screening
28,28,15,School screening
29,29,8,School screening
30,30,8,School screening
31,31,8,School screening
32,32,8,School screening
33,33,8,School screening
34,34,8,School screening
35,35,8,School screening
36,36,15,School screening
37,37,15,School screening
38,38,15,School screening
39,39,15,School screening
40,40,15,School screening
41,41,8,School screening
42,42,15,School screening
43,43,8,School screening
44,44,15,School screening
45,45,8,School screening
46,46,15,School screening
47,47,8,School screening
48,48,8,School screening
49,49,8,School screening
50,50,8,School screening
51,51,15,School screening
52,52,22,School screening
53,53,22,School screening
54,54,15,School screening
55,55,14,External screening
56,56,8,School screening
57,57,8,School screening
58,58,8,School screening
59,59,8,School screening
60,60,8,School screening
61,61,10,External screening
62,62,22,School screening
63,63,7,External screening
64,64,15,School screening
65,65,15,School screening
66,66,29,School screening
67,67,8,School screening
68,68,8,School screening
69,69,8,School screening
70,70,29,School screening
71,71,7,External screening
72,72,8,School screening
73,73,15,School screening
74,74,22,School screening
75,75,15,School screening
76,76,8,School screening
77,77,15,School screening
78,78,22,School screening
79,79,22,School screening
80,80,22,School screening
81,81,15,School screening
82,82,8,School screening
83,83,8,School screening
84,84,15,School screening
85,85,15,School screening
86,86,15,School screening
87,87,8,School screening
88,88,8,School screening
89,89,8,External screening
90,90,15,School screening
91,91,8,School screening
92,92,8,School screening
93,93,8,School screening
94,94,8,School screening
95,95,8,School screening
96,96,8,School screening
97,97,15,School screening
98,98,15,School screening
99,99,15,School screening
100,100,8,School screening
101,101,15,School screening
102,102,15,School screening
103,103,8,School screening
104,104,8,School screening
105,105,29,School screening
106,106,8,School screening
107,107,8,School screening
108,108,15,School screening
109,109,8,School screening
110,110,22,School screening
111,111,8,School screening
112,112,8,School screening
113,113,6,External screening
114,114,20,External screening
115,115,15,School screening
116,116,8,School screening
117,117,15,School screening
118,118,8,School screening
119,119,15,School screening
120,120,8,School screening
121,121,15,School screening
122,122,8,School screening
123,123,8,School screening
124,124,15,School screening
125,125,8,School screening
126,126,22,School screening
127,127,6,External screening
128,128,8,School screening
129,129,15,School screening
130,130,8,School screening
131,131,8,School screening
132,132,8,School screening
133,133,8,School screening
134,134,8,School screening
135,135,8,School screening
136,136,7,External screening
137,137,15,School screening
138,138,15,School screening
139,139,8,School screening
140,140,9,External screening
141,141,8,School screening
142,142,15,School screening
143,143,15,School screening
144,144,8,School screening
145,145,15,School screening
146,146,8,School screening
147,147,8,School screening
148,148,8,School screening
149,149,8,School screening
150,150,15,School screening
151,151,8,School screening
152,152,8,School screening
153,153,8,School screening
154,154,15,School screening
155,155,15,School screening
156,156,8,School screening
157,157,8,School screening
158,158,8,School screening
159,159,22,School screening
160,160,8,School screening
161,161,15,School screening
162,162,8,School screening
163,163,8,School screening
164,164,15,School screening
165,165,15,School screening
166,166,8,School screening
167,167,8,School screening
168,168,8,School screening
169,169,8,School screening
170,170,22,School screening
171,171,15,School screening
172,172,8,School screening
173,173,8,School screening
174,174,8,School screening
175,175,8,School screening
176,176,22,School screening
177,177,8,School screening
178,178,8,School screening
179,179,8,School screening
180,180,15,School screening
181,181,8,School screening
182,182,6,External screening
183,183,8,School screening
184,184,8,School screening
185,185,8,School screening
186,186,8,School screening
187,187,15,School screening
188,188,8,School screening
189,189,8,School screening
190,190,14,External screening
191,191,8,School screening
192,192,8,School screening
193,193,15,School screening
194,194,15,School screening
195,195,4,External screening
196,196,8,School screening
197,197,8,School screening
198,198,8,School screening
199,199,8,School screening
