,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,239.8141,0.1859,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7387,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1859,0.0000,0.0000
2,2.0000,239.5176,0.4121,0.0704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.4372,0.0000,0.0704
3,3.0000,239.0955,0.6935,0.1960,0.0151,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1759,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.7236,0.0000,0.1859
4,4.0000,236.1156,0.8141,0.1256,0.0302,2.4724,0.0653,0.1709,0.0050,0.0000,0.0000,0.0000,0.0000,0.1508,0.0251,0.0251,0.0000,119.8995,2.9447,0.0101,0.1508,0.0000,0.0101,0.0000,0.0000,0.0000,50.0000,1.0000,0.1457,0.2714
5,5.0000,235.5025,1.0905,0.3417,0.0503,2.4724,0.0603,0.1508,0.0302,0.0955,0.0000,0.0050,0.0000,0.1508,0.0151,0.0352,0.0000,119.8995,3.6382,0.0101,0.1508,0.0050,0.0101,0.0000,0.0000,0.0000,50.0000,1.2161,0.1508,0.4372
6,6.0000,235.1809,1.0302,0.5829,0.0905,2.4724,0.0553,0.1407,0.0452,0.0955,0.0000,0.0050,0.0000,0.2462,0.0101,0.0352,0.0101,119.8995,4.3216,0.0151,0.1508,0.0050,0.0151,0.0000,0.0000,0.0000,50.0000,1.4422,0.1558,0.6131
7,7.0000,234.6281,1.0050,0.7990,0.1508,2.4724,0.0402,0.1357,0.0653,0.1910,0.0000,0.0101,0.0000,0.4372,0.0101,0.0402,0.0151,119.8995,5.0352,0.0251,0.1508,0.0101,0.0251,0.0000,0.0000,0.0000,50.0000,1.7085,0.1709,0.8040
8,8.0000,233.2060,1.7638,0.9397,0.2714,2.4724,0.0201,0.1407,0.0804,0.1910,0.0000,0.0101,0.0000,0.8090,0.0050,0.0704,0.0201,119.8995,5.7136,0.0452,0.1508,0.0101,0.0452,0.0000,0.0000,0.0000,50.0000,1.9045,0.1910,0.9447
9,9.0000,231.8342,2.4322,1.2161,0.3970,2.4724,0.0101,0.1407,0.0905,0.1910,0.0000,0.0101,0.0000,1.0653,0.0151,0.0905,0.0352,119.8995,6.4020,0.0603,0.1508,0.0101,0.0603,0.0000,0.0000,0.0000,50.0000,2.1106,0.2060,1.0754
