,trace,day,type
0,0,24,School screening
1,1,17,School screening
2,2,17,School screening
3,3,10,School screening
4,4,10,School screening
5,5,10,School screening
6,6,17,School screening
7,7,10,School screening
8,8,10,School screening
9,9,3,School screening
10,10,17,School screening
11,11,10,School screening
12,12,15,External screening
13,13,10,School screening
14,14,13,External screening
15,15,10,School screening
16,16,10,School screening
17,17,10,School screening
18,18,10,School screening
19,19,3,School screening
20,20,17,School screening
21,21,10,School screening
22,22,10,School screening
23,23,17,School screening
24,24,10,School screening
25,25,17,School screening
26,26,10,School screening
27,27,24,School screening
28,28,17,School screening
29,29,10,School screening
30,30,3,School screening
31,31,3,School screening
32,32,10,School screening
33,33,10,School screening
34,34,3,School screening
35,35,10,School screening
36,36,17,School screening
37,37,10,School screening
38,38,17,School screening
39,39,17,School screening
40,40,10,School screening
41,41,3,School screening
42,42,10,School screening
43,43,10,School screening
44,44,17,School screening
45,45,10,School screening
46,46,10,School screening
47,47,10,School screening
48,48,17,School screening
49,49,10,School screening
50,50,10,School screening
51,51,17,School screening
52,52,24,School screening
53,53,24,School screening
54,54,10,School screening
55,55,10,School screening
56,56,3,School screening
57,57,10,School screening
58,58,10,School screening
59,59,10,School screening
60,60,10,School screening
61,61,10,School screening
62,62,24,School screening
63,63,3,School screening
64,64,17,School screening
65,65,17,School screening
66,66,31,School screening
67,67,10,School screening
68,68,3,School screening
69,69,10,School screening
70,70,30,External screening
71,71,7,External screening
72,72,10,School screening
73,73,3,School screening
74,74,24,School screening
75,75,17,School screening
76,76,10,School screening
77,77,17,School screening
78,78,17,School screening
79,79,24,School screening
80,80,17,School screening
81,81,17,School screening
82,82,10,School screening
83,83,10,School screening
84,84,17,School screening
85,85,10,School screening
86,86,17,School screening
87,87,3,School screening
88,88,10,School screening
89,89,8,External screening
90,90,10,School screening
91,91,10,School screening
92,92,10,School screening
93,93,3,School screening
94,94,10,School screening
95,95,10,School screening
96,96,10,School screening
97,97,10,School screening
98,98,17,School screening
99,99,10,School screening
100,100,3,School screening
101,101,10,School screening
102,102,17,School screening
103,103,3,School screening
104,104,3,School screening
105,105,31,School screening
106,106,10,School screening
107,107,10,School screening
108,108,10,School screening
109,109,10,School screening
110,110,31,School screening
111,111,10,School screening
112,112,10,School screening
113,113,3,School screening
114,114,20,External screening
115,115,10,School screening
116,116,3,School screening
117,117,10,School screening
118,118,10,School screening
119,119,10,School screening
120,120,17,School screening
121,121,17,School screening
122,122,10,School screening
123,123,3,School screening
124,124,17,School screening
125,125,3,School screening
126,126,24,School screening
127,127,3,School screening
128,128,10,School screening
129,129,10,School screening
130,130,10,School screening
131,131,3,School screening
132,132,10,School screening
133,133,10,School screening
134,134,10,School screening
135,135,10,School screening
136,136,7,External screening
137,137,17,School screening
138,138,17,School screening
139,139,10,School screening
140,140,9,External screening
141,141,9,External screening
142,142,3,School screening
143,143,17,School screening
144,144,10,School screening
145,145,10,School screening
146,146,10,School screening
147,147,10,School screening
148,148,10,School screening
149,149,10,School screening
150,150,10,School screening
151,151,10,School screening
152,152,10,School screening
153,153,3,School screening
154,154,17,School screening
155,155,17,School screening
156,156,3,School screening
157,157,3,School screening
158,158,10,School screening
159,159,24,School screening
160,160,10,School screening
161,161,17,School screening
162,162,10,School screening
163,163,3,School screening
164,164,17,School screening
165,165,17,School screening
166,166,3,School screening
167,167,10,School screening
168,168,10,School screening
169,169,3,School screening
170,170,22,External screening
171,171,10,School screening
172,172,3,School screening
173,173,10,School screening
174,174,3,School screening
175,175,3,School screening
176,176,24,School screening
177,177,10,School screening
178,178,9,External screening
179,179,3,School screening
180,180,17,School screening
181,181,10,School screening
182,182,6,External screening
183,183,10,School screening
184,184,10,School screening
185,185,10,School screening
186,186,10,School screening
187,187,17,School screening
188,188,10,School screening
189,189,10,School screening
190,190,14,External screening
191,191,10,School screening
192,192,3,School screening
193,193,10,School screening
194,194,17,School screening
195,195,4,External screening
196,196,10,School screening
197,197,10,School screening
198,198,3,School screening
199,199,3,School screening
