,trace,day,type
0,0,15,School screening
1,1,8,School screening
2,2,8,School screening
3,3,9,External screening
4,4,22,School screening
5,5,14,External screening
6,6,15,School screening
7,7,8,School screening
8,8,15,School screening
9,9,15,School screening
10,10,8,School screening
11,11,15,School screening
12,12,22,School screening
13,13,14,External screening
14,14,15,School screening
15,15,15,School screening
16,16,29,School screening
17,17,15,School screening
18,18,21,External screening
19,19,8,School screening
20,20,8,School screening
21,21,15,School screening
22,22,8,School screening
23,23,22,School screening
24,24,8,School screening
25,25,15,School screening
26,26,33,External screening
27,27,8,School screening
28,28,15,School screening
29,29,15,School screening
30,30,6,External screening
31,31,22,School screening
32,32,22,School screening
33,33,22,School screening
34,34,15,School screening
35,35,17,External screening
36,36,8,School screening
37,37,0,-
38,38,15,School screening
39,39,15,School screening
40,40,8,School screening
41,41,15,School screening
42,42,15,School screening
43,43,15,School screening
44,44,13,External screening
45,45,15,School screening
46,46,7,External screening
47,47,8,School screening
48,48,8,School screening
49,49,20,External screening
50,50,29,School screening
51,51,15,School screening
52,52,22,School screening
53,53,15,School screening
54,54,15,School screening
55,55,10,External screening
56,56,15,School screening
57,57,24,External screening
58,58,15,School screening
59,59,8,School screening
60,60,8,School screening
61,61,15,School screening
62,62,6,External screening
63,63,15,School screening
64,64,15,School screening
65,65,15,School screening
66,66,21,External screening
67,67,24,External screening
68,68,22,School screening
69,69,8,School screening
70,70,22,School screening
71,71,15,School screening
72,72,15,School screening
73,73,29,School screening
74,74,15,School screening
75,75,8,School screening
76,76,8,School screening
77,77,22,School screening
78,78,6,External screening
79,79,8,School screening
80,80,15,School screening
81,81,29,School screening
82,82,8,School screening
83,83,15,School screening
84,84,8,School screening
85,85,8,School screening
86,86,14,External screening
87,87,15,School screening
88,88,8,School screening
89,89,26,External screening
90,90,10,External screening
91,91,8,School screening
92,92,15,School screening
93,93,8,School screening
94,94,15,School screening
95,95,15,School screening
96,96,8,School screening
97,97,22,School screening
98,98,22,School screening
99,99,8,School screening
100,100,15,School screening
101,101,8,School screening
102,102,22,School screening
103,103,15,School screening
104,104,18,External screening
105,105,8,School screening
106,106,14,External screening
107,107,8,School screening
108,108,8,School screening
109,109,15,School screening
110,110,8,School screening
111,111,22,School screening
112,112,22,School screening
113,113,22,School screening
114,114,12,External screening
115,115,22,School screening
116,116,15,School screening
117,117,8,School screening
118,118,15,School screening
119,119,8,School screening
120,120,8,School screening
121,121,22,School screening
122,122,8,School screening
123,123,20,External screening
124,124,15,School screening
125,125,15,School screening
126,126,22,School screening
127,127,15,School screening
128,128,15,School screening
129,129,15,School screening
130,130,15,School screening
131,131,8,School screening
132,132,15,School screening
133,133,15,School screening
134,134,15,School screening
135,135,8,School screening
136,136,8,School screening
137,137,24,External screening
138,138,15,School screening
139,139,10,External screening
140,140,15,School screening
141,141,7,External screening
142,142,12,External screening
143,143,8,School screening
144,144,8,School screening
145,145,15,School screening
146,146,15,School screening
147,147,13,External screening
148,148,8,School screening
149,149,8,School screening
150,150,29,School screening
151,151,8,School screening
152,152,15,School screening
153,153,22,School screening
154,154,22,School screening
155,155,15,School screening
156,156,15,School screening
157,157,8,School screening
158,158,10,External screening
159,159,13,External screening
160,160,8,School screening
161,161,0,-
162,162,15,School screening
163,163,15,School screening
164,164,5,External screening
165,165,29,School screening
166,166,22,School screening
167,167,15,School screening
168,168,29,School screening
169,169,15,School screening
170,170,8,School screening
171,171,15,School screening
172,172,22,School screening
173,173,16,External screening
174,174,15,School screening
175,175,15,School screening
176,176,8,School screening
177,177,15,School screening
178,178,15,School screening
179,179,13,External screening
180,180,8,School screening
181,181,8,School screening
182,182,21,External screening
183,183,15,School screening
184,184,8,School screening
185,185,8,School screening
186,186,15,School screening
187,187,15,School screening
188,188,8,School screening
189,189,15,School screening
190,190,8,School screening
191,191,15,School screening
192,192,15,School screening
193,193,9,External screening
194,194,16,External screening
195,195,15,School screening
196,196,22,School screening
197,197,15,School screening
198,198,8,School screening
199,199,23,External screening
