,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,0.2009,0.2009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2009,0.0000,0.0000
2,2,1.0378,0.7425,0.0868,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1982,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4982,0.0000,0.0868
3,3,2.2136,1.2243,0.3019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7703,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6987,0.0000,0.2109
4,4,5.3145,2.6363,0.7223,0.0089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8925,0.0000,0.4030
5,5,10.3996,3.5351,1.4019,0.0812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1198,0.0044,0.0394,0.0000,0.0000,3.0834,0.0044,0.0000,0.0000,0.0044,0.0000,0.0000,0.0000,0.0000,1.1244,0.0044,0.5038
6,6,18.8799,2.7101,1.9059,0.1867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2747,0.0273,0.0894,0.0049,0.0000,3.9073,0.0185,0.0000,0.0000,0.0185,0.0000,0.0000,0.0000,0.0000,1.3585,0.0185,0.6662
7,7,22.2418,2.0471,2.4898,0.3780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.1386,0.0273,0.1281,0.0094,0.0000,5.0859,0.0278,0.0000,0.0000,0.0278,0.0000,0.0000,0.0000,0.0000,1.5649,0.0278,0.8610
8,8,150.9576,3.3575,1.5033,0.4586,85.2103,0.3124,1.8690,0.2854,0.0000,0.0000,0.0000,0.0000,9.6437,0.0321,0.1110,0.0137,0.8119,5.3962,0.0325,0.3835,0.0000,0.0325,0.0000,0.0000,0.0000,0.0000,1.7996,0.3574,1.0109
9,9,159.2110,6.2461,3.0443,0.6026,85.2103,0.1705,1.7666,0.4913,0.0000,0.0000,0.0000,0.0000,11.7934,0.0366,0.1138,0.0321,0.8119,6.6034,0.0393,0.3835,0.0000,0.0393,0.0000,0.0000,0.0000,0.0000,1.9250,0.3601,1.1293
10,10,178.1696,8.7390,3.8333,0.8337,85.2103,0.1069,1.6981,0.6710,1.7748,0.0000,0.0049,0.0000,18.5948,0.1810,0.5204,0.0542,0.8119,7.1764,0.0656,0.3835,0.0049,0.0656,0.0000,0.0000,0.0000,0.0000,2.0162,0.3957,1.2970
11,11,188.3267,11.1546,6.3801,1.3283,85.2103,0.0516,1.6812,1.0060,1.7748,0.0000,0.0049,0.0000,18.5948,0.0811,0.5673,0.0716,0.8119,8.0267,0.0656,0.3835,0.0049,0.0656,0.0000,0.0000,0.0000,0.0000,2.2886,0.3957,1.5461
12,12,215.3457,16.5751,10.0848,2.1848,85.2103,0.0380,1.2011,1.4337,1.7748,0.0000,0.0049,0.0000,20.3170,0.1620,0.8684,0.1601,0.8119,8.7866,0.0781,0.3835,0.0049,0.0781,0.0000,0.0000,0.0000,0.0000,2.5339,0.4085,1.6398
13,13,226.5461,9.6183,14.4112,3.2032,85.2103,0.0237,0.9083,1.8352,1.8161,0.0442,0.2452,0.2406,27.9842,0.2156,0.8698,0.2875,0.8119,9.9302,0.1077,0.3835,0.0098,0.1077,0.0000,0.0000,0.0000,0.0000,2.7048,0.4327,1.8615
14,14,235.0951,5.1087,16.0517,4.6759,85.2103,0.0237,0.8126,1.9497,1.8336,0.0244,1.1407,0.3572,31.0701,0.2487,1.4098,0.5811,0.8119,11.0457,0.1291,0.3835,0.0146,0.1291,0.0000,0.0000,0.0000,0.0000,2.7902,0.4653,2.1499
