,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1,239.8109,0.3134,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7779,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.3134,0.0000,0.0000
2,2,239.4678,0.6923,0.1413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3929,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.6506,0.0000,0.1413
3,3,239.1610,0.9272,0.3475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1291,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.8746,0.0000,0.3049
4,4,237.6345,1.2106,0.4404,0.0147,2.2894,0.1262,0.2086,0.0139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,2.9137,0.0000,0.1555,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,1.1159,0.1293,0.4950
5,5,236.9302,1.6054,0.6668,0.0801,2.2894,0.0669,0.2313,0.0533,0.2212,0.0442,0.0295,0.0000,0.2271,0.0142,0.0426,0.0000,60.0000,3.6642,0.0142,0.1555,0.0147,0.0142,0.0000,0.0000,0.0000,50.0000,1.3968,0.1434,0.6121
6,6,236.5798,1.5109,0.9882,0.1767,2.2894,0.0506,0.2205,0.0885,0.2212,0.0295,0.0295,0.0147,0.4115,0.0142,0.0492,0.0000,60.0000,4.3557,0.0234,0.1555,0.0147,0.0234,0.0000,0.0000,0.0000,50.0000,1.7081,0.1493,0.7829
7,7,236.1582,1.4538,1.1958,0.3027,2.2894,0.0506,0.1889,0.1156,0.2212,0.0147,0.0147,0.0442,0.6858,0.0142,0.0904,0.0000,60.0000,5.1516,0.0391,0.1555,0.0147,0.0391,0.0000,0.0000,0.0000,50.0000,1.9975,0.1610,0.9477
8,8,234.9137,2.3834,1.5091,0.4264,2.2894,0.0235,0.2090,0.1238,0.2212,0.0147,0.0147,0.0442,0.8178,0.0234,0.0866,0.0142,60.0000,5.8542,0.0464,0.1555,0.0147,0.0464,0.0000,0.0000,0.0000,50.0000,2.2565,0.1669,1.1815
9,9,233.2463,3.3836,2.0130,0.5656,2.2894,0.0235,0.1882,0.1454,0.2212,0.0147,0.0147,0.0442,1.3025,0.0391,0.1121,0.0234,60.0000,6.5271,0.0728,0.1555,0.0147,0.0728,0.0000,0.0000,0.0000,50.0000,2.5340,0.1914,1.3463
10,10,230.8627,4.4720,2.5526,0.7835,2.2894,0.0144,0.1806,0.1637,0.5533,0.0000,0.0438,0.0508,1.9066,0.1536,0.2961,0.0566,60.0000,7.1817,0.1167,0.1555,0.0318,0.1167,0.0000,0.0000,0.0000,50.0000,2.7932,0.2435,1.5954
11,11,221.8257,3.4601,1.6176,0.7838,12.0544,1.2433,1.9398,0.5205,0.5533,0.0000,0.0438,0.0508,2.0334,0.1915,0.5157,0.1124,119.2984,7.8956,0.1372,0.9455,0.0318,0.1372,0.0000,0.0000,0.0000,50.0000,3.0543,0.9002,1.7594
12,12,220.1474,4.2279,2.4908,1.0106,12.0544,0.9426,2.0074,0.7613,0.5533,0.0000,0.0438,0.0508,2.1015,0.1860,0.4623,0.2221,119.2984,8.5598,0.1431,0.9455,0.0318,0.1431,0.0000,0.0000,0.0000,50.0000,3.2838,0.9058,2.0260
13,13,219.5594,3.2008,3.2861,1.2974,12.0544,0.7315,1.9169,1.0703,0.7201,0.0817,0.0859,0.0720,2.4931,0.2003,0.4834,0.3023,119.2984,9.2459,0.1683,0.9455,0.0463,0.1683,0.0000,0.0000,0.0000,50.0000,3.4819,0.9397,2.2858
14,14,218.9643,2.5292,3.4567,1.6856,12.0544,0.5333,1.8576,1.3274,0.8439,0.0690,0.2678,0.1121,2.8583,0.2015,0.6448,0.3867,119.2984,9.9729,0.1986,0.9455,0.0602,0.1986,0.0000,0.0000,0.0000,50.0000,3.7326,0.9771,2.4085
15,15,216.4173,4.3425,3.6406,2.1665,12.0544,0.3737,1.7299,1.5988,0.8439,0.0599,0.2335,0.1512,3.2387,0.1657,0.6298,0.5221,119.2984,10.7237,0.2211,0.9455,0.0602,0.2211,0.0000,0.0000,0.0000,50.0000,3.9391,0.9990,2.5927
16,16,213.8475,5.7391,4.2798,2.4974,12.0544,0.3012,1.6129,1.7785,0.9968,0.0971,0.2522,0.2399,3.4182,0.1534,0.6986,0.6709,119.2984,11.3645,0.2393,0.9455,0.0734,0.2393,0.0000,0.0000,0.0000,50.0000,4.2411,1.0262,2.7359
17,17,210.9930,7.0169,5.1678,3.0218,12.0544,0.1999,1.5252,1.9803,1.1876,0.1260,0.3714,0.2901,3.5166,0.1202,0.7842,0.7591,119.2984,12.0848,0.2504,0.9455,0.0926,0.2504,0.0000,0.0000,0.0000,50.0000,4.4308,1.0499,2.9408
18,18,197.8814,4.2050,2.2262,2.0399,24.8836,2.6406,5.4089,3.7043,1.2607,0.0883,0.3709,0.3696,4.0699,0.1898,0.9193,0.9706,175.4121,12.7734,0.2971,2.5126,0.0989,0.2971,0.0000,0.0000,0.0000,50.0000,4.6597,2.1182,3.1029
19,19,195.9808,5.0765,3.1069,2.3564,24.8836,1.8755,5.4901,4.3853,1.2527,0.1011,0.3896,0.3590,4.1358,0.1989,0.8040,1.1268,175.4121,13.3255,0.3079,2.5126,0.1051,0.3079,0.0000,0.0000,0.0000,50.0000,4.8424,2.1235,3.3268
20,20,195.6018,3.7399,3.8421,2.6067,24.8836,1.3732,5.1777,5.1804,1.4901,0.1149,0.4896,0.3898,4.1903,0.2742,0.9796,1.3123,175.4121,13.9647,0.3361,2.5126,0.1235,0.3361,0.0000,0.0000,0.0000,50.0000,4.9870,2.1615,3.4845
21,21,194.9227,2.7693,4.2250,3.0360,24.8836,0.9246,4.9160,5.8722,1.7257,0.1378,0.4965,0.4930,4.4989,0.2657,1.0637,1.4834,175.4121,14.5682,0.3745,2.5126,0.1415,0.3745,0.0000,0.0000,0.0000,50.0000,5.1986,2.2023,3.6178
22,22,192.0843,4.6614,4.3879,3.4766,24.8836,0.6912,4.4879,6.5113,1.9383,0.1304,0.5343,0.5282,4.8220,0.2278,1.1224,1.5889,175.4121,15.2488,0.4033,2.5126,0.1555,0.4033,0.0000,0.0000,0.0000,50.0000,5.3829,2.2339,3.7276
23,23,189.4985,5.6131,4.8882,3.8758,24.8836,0.5315,4.0898,7.0709,2.1008,0.1496,0.4909,0.6614,5.1602,0.2766,1.3756,1.8434,175.4121,15.9045,0.4703,2.5126,0.1691,0.4703,0.0000,0.0000,0.0000,50.0000,5.5428,2.2853,3.8531
24,24,186.4957,7.1721,5.4746,4.5498,24.8836,0.4159,3.5646,7.6941,2.4155,0.2677,0.7641,0.8271,4.9542,0.2268,1.3643,1.9032,175.4121,16.6013,0.4992,2.5126,0.2218,0.4992,0.0000,0.0000,0.0000,50.0000,5.7720,2.3123,3.8469
