,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,239.8191,0.1809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1809,0.0000,0.0000
2,2.0000,239.4523,0.4774,0.0704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.4673,0.0000,0.0704
3,3.0000,238.5226,0.7136,0.1457,0.0151,0.5578,0.0101,0.0352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0653,2.2312,0.0000,0.0302,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.7286,0.0302,0.1709
4,4.0000,238.0000,1.0101,0.3417,0.0452,0.5578,0.0101,0.0302,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0653,3.0302,0.0000,0.0302,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.9849,0.0302,0.3266
5,5.0000,237.2462,1.4774,0.5930,0.0804,0.5578,0.0101,0.0251,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0653,3.8141,0.0000,0.0302,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,1.2261,0.0302,0.4874
6,6.0000,236.7638,1.2613,0.9196,0.1508,0.5578,0.0101,0.0201,0.0151,0.0955,0.0000,0.0050,0.0000,0.1759,0.0101,0.0151,0.0000,29.0653,4.4975,0.0101,0.0302,0.0050,0.0101,0.0000,0.0000,0.0000,50.0000,1.4372,0.0452,0.6985
7,7.0000,236.4523,1.0754,1.1910,0.2764,0.5578,0.0101,0.0151,0.0201,0.0955,0.0000,0.0050,0.0000,0.2513,0.0050,0.0402,0.0050,29.0653,5.2462,0.0151,0.0302,0.0050,0.0151,0.0000,0.0000,0.0000,50.0000,1.6734,0.0503,0.8693
8,8.0000,235.0251,1.8894,1.1709,0.5075,0.5578,0.0050,0.0101,0.0302,0.2613,0.0000,0.0352,0.0050,0.4322,0.0101,0.0503,0.0101,29.0653,5.9899,0.0251,0.0302,0.0151,0.0251,0.0000,0.0000,0.0000,50.0000,1.9447,0.0704,0.9045
9,9.0000,233.2161,2.7638,1.5327,0.6784,0.5578,0.0050,0.0101,0.0302,0.2613,0.0000,0.0251,0.0151,0.7940,0.0151,0.0804,0.0151,29.0653,6.6985,0.0452,0.0302,0.0151,0.0452,0.0000,0.0000,0.0000,50.0000,2.1307,0.0905,1.1055
10,10.0000,227.8392,2.7889,1.4271,0.7085,4.4472,0.4372,0.6181,0.2261,0.2613,0.0000,0.0151,0.0251,1.0352,0.0402,0.1055,0.0251,57.8744,7.2965,0.0603,0.3216,0.0151,0.0603,0.0000,0.0000,0.0000,50.0000,2.3769,0.3618,1.2563
11,11.0000,225.7337,3.3417,1.9799,0.9045,4.4472,0.3015,0.6482,0.3317,0.6080,0.0101,0.0452,0.0402,1.3819,0.0352,0.1357,0.0553,57.8744,8.0101,0.0804,0.3216,0.0352,0.0804,0.0000,0.0000,0.0000,50.0000,2.5779,0.4020,1.4774
12,12.0000,223.2915,4.1156,2.5075,1.1407,4.4472,0.2161,0.6533,0.4121,0.8291,0.0402,0.0854,0.0503,1.7990,0.0955,0.2060,0.1106,57.8744,8.7085,0.1106,0.3216,0.0503,0.1106,0.0000,0.0000,0.0000,50.0000,2.7789,0.4472,1.6985
13,13.0000,222.8442,3.0955,3.1558,1.5578,4.4472,0.1508,0.6382,0.4925,0.8442,0.0754,0.1055,0.0804,1.9849,0.1206,0.2563,0.1508,57.8744,9.4020,0.1256,0.3216,0.0553,0.1256,0.0000,0.0000,0.0000,50.0000,3.0251,0.4673,1.8894
14,14.0000,222.1156,2.3417,3.5276,1.9648,4.4472,0.1055,0.6181,0.5578,1.0201,0.0603,0.1357,0.0905,2.3216,0.1206,0.3719,0.2010,57.8744,10.1608,0.1508,0.3216,0.0653,0.1508,0.0000,0.0000,0.0000,50.0000,3.2412,0.5025,2.0905
15,15.0000,218.9196,4.1156,3.5678,2.4422,4.4472,0.0704,0.5578,0.6533,1.5126,0.0553,0.2060,0.1357,2.5427,0.1256,0.3970,0.2513,57.8744,10.8543,0.1658,0.3216,0.0955,0.1658,0.0000,0.0000,0.0000,50.0000,3.4322,0.5477,2.2060
16,16.0000,216.1508,5.2613,4.0101,2.8191,4.4472,0.0503,0.4925,0.7387,1.5377,0.0754,0.2111,0.1859,3.0251,0.1256,0.4975,0.3719,57.8744,11.4673,0.2010,0.3216,0.1005,0.2010,0.0000,0.0000,0.0000,50.0000,3.6583,0.5879,2.2563
17,17.0000,208.0503,4.6482,2.9045,2.4874,9.9799,0.9950,2.2161,1.5829,1.7286,0.0854,0.2412,0.2563,3.4774,0.2211,0.6482,0.4774,85.4472,12.2010,0.2412,0.8744,0.1156,0.2412,0.0000,0.0000,0.0000,50.0000,3.8894,1.0955,2.4623
18,18.0000,205.1759,5.6030,3.7487,2.7588,9.9799,0.7286,2.1910,1.8744,1.8492,0.0754,0.2563,0.3317,3.8693,0.2513,0.7136,0.5930,85.4472,12.7387,0.2714,0.8744,0.1256,0.2714,0.0000,0.0000,0.0000,50.0000,4.0754,1.1357,2.6734
19,19.0000,201.9749,6.3970,4.7889,3.1206,9.9799,0.4874,2.1508,2.1558,1.8492,0.0452,0.2613,0.3568,4.5176,0.2764,0.8492,0.7889,85.4472,13.3668,0.3216,0.8744,0.1256,0.3216,0.0000,0.0000,0.0000,50.0000,4.2312,1.1859,2.8995
20,20.0000,201.2613,4.7638,5.7538,3.5980,9.9799,0.3668,1.9849,2.4422,2.0352,0.1156,0.3819,0.4824,4.8543,0.2161,0.8894,0.8744,85.4472,13.9045,0.3518,0.8744,0.1558,0.3518,0.0000,0.0000,0.0000,50.0000,4.4221,1.2312,3.1005
21,21.0000,200.5879,3.3819,6.2663,4.3367,9.9799,0.2915,1.7638,2.7387,2.1005,0.1106,0.3668,0.5377,5.2915,0.2060,0.9799,1.0603,85.4472,14.4623,0.3920,0.8744,0.1608,0.3920,0.0000,0.0000,0.0000,50.0000,4.5930,1.2714,3.2312
22,22.0000,196.9296,5.7085,6.0553,4.9749,9.9799,0.1859,1.6131,2.9950,2.2211,0.0955,0.4372,0.6633,5.5126,0.2060,1.1055,1.3166,85.4472,15.1206,0.4322,0.8744,0.1859,0.4322,0.0000,0.0000,0.0000,50.0000,4.7739,1.3166,3.2613
23,23.0000,193.1809,7.2010,6.6131,5.5678,9.9799,0.1558,1.4121,3.2261,2.5729,0.0854,0.5427,0.8191,5.5879,0.2312,1.2663,1.5578,85.4472,15.7990,0.4774,0.8744,0.2161,0.4774,0.0000,0.0000,0.0000,50.0000,4.9598,1.3719,3.4221
24,24.0000,186.3266,5.6332,3.9698,5.3769,14.0804,1.4874,4.6181,4.5377,2.8090,0.1307,0.6332,1.0503,5.8744,0.2965,1.3920,1.7839,111.6181,16.4673,0.5276,1.7789,0.2462,0.5276,0.0000,0.0000,0.0000,50.0000,5.1206,1.9347,3.4070
25,25.0000,184.2010,6.4824,4.9799,5.8442,14.0804,1.0452,4.3668,5.2312,2.5377,0.1457,0.6131,1.1256,5.7286,0.2462,1.4020,1.9698,111.6181,17.0402,0.5477,1.7789,0.2563,0.5477,0.0000,0.0000,0.0000,50.0000,5.3216,1.9246,3.5427
26,26.0000,181.0452,7.1256,5.9095,6.5226,14.0804,0.7638,4.1106,5.7688,2.5176,0.1457,0.5930,1.1658,6.2312,0.2764,1.6332,2.1106,111.6181,17.5628,0.6231,1.7789,0.2714,0.6231,0.0000,0.0000,0.0000,50.0000,5.4824,1.9698,3.7186
27,27.0000,180.1055,5.1156,6.8342,7.3417,14.0804,0.5678,3.7286,6.3467,2.8794,0.1256,0.7236,1.1960,6.5930,0.3065,1.7136,2.3417,111.6181,18.1809,0.6734,1.7789,0.3015,0.6734,0.0000,0.0000,0.0000,50.0000,5.6985,2.0302,3.9246
