,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,239.8191,0.1809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6884,0.7437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1809,0.0000,0.0000
2,2.0000,239.4523,0.4774,0.0704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.3769,1.4322,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.4673,0.0000,0.0704
3,3.0000,238.8844,0.7604,0.1725,0.0151,0.1591,0.0000,0.0084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.0653,2.2161,0.0000,0.0084,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.7337,0.0084,0.1709
4,4.0000,238.2177,1.0754,0.3568,0.0486,0.2814,0.0034,0.0151,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0653,3.0235,0.0000,0.0151,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.9899,0.0151,0.3266
5,5.0000,237.2529,1.5193,0.6064,0.0854,0.4958,0.0067,0.0285,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0586,3.8074,0.0000,0.0268,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,1.2312,0.0268,0.4942
6,6.0000,236.7621,1.2965,0.9430,0.1608,0.4958,0.0000,0.0318,0.0084,0.0955,0.0000,0.0050,0.0000,0.1759,0.0101,0.0151,0.0000,29.0586,4.4858,0.0101,0.0268,0.0050,0.0101,0.0000,0.0000,0.0000,50.0000,1.4506,0.0419,0.7068
7,7.0000,236.4489,1.0854,1.2362,0.2915,0.4958,0.0000,0.0285,0.0117,0.0955,0.0000,0.0050,0.0000,0.2513,0.0050,0.0402,0.0050,29.0586,5.2580,0.0151,0.0268,0.0050,0.0151,0.0000,0.0000,0.0000,50.0000,1.6884,0.0469,0.8760
8,8.0000,234.3116,1.8710,1.1323,0.5075,1.1675,0.0101,0.0838,0.0452,0.2613,0.0000,0.0352,0.0050,0.4991,0.0084,0.0519,0.0101,35.3651,6.0000,0.0285,0.0653,0.0151,0.0285,0.0000,0.0000,0.0000,50.0000,1.9531,0.1089,0.9045
9,9.0000,232.0050,2.5762,1.4137,0.6549,1.8342,0.0452,0.1491,0.0821,0.2613,0.0000,0.0251,0.0151,0.8325,0.0118,0.0787,0.0151,41.6549,6.6834,0.0469,0.1055,0.0151,0.0469,0.0000,0.0000,0.0000,50.0000,2.1390,0.1675,1.0972
