,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,239.8104,0.3129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.7774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.3129,0.0000,0.0000
2,2.0000,239.4616,0.6949,0.1393,0.0000,0.0916,0.0000,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.0000,1.3898,0.0000,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.6553,0.0048,0.1413
3,3.0000,238.9206,0.8945,0.3034,0.0000,0.8955,0.0424,0.0720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.0000,2.1308,0.0000,0.0498,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.8792,0.0498,0.3104
4,4.0000,238.0840,1.3054,0.4979,0.0208,1.5459,0.0859,0.1369,0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.0029,2.9141,0.0000,0.0874,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,1.1199,0.0874,0.4982
5,5.0000,236.9208,1.6554,0.7088,0.1028,2.3575,0.1236,0.2411,0.0207,0.0000,0.0000,0.0000,0.0000,0.2362,0.0148,0.0443,0.0000,59.9984,3.6288,0.0148,0.1355,0.0000,0.0148,0.0000,0.0000,0.0000,50.0000,1.4058,0.1415,0.6256
6,6.0000,236.5507,1.5053,0.9968,0.2047,2.3575,0.0974,0.2416,0.0598,0.0000,0.0000,0.0000,0.0000,0.5292,0.0363,0.0769,0.0000,59.9984,4.3335,0.0317,0.1355,0.0000,0.0317,0.0000,0.0000,0.0000,50.0000,1.6708,0.1532,0.7993
7,7.0000,236.2731,1.4171,1.2139,0.3444,2.3575,0.0851,0.2092,0.1077,0.0000,0.0000,0.0000,0.0000,0.5754,0.0363,0.0710,0.0145,59.9984,5.1220,0.0342,0.1355,0.0000,0.0342,0.0000,0.0000,0.0000,50.0000,1.9291,0.1553,0.9394
8,8.0000,234.3968,2.1594,1.3667,0.4662,3.4078,0.1176,0.3746,0.1481,0.0000,0.0000,0.0000,0.0000,0.7130,0.0434,0.0656,0.0236,71.9568,5.7950,0.0417,0.2056,0.0000,0.0417,0.0000,0.0000,0.0000,50.0000,2.2021,0.2235,1.1459
9,9.0000,231.9133,2.8252,1.6097,0.5526,4.8848,0.1987,0.6388,0.2227,0.0000,0.0000,0.0000,0.0000,1.0215,0.0454,0.0669,0.0434,83.8833,6.5106,0.0577,0.3100,0.0000,0.0577,0.0000,0.0000,0.0000,50.0000,2.4364,0.3293,1.3001
10,10.0000,227.8615,3.3273,1.6559,0.6275,7.8201,0.4733,1.0734,0.4382,0.2803,0.0000,0.0148,0.0000,1.4171,0.0804,0.1745,0.0560,103.5862,7.1810,0.0839,0.5074,0.0148,0.0839,0.0000,0.0000,0.0000,50.0000,2.6992,0.5446,1.5302
11,11.0000,225.3667,3.8108,2.1481,0.7650,9.0612,0.4421,1.2670,0.6443,0.3221,0.0147,0.0221,0.0000,1.6421,0.0929,0.2216,0.0750,111.3674,7.8796,0.0987,0.5863,0.0178,0.0987,0.0000,0.0000,0.0000,50.0000,2.9402,0.6397,1.7185
12,12.0000,222.4768,4.3141,2.4880,0.9330,10.5162,0.5682,1.4893,0.8851,0.3221,0.0147,0.0221,0.0000,1.8793,0.1650,0.3769,0.1267,119.0716,8.5678,0.1236,0.6932,0.0178,0.1236,0.0000,0.0000,0.0000,50.0000,3.1872,0.7603,1.9610
13,13.0000,222.0443,3.3440,3.2696,1.2590,10.5162,0.4138,1.4356,1.0936,0.3791,0.0265,0.0696,0.0168,2.1372,0.1535,0.3912,0.1950,119.0716,9.1725,0.1395,0.6932,0.0235,0.1395,0.0000,0.0000,0.0000,50.0000,3.4009,0.7786,2.1900
14,14.0000,221.5163,2.6001,3.6200,1.6459,10.5162,0.3073,1.3552,1.2735,0.4431,0.0314,0.0902,0.0382,2.5037,0.1893,0.4819,0.2999,119.0716,9.8706,0.1686,0.6932,0.0286,0.1686,0.0000,0.0000,0.0000,50.0000,3.6037,0.8099,2.3218
15,15.0000,217.2020,3.8672,3.2207,1.9575,13.1328,0.4396,1.8630,1.6733,0.4431,0.0202,0.0995,0.0431,2.7611,0.1575,0.5044,0.3976,130.5600,10.6768,0.1852,0.9028,0.0286,0.1852,0.0000,0.0000,0.0000,50.0000,3.7774,1.0026,2.4616
