,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1,237.8961,2.4689,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.8330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,2.4689,0.0000,0.0000
2,2,234.9649,4.9270,0.7777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2802,0.0000,0.0147,0.0000,60.0000,1.5490,0.0147,0.0000,0.0000,0.0147,0.0000,0.0000,0.0000,50.0000,5.0766,0.0147,0.7652
3,3,231.0590,7.6356,2.0587,0.1311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5720,0.0229,0.0312,0.0000,60.0000,2.3294,0.0312,0.0000,0.0000,0.0312,0.0000,0.0000,0.0000,50.0000,7.4815,0.0312,1.7870
4,4,225.8900,10.6551,3.8651,0.3898,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5011,0.0437,0.1285,0.0135,60.0000,3.0395,0.0830,0.0000,0.0000,0.0830,0.0000,0.0000,0.0000,50.0000,9.8651,0.0830,2.9783
5,5,218.9042,14.2043,6.1235,0.9192,0.0000,0.0000,0.0000,0.0000,0.2909,0.0434,0.0925,0.0115,2.6627,0.1401,0.2512,0.0229,60.0000,3.8923,0.1517,0.0000,0.0217,0.1517,0.0000,0.0000,0.0000,50.0000,12.1491,0.1628,4.1731
6,6,215.2575,12.3720,8.9200,1.7196,0.0000,0.0000,0.0000,0.0000,1.2036,0.0605,0.2081,0.0115,4.0849,0.2951,0.4344,0.0667,60.0000,4.5746,0.2402,0.0000,0.0727,0.2402,0.0000,0.0000,0.0000,50.0000,14.2604,0.2906,5.3659
7,7,211.2575,10.8790,10.7890,2.7847,0.0000,0.0000,0.0000,0.0000,1.7310,0.1349,0.3256,0.0790,5.8330,0.3438,0.8221,0.2077,60.0000,5.3029,0.3538,0.0000,0.1107,0.3538,0.0000,0.0000,0.0000,50.0000,16.3692,0.4350,6.2269
8,8,165.6218,11.3985,5.9788,2.6009,42.5098,2.8665,6.3826,1.5572,2.4280,0.1029,0.4502,0.1460,7.6115,0.4036,1.1856,0.4176,117.9215,5.9898,0.4730,3.1813,0.1527,0.4730,0.0000,0.0000,0.0000,50.0000,18.4808,3.1706,6.9257
9,9,157.4094,15.2019,8.3173,3.3001,42.5098,2.0041,6.3720,2.4497,3.2599,0.2516,0.5779,0.2324,8.1564,0.3237,1.1785,0.6050,117.9215,6.5249,0.5049,3.1813,0.2105,0.5049,0.0000,0.0000,0.0000,50.0000,20.1650,3.2514,7.5633
