,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,237.5011,2.0840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.0000,0.5803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,2.0840,0.0000,0.0000
2,2.0000,231.1542,4.0896,0.4757,0.0000,2.1805,0.0248,0.1189,0.0000,-0.0815,-0.0045,-0.0045,0.0000,-0.0586,0.0000,-0.0057,0.0000,95.8747,1.2254,-0.0032,0.1189,-0.0045,-0.0032,0.0000,0.0000,0.0000,50.0000,4.4405,0.1184,0.5967
3,3.0000,220.8848,6.1064,1.2002,0.0345,7.6653,0.1831,0.4441,0.0090,-0.0672,-0.0045,-0.0061,0.0000,-0.0517,0.0000,-0.0028,-0.0042,143.7189,1.9636,-0.0028,0.4555,-0.0037,-0.0028,0.0000,0.0000,0.0000,50.0000,6.7989,0.4254,1.5180
4,4.0000,205.3506,7.6430,2.0612,0.1394,17.0947,0.5663,1.1035,0.0714,-0.0005,-0.0045,0.0002,-0.0038,0.1722,0.0021,0.0189,-0.0034,191.3145,2.6940,0.0107,1.1223,-0.0000,0.0107,0.0000,0.0000,0.0000,50.0000,8.9739,0.9873,2.6814
5,5.0000,186.1029,8.3818,2.8197,0.2976,29.9085,1.2210,2.2804,0.2646,0.0419,-0.0051,0.0019,-0.0047,0.6807,0.0120,0.0612,0.0037,238.5865,3.3421,0.0398,2.2593,0.0025,0.0398,0.0000,0.0000,0.0000,50.0000,10.8717,1.7820,3.7757
6,6.0000,183.3927,7.7414,4.7207,0.6292,29.9085,0.8958,2.3003,0.5633,0.1959,0.0019,0.0117,-0.0052,1.1407,0.0238,0.1036,0.0183,238.5865,3.9650,0.0666,2.2593,0.0128,0.0666,0.0000,0.0000,0.0000,50.0000,12.7293,1.8268,4.7537
7,7.0000,180.0272,7.2921,6.1573,1.2243,29.9085,0.6127,2.2789,0.8570,0.3716,0.0086,0.0453,-0.0008,2.0141,0.0654,0.2099,0.0390,238.5865,4.5269,0.1200,2.2593,0.0237,0.1200,0.0000,0.0000,0.0000,50.0000,14.6681,1.9033,5.6029
8,8.0000,151.4469,9.4253,5.1510,1.4309,50.4502,1.5491,4.3841,1.6959,0.5368,0.0071,0.0687,0.0118,2.7423,0.0717,0.3109,0.0828,284.2347,5.0884,0.1643,4.4996,0.0340,0.1643,0.0000,0.0000,0.0000,50.0000,16.4695,3.2141,6.2571
9,9.0000,125.2279,9.3678,4.4853,1.5105,69.7318,2.8172,6.6364,2.9136,0.8083,0.0155,0.0953,0.0283,3.6666,0.1188,0.4540,0.1540,326.9883,5.5825,0.2249,6.8823,0.0515,0.2249,0.0000,0.0000,0.0000,50.0000,17.9802,4.5169,6.7480
10,10.0000,100.9137,8.0486,3.7720,1.4349,88.6732,4.0968,9.2154,4.3939,1.1559,0.0403,0.1418,0.0608,4.4163,0.1463,0.5289,0.2525,365.4482,5.9923,0.2734,9.5049,0.0749,0.2734,0.0000,0.0000,0.0000,50.0000,19.2102,5.8263,7.2802
11,11.0000,80.8281,6.3583,2.8931,1.2941,104.7883,4.8709,11.6774,6.2972,1.4225,0.0439,0.1804,0.0928,4.9874,0.1624,0.5796,0.3644,399.1931,6.3468,0.3117,12.0021,0.0921,0.3117,0.0000,0.0000,0.0000,50.0000,20.2194,6.9650,7.6229
