,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,238.0240,2.3657,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.0000,0.7605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,2.3657,0.0000,0.0000
2,2.0000,234.3309,4.8825,0.5548,0.0000,1.3010,0.0264,0.0710,0.0000,0.0000,0.0000,0.0000,0.0000,0.2649,0.0147,0.0147,0.0000,48.0093,1.4404,0.0147,0.0697,0.0000,0.0147,0.0000,0.0000,0.0000,50.0000,5.0166,0.0825,0.6147
3,3.0000,227.7209,7.0868,1.6415,0.0775,4.7983,0.1561,0.3147,0.0048,0.4730,0.0487,0.0490,0.0000,0.8675,0.0147,0.0574,0.0000,71.9828,2.1943,0.0466,0.2853,0.0283,0.0466,0.0000,0.0000,0.0000,50.0000,7.4377,0.3174,1.7007
4,4.0000,218.1957,9.3694,2.7762,0.2979,10.4520,0.4443,0.7913,0.0819,0.7818,0.0362,0.0797,0.0148,1.5649,0.0647,0.1112,0.0147,95.8838,2.9743,0.0867,0.6614,0.0451,0.0867,0.0000,0.0000,0.0000,50.0000,9.8209,0.6841,2.8335
5,5.0000,205.7630,11.2937,3.9328,0.6484,18.3500,0.9528,1.5794,0.3203,1.0732,0.0564,0.1231,0.0417,2.4459,0.0995,0.2046,0.0491,119.6976,3.7000,0.1378,1.2394,0.0635,0.1378,0.0000,0.0000,0.0000,50.0000,11.9511,1.2048,3.8626
6,6.0000,202.7765,10.0040,6.5608,1.1811,18.3500,0.7036,1.6130,0.5452,1.5190,0.1012,0.1593,0.0939,3.2151,0.1649,0.3367,0.0933,119.6976,4.3085,0.1865,1.2394,0.0917,0.1865,0.0000,0.0000,0.0000,50.0000,14.0018,1.2709,5.0119
7,7.0000,199.2320,9.0367,8.3543,2.0174,18.3500,0.5042,1.6090,0.7495,2.0266,0.1460,0.2268,0.1205,4.7790,0.2617,0.5391,0.1340,119.6976,4.9591,0.2806,1.2394,0.1237,0.2806,0.0000,0.0000,0.0000,50.0000,15.9712,1.3835,5.9228
8,8.0000,178.3660,12.8135,7.6756,2.6381,32.3315,1.2281,3.4319,1.4685,2.4275,0.1230,0.2889,0.1749,5.9430,0.2832,0.7040,0.2166,142.9720,5.6170,0.3510,2.4959,0.1481,0.3510,0.0000,0.0000,0.0000,50.0000,17.9071,2.3124,6.4648
9,9.0000,157.0546,14.4980,7.6947,3.0665,46.6672,2.3937,5.5911,2.5274,2.8236,0.1202,0.4117,0.2229,7.0195,0.3418,0.9006,0.3904,165.5084,6.2437,0.4254,3.9225,0.1753,0.4254,0.0000,0.0000,0.0000,50.0000,19.6224,3.3302,7.1532
