,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,237.4925,2.5075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,2.5075,0.0000,0.0000
2,2.0000,233.9849,5.0553,0.7588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0955,0.0000,0.0050,0.0000,0.0955,0.0000,0.0050,0.0000,0.0000,1.4774,0.0050,0.0000,0.0050,0.0050,0.0000,0.0000,0.0000,50.0000,5.1407,0.0101,0.7588
3,3.0000,229.5678,7.6985,2.0402,0.0905,0.0000,0.0000,0.0000,0.0000,0.3467,0.0151,0.0402,0.0000,0.1910,0.0000,0.0101,0.0000,0.0000,2.1608,0.0101,0.0000,0.0201,0.0101,0.0000,0.0000,0.0000,50.0000,7.4975,0.0302,1.7688
4,4.0000,223.8492,10.7789,3.8693,0.3970,0.0000,0.0000,0.0000,0.0000,0.5276,0.0201,0.0553,0.0000,0.4623,0.0151,0.0251,0.0000,0.0000,2.9095,0.0251,0.0000,0.0302,0.0251,0.0000,0.0000,0.0000,50.0000,9.9146,0.0553,2.9397
5,5.0000,201.8643,11.8844,4.6734,0.6734,15.2864,1.2010,1.7437,0.1608,1.0653,0.0854,0.1558,0.0000,1.0352,0.0854,0.0754,0.0101,28.7638,3.7186,0.0603,0.9548,0.0653,0.0603,0.0000,0.0000,0.0000,50.0000,12.0754,1.0452,4.1658
6,6.0000,198.8291,10.2965,7.2010,1.2613,15.2864,0.8342,1.8643,0.4070,1.4221,0.1307,0.2412,0.0151,1.8040,0.1558,0.2010,0.0503,28.7638,4.3166,0.1106,0.9548,0.0905,0.1106,0.0000,0.0000,0.0000,50.0000,13.9849,1.1206,5.2060
7,7.0000,195.4623,9.4271,8.8040,2.1859,15.2864,0.6231,1.8392,0.6432,1.6633,0.1005,0.3116,0.0352,2.9045,0.1910,0.4121,0.1106,28.7638,4.9849,0.1809,0.9548,0.1055,0.1809,0.0000,0.0000,0.0000,50.0000,16.0101,1.2060,5.9397
8,8.0000,185.1910,15.4422,10.1156,3.3216,15.2864,0.4221,1.7789,0.9045,2.2814,0.0854,0.3920,0.0553,3.8040,0.1759,0.5678,0.1759,28.7638,5.5126,0.2362,0.9548,0.1407,0.2362,0.0000,0.0000,0.0000,50.0000,17.9648,1.2965,6.7588
9,9.0000,173.5126,20.5477,12.9246,4.4724,15.2864,0.2814,1.6030,1.2211,2.8744,0.1256,0.4975,0.1206,5.2161,0.2563,0.7487,0.3116,28.7638,6.0653,0.3266,0.9548,0.1809,0.3266,0.0000,0.0000,0.0000,50.0000,19.7387,1.4271,7.3518
10,10.0000,160.4573,25.1407,16.1407,6.0000,15.2864,0.1809,1.4673,1.4573,3.4824,0.2412,0.6784,0.2211,7.0553,0.4070,1.2211,0.5628,28.7638,6.6533,0.4623,0.9548,0.2312,0.4623,0.0000,0.0000,0.0000,50.0000,21.4271,1.6131,7.9548
11,11.0000,146.4975,28.1658,19.8894,7.9598,15.2864,0.1156,1.3317,1.6583,4.4221,0.3920,1.0955,0.4221,9.3869,0.6533,1.8342,0.8894,28.7638,7.2864,0.6382,0.9548,0.3166,0.6382,0.0000,0.0000,0.0000,50.0000,22.8744,1.8744,8.6030
12,12.0000,111.8543,20.5628,13.2814,6.7638,39.4623,7.0050,11.6382,5.3116,4.9799,0.4975,1.3668,0.6935,11.4523,1.0804,2.6834,1.3668,52.6784,7.9045,0.8291,3.5377,0.3769,0.8291,0.0000,0.0000,0.0000,50.0000,24.2663,4.3769,9.0653
13,13.0000,108.7186,15.5779,16.6533,8.0955,39.4623,5.0754,12.1005,6.7789,5.8392,0.5276,1.6382,0.9397,12.6382,1.0101,3.0402,1.9045,52.6784,8.3769,0.9296,3.5377,0.4472,0.9296,0.0000,0.0000,0.0000,50.0000,25.3568,4.5477,9.5176
14,14.0000,105.3920,11.8241,17.6784,10.0302,39.4623,3.7035,11.7186,8.5327,6.7538,0.5578,2.0402,1.2010,14.0402,0.9146,3.6281,2.5226,52.6784,8.8693,1.0553,3.5377,0.5276,1.0553,0.0000,0.0000,0.0000,50.0000,26.3668,4.7538,9.7487
15,15.0000,94.2714,17.5628,17.7839,11.9899,39.4623,2.6181,11.3116,10.0251,7.3417,0.4975,2.1658,1.5528,15.2613,0.8543,4.0101,3.2915,52.6784,9.2613,1.1709,3.5377,0.5779,1.1709,0.0000,0.0000,0.0000,50.0000,27.4673,4.9196,9.8392
16,16.0000,85.0151,20.2111,19.2513,14.3166,39.4623,1.8543,10.6131,11.4874,7.7387,0.4372,2.1910,1.8945,16.2663,0.9397,4.3166,4.0050,52.6784,9.6834,1.2814,3.5377,0.6181,1.2814,0.0000,0.0000,0.0000,50.0000,28.4121,5.0603,9.9497
17,17.0000,74.5477,21.7940,20.9799,15.8442,39.4623,1.2764,9.8090,12.8693,8.1809,0.6482,2.5176,2.6231,17.9347,1.1910,5.1658,5.1558,52.6784,10.1256,1.4824,3.5377,0.7186,1.4824,0.0000,0.0000,0.0000,50.0000,29.2462,5.3417,10.1357
18,18.0000,65.7136,22.4523,22.9950,17.9849,39.4623,0.9497,8.9045,14.1005,8.5377,0.5729,2.6734,3.1910,18.8342,1.3618,5.8442,6.4221,52.6784,10.4975,1.6482,3.5377,0.7789,1.6482,0.0000,0.0000,0.0000,50.0000,29.9950,5.5427,10.1558
19,19.0000,58.7538,12.9799,11.1658,13.4824,41.2312,7.7538,21.2764,22.6030,8.5729,0.5980,3.1357,3.6734,19.4322,1.3065,6.3367,7.6985,70.1759,10.9045,1.7990,6.4221,0.8643,1.7990,0.0000,0.0000,0.0000,50.0000,30.8492,7.1809,9.7387
20,20.0000,58.0050,9.4573,12.5930,14.7186,41.2312,5.5126,20.5879,25.5327,8.4523,0.5176,3.0402,4.0704,19.6181,1.2663,6.4874,8.9095,70.1759,11.1910,1.9246,6.4221,0.8945,1.9246,0.0000,0.0000,0.0000,50.0000,31.5327,7.2613,9.9146
21,21.0000,57.6281,7.2412,12.7136,16.2864,41.2312,3.9045,19.3920,28.3367,8.5427,0.5075,3.1256,4.6080,19.2462,1.0603,6.3417,9.8342,70.1759,11.4774,2.0050,6.4221,0.9447,2.0050,0.0000,0.0000,0.0000,50.0000,32.1910,7.3065,9.9749
22,22.0000,53.3920,9.4925,12.5276,17.6533,41.2312,2.7588,18.0151,30.8593,8.3266,0.4171,3.0653,5.0754,19.0754,1.0000,6.1206,10.9899,70.1759,11.7839,2.0955,6.4221,0.9849,2.0955,0.0000,0.0000,0.0000,50.0000,32.7538,7.3467,9.8995
23,23.0000,50.2915,10.5176,12.5779,18.9749,41.2312,2.0302,16.2764,33.3266,8.0302,0.3568,3.1457,5.6533,18.4221,0.9296,6.2563,11.9799,70.1759,12.0653,2.2060,6.4221,1.0402,2.2060,0.0000,0.0000,0.0000,50.0000,33.3166,7.3819,9.8794
24,24.0000,47.6382,10.9497,13.2814,20.8945,41.2312,1.4070,14.7990,35.4271,7.7538,0.3317,3.0151,5.9849,17.3266,0.8794,6.2663,12.8141,70.1759,12.3116,2.3266,6.4221,1.0854,2.3266,0.0000,0.0000,0.0000,50.0000,33.7889,7.3618,9.8241
25,25.0000,46.4925,11.4523,13.6784,23.9548,41.2312,0.9347,13.2663,37.4322,6.9095,0.2864,2.6432,5.9397,15.5779,0.7739,6.2412,13.1859,70.1759,12.6281,2.4271,6.4221,1.1055,2.4271,0.0000,0.0000,0.0000,50.0000,34.2915,7.2211,9.6533
26,26.0000,63.1106,6.7940,6.2965,40.1809,24.0704,3.9648,16.3869,29.1457,6.6533,0.2714,2.6231,6.0302,14.1156,0.8342,6.1357,13.3869,87.3920,13.1608,2.5528,7.9899,1.1558,2.5528,0.0000,0.0000,0.0000,50.0000,35.0503,6.1809,7.8291
27,27.0000,64.1608,5.3266,7.0553,42.1508,24.0704,2.7940,15.5377,31.1658,5.9045,0.2362,2.3970,5.9347,13.1709,0.7337,5.6382,13.7236,87.3920,13.5528,2.5930,7.9899,1.1709,2.5930,0.0000,0.0000,0.0000,50.0000,35.6935,6.0653,7.8794
28,28.0000,65.3819,4.4573,7.2010,44.2663,24.0704,2.0000,14.2563,33.2412,5.0251,0.1457,2.2060,5.7889,12.1407,0.6181,5.3216,13.8794,87.3920,13.9246,2.6533,7.9899,1.1859,2.6533,0.0000,0.0000,0.0000,50.0000,36.3819,5.9347,7.9447
29,29.0000,63.5075,5.8392,7.2161,46.1508,24.0704,1.4623,12.8442,35.1910,4.7186,0.1256,2.0804,5.8392,11.4322,0.4774,5.0804,13.9648,87.3920,14.3065,2.7186,7.9899,1.2161,2.7186,0.0000,0.0000,0.0000,50.0000,37.0101,5.8643,8.0151
30,30.0000,61.6935,6.9397,7.5829,48.1055,24.0704,1.0603,11.5980,36.8392,4.2965,0.1256,2.0050,5.9347,10.7387,0.4221,4.5578,14.0302,87.3920,14.7487,2.7688,7.9899,1.2362,2.7688,0.0000,0.0000,0.0000,50.0000,37.5477,5.7839,7.9799
31,31.0000,60.8543,7.5578,8.1307,51.7990,24.0704,0.7387,10.2563,38.5025,3.8342,0.1407,1.7688,5.3116,9.3568,0.4121,4.1709,13.0955,87.3920,15.1256,2.8342,7.9899,1.2714,2.8342,0.0000,0.0000,0.0000,50.0000,38.1357,5.5829,7.8693
32,32.0000,58.9749,8.3065,8.7286,54.8442,24.0704,0.5176,8.9196,40.0603,3.3065,0.1357,1.5628,5.1457,8.7739,0.4221,3.7940,12.4372,87.3920,15.5126,2.9196,7.9899,1.2864,2.9196,0.0000,0.0000,0.0000,50.0000,38.7085,5.4573,7.6935
33,33.0000,69.4121,6.4271,5.6884,82.8945,12.6181,1.8995,8.2714,20.6281,2.9045,0.1206,1.4121,4.5075,7.8492,0.4171,3.3869,11.5628,109.5075,16.0000,2.9598,8.9950,1.3116,2.9598,0.0000,0.0000,0.0000,50.0000,39.4774,3.7789,5.7739
34,34.0000,69.1307,5.1357,6.3518,84.9095,12.6181,1.2663,7.7035,21.8291,2.8995,0.1658,1.2714,4.6080,7.4271,0.4322,3.1558,11.0955,109.5075,16.5528,3.0302,8.9950,1.3417,3.0302,0.0000,0.0000,0.0000,50.0000,40.1859,3.7236,5.9296
35,35.0000,69.1558,4.2412,6.5879,86.7487,12.6181,0.8241,7.1307,22.8442,2.7387,0.1658,1.1608,4.3769,6.9648,0.3166,3.0101,11.1156,109.5075,17.0452,3.0754,8.9950,1.3668,3.0754,0.0000,0.0000,0.0000,50.0000,40.7839,3.6633,6.0251
