,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1,237.2757,2.3009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,2.3009,0.0000,0.0000
2,2,233.4887,4.7575,0.6444,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0800,0.0000,-0.0042,0.0000,-0.0893,0.0000,-0.0047,0.0000,0.0000,1.2987,-0.0047,0.0000,-0.0042,-0.0047,0.0000,0.0000,0.0000,50.0000,4.8467,-0.0033,0.6459
3,3,228.8112,7.2842,1.8507,0.0497,0.0000,0.0000,0.0000,0.0000,0.0388,-0.0000,0.0030,0.0000,-0.0696,0.0000,-0.0037,0.0000,0.0000,1.9336,-0.0037,0.0000,0.0025,-0.0037,0.0000,0.0000,0.0000,50.0000,7.1449,0.0080,1.6048
4,4,212.7678,9.2132,2.7933,0.2613,7.6216,0.3860,0.6444,0.0184,0.1358,0.0022,0.0125,0.0000,0.0671,-0.0065,0.0037,0.0000,28.1325,2.6595,0.0037,0.4449,0.0080,0.0037,0.0000,0.0000,0.0000,50.0000,9.5226,0.4907,2.7381
5,5,205.4286,12.2752,4.9298,0.6067,7.6216,0.2898,0.6886,0.0647,0.5394,0.0243,0.0649,0.0000,0.4277,0.0123,0.0242,-0.0047,28.1325,3.3653,0.0249,0.4449,0.0327,0.0249,0.0000,0.0000,0.0000,50.0000,11.6332,0.5585,3.9008
6,6,202.0024,10.6746,7.3558,1.2197,7.6216,0.2065,0.6738,0.1557,0.7906,0.0368,0.1046,-0.0035,1.3062,0.1087,0.1141,0.0173,28.1325,4.0166,0.0807,0.4449,0.0482,0.0807,0.0000,0.0000,0.0000,50.0000,13.5228,0.6441,4.9275
7,7,197.9487,9.6752,8.9135,2.1557,7.6216,0.1566,0.6416,0.2319,1.1409,0.0295,0.1494,0.0071,2.5606,0.1758,0.3557,0.0708,28.1325,4.7325,0.1634,0.4449,0.0689,0.1634,0.0000,0.0000,0.0000,50.0000,15.5876,0.7566,5.6885
8,8,186.9827,16.1014,10.4860,3.2292,7.6216,0.1086,0.5781,0.3433,1.5332,0.0275,0.2009,0.0351,3.0460,0.1495,0.4521,0.1310,28.1325,5.3567,0.1940,0.4449,0.0943,0.1940,0.0000,0.0000,0.0000,50.0000,17.5658,0.8201,6.6097
9,9,174.8026,21.1619,13.2902,4.5579,7.6216,0.0574,0.5183,0.4656,2.0492,0.0720,0.2696,0.0861,4.0876,0.1573,0.6774,0.2160,28.1325,5.9091,0.2629,0.4449,0.1284,0.2629,0.0000,0.0000,0.0000,50.0000,19.4376,0.9374,7.2555
10,10,159.6670,25.6741,16.7274,6.1308,7.6216,0.0318,0.4549,0.5490,2.7382,0.1122,0.4542,0.1732,6.3055,0.4060,1.1561,0.4550,28.1325,6.4777,0.4256,0.4449,0.1797,0.4256,0.0000,0.0000,0.0000,50.0000,21.2949,1.1590,7.8394
11,11,123.0520,19.5324,12.2722,5.5421,31.0032,5.1933,8.6676,3.0655,3.4987,0.2185,0.6829,0.3449,8.3994,0.6260,1.8438,0.7627,52.6278,7.1529,0.5940,2.6992,0.2461,0.5940,0.0000,0.0000,0.0000,50.0000,22.7131,3.4278,8.5080
