,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1,237.6991,2.7243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,2.7243,0.0000,0.0000
2,2,234.4309,5.4033,0.8732,0.0000,0.0000,0.0000,0.0000,0.0000,0.2710,0.0000,0.0143,0.0000,0.2802,0.0000,0.0147,0.0000,0.0000,1.6460,0.0147,0.0000,0.0143,0.0147,0.0000,0.0000,0.0000,50.0000,5.4548,0.0234,0.8717
3,3,230.2441,8.1832,2.2398,0.1312,0.0000,0.0000,0.0000,0.0000,0.6547,0.0302,0.0774,0.0000,0.4515,0.0000,0.0238,0.0000,0.0000,2.3779,0.0238,0.0000,0.0377,0.0238,0.0000,0.0000,0.0000,50.0000,7.8802,0.0523,1.9429
4,4,217.0413,10.2541,3.3273,0.4222,11.2628,0.6794,1.0038,0.0922,0.9194,0.0380,0.0981,0.0000,0.8575,0.0367,0.0466,0.0000,29.7469,3.1596,0.0466,0.6607,0.0523,0.0466,0.0000,0.0000,0.0000,50.0000,10.3668,0.7053,3.1514
5,5,209.9382,13.5439,5.7033,0.8406,11.2628,0.5042,1.1004,0.1765,1.6314,0.1164,0.2366,0.0000,1.6326,0.1485,0.1567,0.0148,29.7469,3.9111,0.0957,0.6607,0.0980,0.0957,0.0000,0.0000,0.0000,50.0000,12.5176,0.7781,4.3907
6,6,206.7212,11.7375,8.3628,1.5742,11.2628,0.3663,1.0849,0.3367,2.0235,0.1240,0.2974,0.0437,2.9451,0.3335,0.3181,0.0832,29.7469,4.5965,0.1806,0.6607,0.1227,0.1806,0.0000,0.0000,0.0000,50.0000,14.4370,0.8735,5.4243
7,7,202.8955,10.6162,10.0011,2.6182,11.2628,0.2957,1.0569,0.4414,2.5375,0.1012,0.3832,0.0733,4.5449,0.4172,0.7298,0.1905,29.7469,5.3580,0.2888,0.6607,0.1522,0.2888,0.0000,0.0000,0.0000,50.0000,16.5330,1.0022,6.1809
8,8,192.2936,17.5067,11.6044,3.8060,11.2628,0.2231,0.9496,0.6215,3.0698,0.1534,0.4624,0.1458,5.3459,0.3530,0.8846,0.2911,29.7469,5.9900,0.3387,0.6607,0.1871,0.3387,0.0000,0.0000,0.0000,50.0000,18.5950,1.0794,7.0888
9,9,180.4235,22.7778,14.6595,5.3114,11.2628,0.1436,0.8586,0.7806,3.7498,0.2195,0.5746,0.2154,6.8772,0.3654,1.2522,0.4372,29.7469,6.5834,0.4407,0.6607,0.2334,0.4407,0.0000,0.0000,0.0000,50.0000,20.4920,1.2134,7.7395
