,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,237.4874,2.5126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,2.5126,0.0000,0.0000
2,2.0000,231.9598,4.9799,0.6482,0.0000,2.0754,0.0251,0.1106,0.0000,0.0955,0.0000,0.0050,0.0000,0.0955,0.0000,0.0050,0.0000,29.0452,1.4724,0.0050,0.1106,0.0050,0.0050,0.0000,0.0000,0.0000,50.0000,5.1508,0.1206,0.7588
3,3.0000,227.7789,7.4975,1.9347,0.0754,2.0754,0.0151,0.1055,0.0151,0.2663,0.0101,0.0251,0.0000,0.1910,0.0000,0.0101,0.0000,29.0452,2.1106,0.0101,0.1106,0.0151,0.0101,0.0000,0.0000,0.0000,50.0000,7.5176,0.1357,1.7739
4,4.0000,222.2563,10.6834,3.6935,0.3518,2.0754,0.0101,0.0854,0.0402,0.3568,0.0151,0.0302,0.0000,0.3769,0.0050,0.0201,0.0000,29.0452,2.8593,0.0201,0.1106,0.0201,0.0201,0.0000,0.0000,0.0000,50.0000,10.0050,0.1508,2.8945
5,5.0000,214.4322,14.1206,6.2613,0.7638,2.0754,0.0050,0.0754,0.0553,0.8191,0.0653,0.1206,0.0000,1.0201,0.0905,0.0754,0.0201,29.0452,3.6834,0.0603,0.1106,0.0503,0.0603,0.0000,0.0000,0.0000,50.0000,12.2412,0.2211,4.1558
6,6.0000,210.8844,12.0653,9.0804,1.5377,2.0754,0.0050,0.0754,0.0553,1.1457,0.0804,0.1608,0.0201,2.2714,0.2161,0.2764,0.0503,29.0452,4.4171,0.1407,0.1106,0.0704,0.1407,0.0000,0.0000,0.0000,50.0000,14.2111,0.3216,5.1910
7,7.0000,207.2312,10.7236,10.8040,2.6985,2.0754,0.0050,0.0704,0.0603,1.5930,0.0704,0.2111,0.0352,3.5327,0.2663,0.5075,0.1156,29.0452,5.1206,0.2211,0.1106,0.0955,0.2211,0.0000,0.0000,0.0000,50.0000,16.1558,0.4271,5.9347
8,8.0000,195.6633,17.7286,12.1809,4.0754,2.0754,0.0050,0.0553,0.0754,2.0754,0.0704,0.2864,0.0804,4.4673,0.2613,0.6734,0.2261,29.0452,5.7387,0.2814,0.1106,0.1256,0.2814,0.0000,0.0000,0.0000,50.0000,18.2312,0.5176,6.7387
9,9.0000,162.5628,17.6281,9.8090,4.0704,25.2261,3.1457,5.1809,1.6231,2.7739,0.1558,0.4422,0.1457,5.6432,0.2764,0.9296,0.3869,56.5327,6.2864,0.3618,1.8844,0.1759,0.3618,0.0000,0.0000,0.0000,50.0000,20.1709,2.2965,7.3920
10,10.0000,151.3417,21.1307,12.7538,5.2261,25.2261,2.1960,5.3920,2.3618,3.4975,0.2161,0.6633,0.2462,7.3668,0.4171,1.3769,0.5879,56.5327,6.8693,0.4874,1.8844,0.2312,0.4874,0.0000,0.0000,0.0000,50.0000,21.7538,2.4774,7.9196
