,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1,237.2757,2.3009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,2.3009,0.0000,0.0000
2,2,233.4887,4.7575,0.6444,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0800,0.0000,-0.0042,0.0000,-0.0893,0.0000,-0.0047,0.0000,0.0000,1.2987,-0.0047,0.0000,-0.0042,-0.0047,0.0000,0.0000,0.0000,50.0000,4.8467,-0.0033,0.6459
3,3,223.0408,6.7726,1.5023,0.0497,3.9299,0.0950,0.2634,0.0000,0.0388,-0.0000,0.0030,0.0000,-0.0696,0.0000,-0.0037,0.0000,28.1931,1.9336,-0.0037,0.2198,0.0025,-0.0037,0.0000,0.0000,0.0000,50.0000,7.1449,0.2426,1.6048
4,4,217.2740,9.5967,3.1650,0.2686,3.9299,0.0670,0.2507,0.0169,0.1329,0.0049,0.0111,0.0000,0.1278,-0.0021,0.0070,0.0000,28.1931,2.7006,0.0070,0.2198,0.0080,0.0070,0.0000,0.0000,0.0000,50.0000,9.4292,0.2661,2.7233
5,5,209.6469,12.6185,5.3916,0.6030,3.9299,0.0459,0.2474,0.0448,0.3973,0.0240,0.0596,0.0000,0.7841,0.0458,0.0478,-0.0067,28.1931,3.4810,0.0455,0.2198,0.0250,0.0455,0.0000,0.0000,0.0000,50.0000,11.5323,0.3388,3.8670
6,6,206.3037,10.8891,7.9964,1.2856,3.9299,0.0272,0.2404,0.0683,0.5772,0.0324,0.0868,-0.0003,1.6483,0.1343,0.1493,0.0107,28.1931,4.1959,0.1005,0.2198,0.0362,0.1005,0.0000,0.0000,0.0000,50.0000,13.4959,0.4140,4.9141
7,7,202.1728,9.8290,9.4236,2.2843,3.9299,0.0105,0.2395,0.0852,0.9884,0.0253,0.1360,0.0121,2.8822,0.1911,0.3647,0.0732,28.1931,4.8866,0.1809,0.2198,0.0606,0.1809,0.0000,0.0000,0.0000,50.0000,15.4415,0.5269,5.6971
8,8,190.1707,16.4611,10.8069,3.3865,3.9299,0.0039,0.2019,0.1268,1.6441,0.0320,0.2448,0.0531,3.5796,0.1531,0.4710,0.1837,28.1931,5.5069,0.2250,0.2198,0.1033,0.2250,0.0000,0.0000,0.0000,50.0000,17.5321,0.6180,6.4825
9,9,177.0017,21.6677,13.6791,4.7203,3.9299,-0.0013,0.1555,0.1833,2.3640,0.0964,0.3538,0.1140,4.9032,0.1983,0.6915,0.3118,28.1931,6.0156,0.3118,0.2198,0.1518,0.3118,0.0000,0.0000,0.0000,50.0000,19.3321,0.7640,7.1874
10,10,140.1767,18.1536,10.6184,4.2308,27.0498,4.1451,6.3443,2.1491,3.1233,0.1808,0.6072,0.1898,6.8493,0.3641,1.1617,0.5441,53.7376,6.6841,0.4554,2.2056,0.2139,0.4554,0.0000,0.0000,0.0000,50.0000,21.0771,2.8240,7.7759
11,11,129.8363,21.1935,14.1027,5.6246,27.0498,2.9584,6.6578,3.0032,3.4758,0.1763,0.7666,0.2952,7.7788,0.3508,1.3433,0.7292,53.7376,7.1658,0.5217,2.2056,0.2458,0.5217,0.0000,0.0000,0.0000,50.0000,22.4117,2.9250,8.3704
