,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,237.5427,2.4573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,2.4573,0.0000,0.0000
2,2.0000,234.1407,4.8894,0.7688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1859,0.0050,0.0101,0.0000,0.0000,1.4171,0.0101,0.0000,0.0000,0.0101,0.0000,0.0000,0.0000,50.0000,4.9146,0.0101,0.7688
3,3.0000,222.4673,6.7638,1.4271,0.0955,7.9146,0.3417,0.5829,0.0050,0.0000,0.0000,0.0000,0.0000,0.3769,0.0050,0.0201,0.0000,59.8995,2.0905,0.0201,0.4824,0.0000,0.0201,0.0000,0.0000,0.0000,50.0000,7.3719,0.4623,1.7186
4,4.0000,217.5729,9.3518,3.1608,0.2663,7.9146,0.2663,0.6131,0.0503,0.0955,0.0000,0.0050,0.0000,0.6583,0.0050,0.0302,0.0101,59.8995,2.7889,0.0352,0.4824,0.0050,0.0352,0.0000,0.0000,0.0000,50.0000,9.4824,0.4824,2.8945
5,5.0000,210.8744,12.6080,5.2714,0.6935,7.9146,0.1960,0.5528,0.1809,0.2663,0.0201,0.0151,0.0000,1.2412,0.0603,0.0854,0.0201,59.8995,3.4724,0.0704,0.4824,0.0151,0.0704,0.0000,0.0000,0.0000,50.0000,11.6181,0.5276,3.9950
6,6.0000,207.7588,11.1407,8.1256,1.3166,7.9146,0.1407,0.5377,0.2513,0.5628,0.0603,0.0754,0.0050,1.8241,0.0854,0.1558,0.0452,59.8995,4.0201,0.1055,0.4824,0.0352,0.1055,0.0000,0.0000,0.0000,50.0000,13.8543,0.5829,5.1206
7,7.0000,204.2864,9.9548,10.1508,2.2412,7.9146,0.1005,0.5176,0.3116,0.7387,0.0402,0.1156,0.0101,3.0603,0.1156,0.3568,0.0854,59.8995,4.7387,0.1809,0.4824,0.0452,0.1809,0.0000,0.0000,0.0000,50.0000,15.9146,0.6683,6.0101
8,8.0000,193.0302,16.4221,11.3467,3.4221,7.9146,0.0854,0.4623,0.3819,1.7136,0.1005,0.3317,0.0653,3.9497,0.1307,0.4724,0.1709,59.8995,5.4975,0.2362,0.4824,0.1106,0.2362,0.0000,0.0000,0.0000,50.0000,17.9045,0.7889,6.7437
9,9.0000,181.1156,22.2513,14.0302,4.9146,7.9146,0.0503,0.4472,0.4322,2.0251,0.1156,0.4171,0.1558,4.9447,0.2010,0.6683,0.3166,59.8995,6.1106,0.3065,0.4824,0.1357,0.3065,0.0000,0.0000,0.0000,50.0000,19.9095,0.8844,7.3116
10,10.0000,125.0955,13.3518,6.6382,3.4573,55.5226,7.7538,11.4724,3.6432,3.0151,0.2663,0.6633,0.2764,6.6583,0.4724,1.1809,0.5327,114.4221,6.8693,0.4422,4.9648,0.2111,0.4422,0.0000,0.0000,0.0000,50.0000,21.8141,4.5729,8.0151
11,11.0000,117.4573,15.6131,9.1809,4.1809,55.5226,5.4573,12.3769,5.0352,3.3769,0.2261,0.6935,0.4271,7.6985,0.5779,1.4322,0.7437,114.4221,7.3568,0.5226,4.9648,0.2362,0.5226,0.0000,0.0000,0.0000,50.0000,23.0653,4.6784,8.5327
12,12.0000,108.1055,18.0151,11.8141,5.2814,55.5226,3.9045,12.2513,6.7136,4.1156,0.3216,0.8141,0.5779,9.1558,0.5678,1.8040,1.0352,114.4221,7.8392,0.6281,4.9648,0.2915,0.6281,0.0000,0.0000,0.0000,50.0000,24.1960,4.8392,8.9899
13,13.0000,105.0503,13.5427,14.5226,6.5829,55.5226,2.8040,11.6935,8.3719,4.4422,0.3015,1.0402,0.7487,10.8291,0.7387,2.2764,1.5327,114.4221,8.2362,0.7688,4.9648,0.3266,0.7688,0.0000,0.0000,0.0000,50.0000,25.2513,5.0151,9.4020
14,14.0000,102.0101,10.4171,15.3769,8.1759,55.5226,1.9950,11.0754,9.7990,5.1558,0.4020,1.2362,1.0452,12.2513,0.6784,2.7186,2.1407,114.4221,8.6884,0.8894,4.9648,0.3920,0.8894,0.0000,0.0000,0.0000,50.0000,26.1558,5.2010,9.6432
15,15.0000,91.1558,15.5628,15.3819,9.6583,55.5226,1.4623,10.1407,11.2663,6.3116,0.3920,1.4824,1.4623,13.5729,0.6734,3.1508,2.8040,114.4221,9.0955,1.0101,4.9648,0.4824,1.0101,0.0000,0.0000,0.0000,50.0000,27.2111,5.4121,9.7638
16,16.0000,82.2613,17.9799,17.0201,11.2814,55.5226,1.0553,9.3166,12.4975,6.8744,0.4673,1.8191,1.7940,14.5678,0.6834,3.4573,3.4020,114.4221,9.5126,1.1156,4.9648,0.5477,1.1156,0.0000,0.0000,0.0000,50.0000,28.0854,5.5729,9.8945
17,17.0000,54.4573,7.3769,4.5477,5.4774,78.6030,8.6332,22.6181,21.7035,7.1307,0.4824,2.0201,2.0251,16.0201,0.7940,3.9749,4.1357,147.8894,9.8894,1.2663,9.7688,0.5829,1.2663,0.0000,0.0000,0.0000,50.0000,28.9246,8.4070,9.8191
18,18.0000,51.2663,8.0653,6.0603,5.9648,78.6030,6.0201,22.2211,24.7136,7.2261,0.3668,1.9548,2.3116,16.0653,0.6884,3.6985,4.7739,147.8894,10.0352,1.2965,9.7688,0.5980,1.2965,0.0000,0.0000,0.0000,50.0000,29.4171,8.4322,9.8593
19,19.0000,47.2111,9.3869,7.1658,6.7889,78.6030,4.2211,21.0854,27.6482,7.2111,0.2412,1.8643,2.5427,16.3065,0.7085,3.6734,5.3417,147.8894,10.2412,1.3719,9.7688,0.6080,1.3719,0.0000,0.0000,0.0000,50.0000,29.8442,8.4724,9.7889
20,20.0000,46.6834,6.8342,8.3116,7.5176,78.6030,3.0704,19.4975,30.3869,7.1658,0.2563,1.8291,2.8090,16.4774,0.7286,3.6784,6.1508,147.8894,10.5276,1.4573,9.7688,0.6382,1.4573,0.0000,0.0000,0.0000,50.0000,30.2462,8.5327,9.7789
21,21.0000,46.7789,5.0352,8.6583,8.5729,78.6030,2.1658,17.6935,33.0955,7.2814,0.2462,1.8543,3.1809,15.8040,0.7085,3.6935,6.6281,147.8894,10.7286,1.5226,9.7688,0.6734,1.5226,0.0000,0.0000,0.0000,50.0000,30.7085,8.5477,9.6583
22,22.0000,44.3015,7.2663,8.9095,9.9749,78.6030,1.5226,15.9397,35.4925,6.4422,0.2161,1.6985,3.2010,15.2764,0.6131,3.5678,6.9749,147.8894,10.8241,1.5578,9.7688,0.6884,1.5578,0.0000,0.0000,0.0000,50.0000,31.1809,8.4774,9.3869
23,23.0000,41.5628,8.3970,9.5427,11.5528,78.6030,1.0352,14.2111,37.7085,6.2211,0.1709,1.5427,3.3216,14.7437,0.5377,3.4925,7.3568,147.8894,11.0352,1.6131,9.7688,0.6985,1.6131,0.0000,0.0000,0.0000,50.0000,31.5628,8.4472,9.1809
24,24.0000,77.5276,3.9899,2.3970,29.1508,42.6935,4.1106,16.7990,27.6533,5.4221,0.2412,1.5578,3.2312,13.6884,0.6432,3.6281,7.2663,183.4673,11.4573,1.7035,12.1608,0.7337,1.7035,0.0000,0.0000,0.0000,50.0000,32.3819,6.3467,6.8191
25,25.0000,76.5980,4.8643,3.2563,30.0553,42.6935,2.9548,15.7387,29.8693,5.0603,0.1407,1.4121,3.3367,12.8442,0.4673,3.4523,7.2563,183.4673,11.8492,1.7236,12.1608,0.7337,1.7236,0.0000,0.0000,0.0000,50.0000,33.1608,6.2613,6.9698
26,26.0000,76.0000,5.7990,3.9799,31.3065,42.6935,2.0201,14.5327,32.0101,4.5729,0.1809,1.3719,3.2211,11.5477,0.3568,3.1558,7.2513,183.4673,12.1558,1.7437,12.1608,0.7588,1.7437,0.0000,0.0000,0.0000,50.0000,33.9497,6.1457,7.0452
