,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,2.1591,2.1591,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.4756,0.8170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1591,0.0000,0.0000
2,2.0000,12.6665,5.0532,0.5876,0.0000,4.1510,0.0039,0.0148,0.0000,1.7553,0.0000,0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,8.9178,1.4852,0.0000,0.0120,0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,4.6089,0.0167,0.5701
3,3.0000,35.3587,8.4897,2.0865,0.0911,12.5695,0.0420,0.0850,0.0039,5.2327,0.0000,0.0097,0.0049,1.7325,0.0000,0.0048,0.0000,13.3773,2.0808,0.0048,0.0386,0.0145,0.0048,0.0000,0.0000,0.0000,0.0000,6.5847,0.0561,1.3620
4,4.0000,81.2286,16.5718,5.6451,0.3030,27.3170,0.1565,0.3200,0.0127,5.3918,0.0089,0.0136,0.0107,12.3555,0.0530,0.0687,0.0000,17.8371,2.5837,0.0373,0.0904,0.0155,0.0373,0.0000,0.0000,0.0000,0.0000,10.0837,0.1382,2.5900
5,5.0000,139.0729,25.2657,10.6016,0.7736,47.6641,0.4066,0.8976,0.0435,9.2017,0.0255,0.1732,0.0107,24.9629,0.1911,0.4086,0.0174,22.2090,3.2878,0.0848,0.1685,0.0295,0.0848,0.0000,0.0000,0.0000,0.0000,12.3515,0.2641,3.2042
6,6.0000,167.3171,16.8882,18.7733,1.7519,47.6641,0.2353,1.0019,0.1133,16.5011,0.1726,0.3085,0.0192,42.3248,0.4957,0.8491,0.0761,22.2090,4.3312,0.1525,0.1685,0.0568,0.1525,0.0000,0.0000,0.0000,0.0000,13.6513,0.3434,3.3347
7,7.0000,204.6499,11.3253,22.6678,3.2565,47.6641,0.1318,1.0080,0.1926,25.3957,0.2685,1.0610,0.1322,59.9343,0.5018,1.6179,0.1414,22.2090,5.1419,0.2241,0.1685,0.0994,0.2241,0.0000,0.0000,0.0000,0.0000,14.9354,0.4391,3.2257
8,8.0000,287.5777,23.2054,19.4997,6.3660,80.1411,0.3206,2.0930,0.4549,29.2401,0.2035,1.3342,0.2618,79.8762,0.4754,2.6051,0.5179,34.9605,6.1557,0.3042,0.2984,0.1161,0.3042,0.0000,0.0000,0.0000,0.0000,15.8965,0.6302,3.0981
9,9.0000,414.1752,35.7594,24.7957,8.7662,115.8694,0.8748,4.2471,1.1081,38.8084,0.4169,1.6333,0.5255,111.6855,0.9799,4.2028,1.2480,47.3147,6.4660,0.4569,0.4822,0.1606,0.4569,0.0000,0.0000,0.0000,0.0000,17.6165,0.9326,3.2577
