,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.0000,2.6217,2.6217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6480,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6217,0.0000,0.0000
2,0.0000,26.3773,4.8710,0.6953,0.0000,13.1847,0.0076,0.0399,0.0000,0.0000,0.0000,0.0000,0.0000,3.3643,0.0049,0.0098,0.0000,0.0491,1.1295,0.0098,0.0399,0.0000,0.0098,0.0000,0.0000,0.0000,0.0000,4.5192,0.0485,0.7425
3,0.0000,71.7404,9.9113,2.1107,0.0828,37.7912,0.1070,0.2080,0.0058,0.0000,0.0000,0.0000,0.0000,7.0936,0.0049,0.0201,0.0000,0.1453,1.8278,0.0201,0.1449,0.0000,0.0201,0.0000,0.0000,0.0000,0.0000,7.6997,0.1389,1.4279
4,0.0000,148.4053,15.5133,4.5289,0.3236,83.2958,0.3967,0.8075,0.0243,4.7356,0.0190,0.0340,0.0000,12.2397,0.0039,0.1086,0.0106,0.3970,2.5707,0.0359,0.3540,0.0151,0.0359,0.0000,0.0000,0.0000,0.0000,9.3507,0.3228,2.1771
5,0.0000,273.7383,20.6155,7.7732,0.7805,152.0830,1.1762,2.0710,0.1564,10.2328,0.2015,0.1225,0.0029,22.5701,0.1549,0.2470,0.0243,1.0250,3.1286,0.0726,0.6930,0.0359,0.0726,0.0000,0.0000,0.0000,0.0000,10.5450,0.6315,2.8092
6,0.0000,287.4058,14.5154,14.8300,1.4623,152.0830,0.7350,2.2563,0.3504,16.0196,0.3576,0.4100,0.0237,32.6073,0.2384,0.4348,0.0999,1.0250,3.4674,0.1095,0.6930,0.0599,0.1095,0.0000,0.0000,0.0000,0.0000,11.8771,0.6820,3.0559
7,0.0000,317.3937,11.1391,17.9607,2.4122,152.0830,0.4269,2.3794,0.5611,20.6711,0.2452,1.0185,0.0378,53.3682,0.1997,0.9295,0.1767,1.0250,4.1453,0.1802,0.6930,0.0808,0.1802,0.0000,0.0000,0.0000,0.0000,14.2267,0.7825,3.1593
8,0.0000,496.7091,22.5803,17.6409,3.4106,258.9428,1.1719,6.2307,1.3921,32.1396,0.2188,1.6222,0.1225,64.2076,0.2485,1.4126,0.3466,2.9256,4.8100,0.2242,1.3763,0.1266,0.2242,0.0000,0.0000,0.0000,0.0000,15.9134,1.2772,3.2882
9,0.0000,615.1771,35.0931,20.1881,4.6910,351.7747,2.8569,11.0370,3.1577,38.0655,0.1961,1.8360,0.3515,76.2355,0.4456,2.4723,0.6352,6.7366,5.2984,0.2854,2.1391,0.1543,0.2854,0.0000,0.0000,0.0000,0.0000,16.5577,1.7014,3.2841
10,0.0000,722.2629,40.1602,23.2966,5.8512,447.7312,6.2827,19.4070,6.0872,44.6001,0.3283,2.3623,0.6343,94.0407,0.9409,4.0171,1.1578,11.3580,6.0629,0.3847,3.0998,0.1896,0.3847,0.0000,0.0000,0.0000,0.0000,16.9243,2.1169,2.9980
11,0.0000,780.3770,45.4497,26.0934,7.0470,507.6204,8.9379,30.1320,10.3562,49.6773,0.5057,2.8208,1.0973,114.7961,1.7161,6.3908,2.1888,19.4925,6.6386,0.5063,4.1536,0.2209,0.5063,0.0000,0.0000,0.0000,0.0000,17.3986,2.4257,2.7316
12,0.0000,795.8495,48.3611,30.0349,8.4685,554.0860,11.1797,41.7625,16.9250,58.2410,0.7965,3.6502,1.5810,131.3335,2.3334,9.2490,3.4436,30.7521,7.2969,0.6210,5.2967,0.2708,0.6210,0.0000,0.0000,0.0000,0.0000,18.1652,2.6737,2.4713
13,0.0000,801.8825,29.5907,42.5779,11.8072,554.0860,6.6606,40.0900,23.1773,62.4465,0.8104,4.6003,2.3747,146.0500,2.5433,11.9805,5.1533,30.7521,8.0839,0.7272,5.2967,0.3020,0.7272,0.0000,0.0000,0.0000,0.0000,18.0996,2.7508,2.2492
14,0.0000,797.3555,18.8215,49.4368,17.2328,554.0860,4.1974,36.9666,30.1181,70.0671,0.9590,6.0041,3.8387,159.9007,2.1497,14.2464,8.2823,30.7521,8.4860,0.8234,5.2967,0.3566,0.8234,0.0000,0.0000,0.0000,0.0000,18.7909,2.7956,2.1868
15,0.0000,757.9255,34.6385,41.1481,19.1836,579.3683,4.6158,42.8193,41.4079,78.8235,0.7431,7.1554,5.4352,170.9894,1.8020,15.8921,11.9156,46.2234,8.9405,0.9066,6.2777,0.4128,0.9066,0.0000,0.0000,0.0000,0.0000,18.9656,2.9153,2.0877
16,0.0000,702.6608,39.7403,36.2114,20.5047,610.9097,7.8588,50.3033,56.3240,85.2065,0.7578,7.6488,7.2754,179.4288,1.8619,17.7765,15.4204,61.2223,9.4321,0.9801,7.1363,0.4649,0.9801,0.0000,0.0000,0.0000,0.0000,19.4245,2.8643,1.9061
17,0.0000,652.4320,41.2129,33.8768,21.8884,605.0790,9.9426,56.5069,70.3628,88.7068,0.8571,7.7035,9.3345,186.0754,1.7271,18.4997,19.5852,76.0564,9.9086,1.0439,7.7651,0.4931,1.0439,0.0000,0.0000,0.0000,0.0000,19.2819,2.7822,1.8454
18,0.0000,606.2141,38.8730,32.2293,22.6430,606.6850,10.5666,63.2943,86.9628,88.6154,0.8925,8.1298,11.3103,181.5320,2.0266,19.2658,24.9648,89.6613,10.2288,1.1108,8.6079,0.5289,1.1108,0.0000,0.0000,0.0000,0.0000,19.2421,2.6376,1.9044
19,0.0000,605.8836,37.2769,28.6676,26.7606,580.6350,11.9029,67.5744,101.6315,84.5155,0.6847,8.1136,13.6200,174.6741,2.2369,18.8869,31.0861,100.9030,10.5414,1.1590,8.7717,0.5465,1.1590,0.0000,0.0000,0.0000,0.0000,19.1212,2.7279,1.9762
20,0.0000,604.6457,21.0623,37.9237,31.7817,580.6350,7.1065,63.0361,118.5354,82.3936,0.6143,7.8331,15.6966,171.1005,1.8484,19.2242,36.8616,100.9030,10.8614,1.2307,8.7717,0.5701,1.2307,0.0000,0.0000,0.0000,0.0000,19.2756,2.7419,1.9394
21,0.0000,612.0156,13.1509,39.7614,37.3831,580.6350,4.0611,57.1651,134.9271,79.9527,0.5739,7.4327,17.7811,162.5209,1.3799,17.6284,42.6576,100.9030,11.1911,1.2298,8.7717,0.5883,1.2298,0.0000,0.0000,0.0000,0.0000,19.5726,2.7535,1.9636
22,0.0000,610.5315,20.4357,30.0278,48.9600,536.4062,3.7886,55.7803,150.4548,71.0690,0.4086,6.7372,19.4330,154.0445,1.0338,16.8591,47.8456,107.7499,11.2845,1.2710,9.0590,0.6031,1.2710,0.0000,0.0000,0.0000,0.0000,19.3868,2.8274,2.1594
23,0.0000,572.6641,21.7461,24.8316,62.9529,467.8265,4.7841,55.0755,164.7734,66.0480,0.3245,6.0578,21.1024,149.3622,1.0752,16.8834,52.7324,109.4831,11.4367,1.3617,9.2808,0.6155,1.3617,0.0000,0.0000,0.0000,0.0000,19.6503,2.6859,2.3282
24,0.0000,588.7273,22.1725,20.9701,94.8853,430.3407,4.7878,53.6758,172.2051,58.2011,0.4220,5.7553,23.6725,133.8090,1.0365,16.7138,56.8697,111.4101,11.7644,1.4288,9.3914,0.6380,1.4288,0.0000,0.0000,0.0000,0.0000,20.3705,2.7876,2.5135
25,0.0000,593.6928,18.9874,16.4938,132.9479,384.9815,6.1916,52.3758,174.9619,52.8640,0.2463,5.1812,24.5938,125.6142,1.0153,15.7086,57.6688,109.7914,12.0258,1.4801,9.1744,0.6438,1.4801,0.0000,0.0000,0.0000,0.0000,20.3879,2.9075,2.6632
26,0.0000,573.3487,16.2163,13.5975,171.2373,357.2010,6.0320,51.9493,177.9716,43.9807,0.2753,4.6815,23.1291,114.1623,1.0388,13.9369,58.9026,107.6183,12.2867,1.5156,9.0852,0.6506,1.5156,0.0000,0.0000,0.0000,0.0000,20.9046,2.8899,2.8069
27,0.0000,566.9354,9.7696,17.7456,185.1057,357.2010,3.4447,46.2765,196.8243,41.3772,0.3369,4.2771,23.2020,104.3436,0.9123,12.8450,59.4254,107.6183,12.6637,1.5278,9.0852,0.6677,1.5278,0.0000,0.0000,0.0000,0.0000,21.6672,2.9624,2.7735
28,0.0000,555.5949,7.1815,19.0445,197.4001,357.2010,2.0936,38.8511,217.0128,36.4110,0.2261,3.8817,21.9259,93.3241,0.6956,10.9382,61.2122,107.6183,13.2104,1.5484,9.0852,0.6741,1.5484,0.0000,0.0000,0.0000,0.0000,22.3072,3.0000,2.7921
