,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1,237.2814,2.2965,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.2646,0.5672,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,2.2965,0.0000,0.0000
2,2,233.5097,4.7315,0.6439,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0891,0.0000,-0.0047,0.0000,-0.0860,0.0000,-0.0045,0.0000,16.2646,1.3043,-0.0045,0.0000,-0.0047,-0.0045,0.0000,0.0000,0.0000,50.0000,4.8350,-0.0035,0.6453
3,3,227.6252,7.1294,1.7504,0.0488,0.4470,0.0034,0.0387,0.0000,0.0126,-0.0017,-0.0031,0.0000,-0.0676,0.0000,-0.0036,0.0000,28.2320,1.9383,-0.0036,0.0256,0.0008,-0.0036,0.0000,0.0000,0.0000,50.0000,7.1263,0.0494,1.6004
4,4,221.8197,10.0516,3.4359,0.3002,0.4470,0.0030,0.0359,-0.0031,0.1147,0.0008,0.0070,0.0000,0.0683,-0.0066,0.0037,0.0000,28.2320,2.6587,0.0037,0.0256,0.0066,0.0037,0.0000,0.0000,0.0000,50.0000,9.4328,0.0701,2.7250
5,5,213.5989,13.3816,5.7822,0.6947,0.4470,0.0037,0.0365,-0.0031,0.5098,0.0311,0.0635,0.0000,0.4974,0.0189,0.0334,-0.0033,28.2320,3.4343,0.0289,0.0256,0.0315,0.0289,0.0000,0.0000,0.0000,50.0000,11.5618,0.1325,3.9170
6,6,209.9240,11.4545,8.4685,1.4270,0.4470,0.0037,0.0255,0.0102,0.7645,0.0427,0.1020,-0.0035,1.4466,0.1033,0.1464,0.0139,28.2320,4.1504,0.0894,0.0256,0.0471,0.0894,0.0000,0.0000,0.0000,50.0000,13.5276,0.2151,4.9321
7,7,206.1112,10.2656,10.1426,2.4921,0.4470,0.0009,0.0255,0.0135,1.1912,0.0345,0.1530,0.0070,2.4080,0.1547,0.3306,0.0705,28.2320,4.8118,0.1536,0.0256,0.0721,0.1536,0.0000,0.0000,0.0000,50.0000,15.5881,0.3128,5.7155
8,8,181.0806,14.2072,9.1214,3.1855,13.2069,0.8466,2.2076,0.5253,1.6539,0.0328,0.2248,0.0288,3.1135,0.1615,0.4591,0.1539,46.4147,5.4486,0.1996,0.8725,0.1020,0.1996,0.0000,0.0000,0.0000,50.0000,17.6826,1.2447,6.5438
9,9,169.6454,19.3360,11.5590,4.3885,13.2069,0.5701,2.1873,0.8054,2.1596,0.0476,0.2617,0.0919,4.0290,0.1533,0.6130,0.2645,46.4147,6.0228,0.2595,0.8725,0.1331,0.2595,0.0000,0.0000,0.0000,50.0000,19.7066,1.3426,7.1991
10,10,146.2982,20.7959,12.3237,5.0707,24.1492,1.9192,4.6112,1.8201,2.6180,0.0884,0.3656,0.1236,5.2842,0.2789,0.8895,0.4559,56.7492,6.5294,0.3545,1.6694,0.1677,0.3545,0.0000,0.0000,0.0000,50.0000,21.5598,2.2886,7.8305
11,11,135.1943,23.8851,16.0753,6.7517,24.1492,1.3417,4.5009,2.4892,2.9578,0.0955,0.4590,0.1897,6.3266,0.3106,1.1725,0.6103,56.7492,6.9965,0.4321,1.6694,0.1938,0.4321,0.0000,0.0000,0.0000,50.0000,23.1229,2.4055,8.4751
12,12,121.3049,27.0855,19.6417,8.5627,24.1492,0.8641,4.3641,3.1158,3.8814,0.1759,0.7002,0.3605,8.0879,0.5400,1.7556,0.9652,56.7492,7.5232,0.5814,1.6694,0.2668,0.5814,0.0000,0.0000,0.0000,50.0000,24.3955,2.6471,9.0725
13,13,117.3773,19.6689,23.2645,10.5558,24.1492,0.6100,4.0122,3.7330,4.4456,0.2309,0.9425,0.5647,9.9815,0.9431,2.7405,1.6667,56.7492,8.0032,0.7869,1.6694,0.3201,0.7869,0.0000,0.0000,0.0000,50.0000,25.6160,2.9177,9.4986
14,14,112.8169,14.5611,24.6075,12.6073,24.1492,0.4470,3.6486,4.2746,5.1612,0.3146,1.2360,0.8505,12.1926,1.1278,3.7457,2.5103,56.7492,8.5576,1.0028,1.6694,0.3899,1.0028,0.0000,0.0000,0.0000,50.0000,26.9116,3.2067,9.7872
15,15,83.3098,15.0895,15.2099,10.2107,41.9294,2.8554,11.7932,9.5171,5.8628,0.3624,1.4470,1.2752,14.3107,1.0957,4.6153,3.5937,69.2274,9.0476,1.2043,3.4829,0.4597,1.2043,0.0000,0.0000,0.0000,50.0000,28.0944,5.2407,9.9374
16,16,74.6864,17.3733,16.3247,11.5704,41.9294,2.0456,10.9300,11.1944,6.3707,0.4213,1.6610,1.7035,15.5288,1.0031,4.9461,4.5169,69.2274,9.4060,1.3269,3.4829,0.5266,1.3269,0.0000,0.0000,0.0000,50.0000,29.0170,5.4351,10.0197
