,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,237.4874,2.5126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.0653,0.6884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,2.5126,0.0000,0.0000
2,2.0000,233.9598,5.0804,0.7588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0955,0.0000,0.0050,0.0000,0.0955,0.0000,0.0050,0.0000,17.0653,1.4724,0.0050,0.0000,0.0050,0.0050,0.0000,0.0000,0.0000,50.0000,5.1508,0.0101,0.7588
3,3.0000,228.5327,7.6231,1.9447,0.0905,1.0603,0.0452,0.1005,0.0000,0.3467,0.0151,0.0402,0.0000,0.1910,0.0000,0.0101,0.0000,29.0352,2.1558,0.0101,0.0603,0.0201,0.0101,0.0000,0.0000,0.0000,50.0000,7.5126,0.0905,1.7739
4,4.0000,222.8844,10.6583,3.7588,0.3869,1.0603,0.0302,0.1055,0.0101,0.5276,0.0201,0.0553,0.0000,0.4623,0.0151,0.0251,0.0000,29.0352,2.9095,0.0251,0.0603,0.0302,0.0251,0.0000,0.0000,0.0000,50.0000,9.8844,0.1156,2.9397
5,5.0000,214.9899,14.1156,6.2513,0.8241,1.0603,0.0251,0.1106,0.0101,1.0653,0.0854,0.1558,0.0000,1.1156,0.0905,0.0905,0.0101,29.0352,3.7035,0.0653,0.0603,0.0653,0.0653,0.0000,0.0000,0.0000,50.0000,12.0653,0.1910,4.1709
6,6.0000,211.5176,12.0503,9.0754,1.6281,1.0603,0.0251,0.0854,0.0352,1.3920,0.0905,0.2060,0.0201,2.2864,0.2111,0.2714,0.0452,29.0352,4.4372,0.1407,0.0603,0.0854,0.1407,0.0000,0.0000,0.0000,50.0000,14.0402,0.2864,5.1910
7,7.0000,207.8342,10.7437,10.8442,2.7387,1.0603,0.0201,0.0854,0.0402,1.9146,0.0754,0.2814,0.0402,3.4070,0.2613,0.5176,0.1357,29.0352,5.1156,0.2161,0.0603,0.1156,0.2161,0.0000,0.0000,0.0000,50.0000,16.0804,0.3920,5.9698
8,8.0000,183.7487,14.9246,9.7136,3.4724,15.3367,1.0503,2.6432,0.6683,2.4573,0.1005,0.3769,0.0804,4.2412,0.2613,0.6734,0.2513,47.2915,5.7588,0.2714,1.0151,0.1508,0.2714,0.0000,0.0000,0.0000,50.0000,18.2211,1.4070,6.7990
9,9.0000,172.5075,20.2010,12.2714,4.7688,15.3367,0.7236,2.6231,1.0151,3.0302,0.1156,0.4121,0.1608,5.3367,0.2563,0.8492,0.3920,47.2915,6.3317,0.3417,1.0151,0.1859,0.3417,0.0000,0.0000,0.0000,50.0000,20.2714,1.5126,7.4472
10,10.0000,149.9296,21.8191,13.1106,5.4925,26.5980,2.2261,5.2161,2.1407,3.5477,0.1960,0.5729,0.2060,6.7286,0.4221,1.1709,0.6231,57.6332,6.8492,0.4472,1.8392,0.2261,0.4472,0.0000,0.0000,0.0000,50.0000,22.1357,2.4824,8.0503
11,11.0000,138.7940,24.9196,17.0754,7.2513,26.5980,1.5779,5.0905,2.9146,3.9296,0.2010,0.6985,0.2965,7.8593,0.4673,1.5126,0.8141,57.6332,7.3266,0.5327,1.8392,0.2563,0.5327,0.0000,0.0000,0.0000,50.0000,23.6784,2.5980,8.6884
12,12.0000,124.9095,28.2211,20.7286,9.1558,26.5980,1.0553,4.9246,3.6030,4.9296,0.3015,0.9899,0.5126,9.8492,0.7688,2.2161,1.2362,57.6332,7.8643,0.7035,1.8392,0.3367,0.7035,0.0000,0.0000,0.0000,50.0000,24.9497,2.8492,9.2764
13,13.0000,121.0452,20.5829,24.5276,11.2312,26.5980,0.7487,4.5477,4.2864,5.5678,0.3819,1.3216,0.7688,11.8492,1.2111,3.3166,2.0151,57.6332,8.3668,0.9196,1.8392,0.4020,0.9196,0.0000,0.0000,0.0000,50.0000,26.1759,3.1307,9.6734
14,14.0000,116.6181,15.2814,25.9447,13.4121,26.5980,0.5528,4.1256,4.9045,6.3920,0.4724,1.6683,1.1156,14.1608,1.3920,4.4070,2.9548,57.6332,8.9296,1.1457,1.8392,0.4824,1.1457,0.0000,0.0000,0.0000,50.0000,27.4673,3.4372,9.9548
15,15.0000,87.0452,15.9196,16.2010,10.9849,44.7337,3.2362,12.8643,10.4221,7.1307,0.5126,1.8744,1.6382,16.5075,1.3518,5.3970,4.1809,70.1658,9.4322,1.3719,3.7236,0.5578,1.3719,0.0000,0.0000,0.0000,50.0000,28.6633,5.4925,10.0955
16,16.0000,78.2764,18.2915,17.4020,12.4623,44.7337,2.3367,11.9899,12.1960,7.6482,0.5678,2.1055,2.1407,17.6583,1.2412,5.7538,5.1960,70.1658,9.7990,1.4975,3.7236,0.6281,1.4975,0.0000,0.0000,0.0000,50.0000,29.5930,5.6784,10.1759
17,17.0000,62.6432,15.6482,13.7789,10.7437,52.9196,4.3719,16.6935,17.0704,8.1508,0.5025,2.3618,2.6533,18.7337,1.2312,5.9698,6.5276,76.3568,10.3015,1.6332,4.7739,0.7035,1.6332,0.0000,0.0000,0.0000,50.0000,30.4171,6.8593,10.2563
18,18.0000,55.7136,16.3417,15.5930,11.9497,52.9196,3.1206,15.7688,19.2462,8.5176,0.4724,2.3970,3.0854,19.5528,1.1709,6.3769,7.7739,76.3568,10.5678,1.7688,4.7739,0.7538,1.7688,0.0000,0.0000,0.0000,50.0000,31.0402,7.0201,10.3568
19,19.0000,49.2965,16.9045,16.7739,13.5075,52.9196,2.2764,14.5477,21.3116,8.3568,0.5377,2.5075,3.4724,20.1960,1.3518,7.0955,8.9447,76.3568,10.8693,1.9447,4.7739,0.8090,1.9447,0.0000,0.0000,0.0000,50.0000,31.5678,7.1759,10.3819
