,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.0000,2.1453,2.1453,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8562,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1453,0.0000,0.0000
2,0.0000,7.9552,5.0882,0.5908,0.0000,0.0000,0.0000,0.0000,0.0000,1.5923,0.0000,0.0044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5050,0.0000,0.0000,0.0044,0.0000,0.0000,0.0000,0.0000,0.0000,4.5895,0.0044,0.5569
3,0.0000,64.3961,7.8170,1.8033,0.0917,37.4449,0.1851,0.2776,0.0049,5.0224,0.0000,0.0096,0.0044,0.9707,0.0000,0.0027,0.0000,0.0165,2.0952,0.0027,0.1181,0.0139,0.0027,0.0000,0.0000,0.0000,0.0000,6.6120,0.1304,1.3400
4,0.0000,91.1137,15.3287,5.1095,0.2829,37.4449,0.1344,0.3370,0.0143,5.7633,0.0411,0.0458,0.0136,9.7843,0.0489,0.0570,0.0000,0.0165,2.5484,0.0299,0.1181,0.0184,0.0299,0.0000,0.0000,0.0000,0.0000,10.1682,0.1625,2.5609
5,0.0000,192.4439,23.8211,10.0878,0.7099,86.6267,0.3115,1.3543,0.0238,9.5487,0.0289,0.2615,0.0136,22.9166,0.2066,0.4243,0.0319,26.9502,3.2089,0.0807,0.2951,0.0323,0.0807,0.0000,0.0000,0.0000,0.0000,12.9261,0.3982,3.2781
6,0.0000,224.2321,16.0316,17.8395,1.6752,86.6267,0.1518,1.5116,0.0795,16.9277,0.1218,0.3843,0.0184,41.1669,0.5499,0.8907,0.0909,26.9502,4.3072,0.1518,0.2951,0.0587,0.1518,0.0000,0.0000,0.0000,0.0000,13.9963,0.4848,3.4287
7,0.0000,294.8483,10.4100,21.4275,3.0961,86.6267,0.0567,1.7092,0.1279,28.6624,0.2821,1.3223,0.1285,61.0836,0.5799,1.9718,0.1592,26.9502,5.0939,0.2356,0.2951,0.1117,0.2356,0.0000,0.0000,0.0000,0.0000,14.9065,0.6862,3.3324
8,0.0000,325.4284,22.9096,19.1153,6.5854,86.6267,0.0431,1.0332,0.4261,30.5923,0.1784,1.7456,0.2853,81.1302,0.4204,3.0437,0.5343,26.9502,6.0804,0.3125,0.2951,0.1227,0.3125,0.0000,0.0000,0.0000,0.0000,14.9975,0.7902,3.2468
9,0.0000,396.0844,34.0838,25.0757,8.6664,86.6267,0.0192,1.0699,0.5599,38.4223,0.3160,1.8586,0.6607,111.8184,0.9432,4.6129,1.4844,26.9502,6.4209,0.4634,0.2951,0.1600,0.4634,0.0000,0.0000,0.0000,0.0000,16.5151,0.9105,3.3095
10,0.0000,601.2412,42.9060,31.7146,10.6893,204.7212,6.3882,12.8801,3.3459,51.0747,0.3041,2.4941,0.8219,134.9823,1.6559,6.0662,2.4889,27.3596,7.0275,0.5944,0.9645,0.2187,0.5944,0.0000,0.0000,0.0000,0.0000,17.7194,1.6057,3.0380
11,0.0000,628.1970,51.5246,45.6300,14.9248,204.7212,3.3878,14.6882,5.0276,53.9673,0.5048,3.0693,1.2647,161.8950,2.8611,9.1271,4.1326,27.3596,7.4111,0.7320,0.9645,0.2395,0.7320,0.0000,0.0000,0.0000,0.0000,18.5574,1.7753,2.5954
12,0.0000,694.6421,68.9732,65.9992,20.8768,267.1151,5.3562,22.6282,8.4647,57.5097,0.7722,5.3832,1.8089,176.0941,2.9732,11.6558,6.5697,30.1884,7.8622,0.8274,1.3736,0.2881,0.8274,0.0000,0.0000,0.0000,0.0000,18.6278,2.2809,1.9821
13,0.0000,693.0454,44.6713,74.2259,31.4495,267.1151,2.6093,22.8537,11.8975,74.6042,1.7848,7.2536,3.2582,193.5022,3.4187,14.8838,9.6329,30.1884,9.1874,0.9621,1.3736,0.4058,0.9621,0.0000,0.0000,0.0000,0.0000,18.6784,2.4734,1.8144
14,0.0000,682.0460,27.9179,72.7302,43.5921,267.1151,1.7564,20.4531,15.3840,88.5671,2.0440,11.5990,5.6272,207.4647,3.1963,19.7247,13.3620,30.1884,9.2307,1.0603,1.3736,0.5371,1.0603,0.0000,0.0000,0.0000,0.0000,18.8359,2.5586,1.5689
15,0.0000,691.6504,45.7645,68.6484,51.7341,267.1151,1.1008,17.6359,20.2452,95.4824,1.3544,12.0614,8.7428,214.9596,2.5209,22.8307,20.6966,30.1884,10.7113,1.1510,1.3736,0.5852,1.1510,0.0000,0.0000,0.0000,0.0000,21.0395,2.7102,1.3849
