,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,216.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,211.6811,4.6791,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.7680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6791,0.0000,0.0000
2,2,205.5890,9.7978,1.3656,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0059,0.0000,0.0000,0.0000,0.0158,0.0000,60.3556,1.5208,0.0158,0.0000,0.0059,0.0158,0.0000,0.0000,0.0000,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0277,0.0000,1.3108
3,3,196.0491,16.8111,3.8980,0.2204,0.3648,0.0612,0.0345,0.0059,0.0000,0.0000,0.0128,0.0000,0.0000,0.0000,0.0596,0.0059,61.3281,2.3045,0.0620,0.0345,0.0128,0.0620,0.0000,0.0000,0.0000,73.9898,0.0000,0.0000,0.0000,0.0539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1569,0.0270,3.0241
4,4,181.9027,26.0951,7.9295,0.7977,1.1740,0.2011,0.2035,0.0153,0.0000,0.0000,0.0424,0.0000,0.0000,0.0000,0.1104,0.0296,63.1080,3.1001,0.1312,0.1857,0.0424,0.1312,0.0000,0.0000,0.0000,73.9037,0.0000,0.0000,0.0000,0.1843,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.0286,0.0921,4.8159
5,5,163.7983,36.2250,13.7599,1.7988,2.3383,0.5942,0.6249,0.0758,0.0000,0.0000,0.0784,0.0095,0.0000,0.0000,0.2149,0.0474,66.0156,3.8163,0.2494,0.5670,0.0831,0.2494,0.0000,0.0000,0.0000,73.7213,0.0000,0.0000,0.0000,0.4187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.5048,0.2093,6.4392
6,6,159.0342,28.3463,21.4186,3.4488,4.0811,1.3045,1.4685,0.2778,0.0000,0.0000,0.1401,0.0187,0.0000,0.0000,0.3595,0.0829,70.5390,4.5736,0.4252,1.3549,0.1512,0.4252,0.0000,0.0000,0.0000,73.3736,0.0000,0.0000,0.0000,0.8245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.7274,0.4123,7.9010
7,7,153.6867,22.7496,25.4041,6.1951,6.4265,1.6564,2.6356,0.7144,0.0000,0.0000,0.2022,0.0323,0.0000,0.0000,0.4981,0.1356,75.5757,5.2614,0.6108,2.3684,0.2236,0.6108,0.0000,0.0000,0.0000,72.9286,0.0000,0.0000,0.0000,1.3254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.9227,0.6627,8.9084
8,8,100.7978,20.0751,8.2596,3.6819,48.9145,10.1682,22.7461,6.8797,0.0000,0.0000,0.2843,0.0548,0.0000,0.0000,0.6422,0.2043,193.7932,5.9426,0.8174,16.5678,0.3240,0.8174,0.0000,0.0000,0.0000,64.7606,0.0000,0.0000,0.0000,9.8307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9816,4.9154,9.5792
9,9,86.5522,27.7831,12.5965,4.7366,49.6703,7.5248,22.8937,9.9201,0.0946,0.0000,0.2888,0.0785,0.0710,0.0177,0.6232,0.2869,195.6591,6.3488,0.8772,16.7847,0.3505,0.8772,0.0000,0.0000,0.0000,64.6079,0.0000,0.0000,0.0000,9.9819,0.0000,0.0000,0.0000,0.0118,0.0000,0.0000,0.0000,0.0118,31.9382,4.9953,10.1999
10,10,71.4420,33.2431,17.7307,6.1881,50.9797,6.1469,22.7275,13.0951,0.1342,0.0118,0.2866,0.1180,0.2646,0.0539,0.7105,0.3693,199.1883,6.7314,1.0248,17.4471,0.3797,1.0248,0.0000,0.0000,0.0000,64.2429,0.0000,0.0000,0.0000,10.3221,0.0000,0.0000,0.0000,0.0191,0.0000,0.0000,0.0000,0.0431,33.5904,5.1776,10.6698
11,11,56.6878,36.1895,23.3747,8.0931,52.4707,5.5304,22.6732,16.3940,0.1672,0.0241,0.3239,0.1549,0.3343,0.0450,0.7950,0.4746,203.9407,7.1700,1.1934,18.4858,0.4456,1.1934,0.0000,0.0000,0.0000,63.7525,0.0000,0.0000,0.0000,10.7974,0.0000,0.0000,0.0000,0.0255,0.0000,0.0000,0.0000,0.0536,35.0253,5.4213,10.9564
12,12,43.2509,37.0290,28.4823,10.5041,53.6873,5.1456,22.9034,19.9114,0.2446,0.0717,0.4307,0.1901,0.4653,0.1206,0.9500,0.6101,209.1104,7.6097,1.4006,20.0486,0.5302,1.4006,0.0000,0.0000,0.0000,63.1731,0.0000,0.0000,0.0000,11.3294,0.0000,0.0000,0.0000,0.0486,0.0000,0.0000,0.0000,0.0895,36.1969,5.7088,11.2364
13,13,37.9705,24.3070,30.8516,12.8376,58.0854,7.0779,25.1460,24.2609,0.2446,0.0430,0.4946,0.2442,0.5481,0.1020,1.1151,0.7202,227.1036,7.9853,1.6207,23.5099,0.6245,1.6207,0.0000,0.0000,0.0000,61.6563,0.0000,0.0000,0.0000,12.8233,0.0000,0.0000,0.0000,0.0486,0.0000,0.0000,0.0000,0.1043,36.9832,6.4614,11.4267
14,14,36.0207,16.9143,31.0105,15.8171,59.3514,6.1369,26.1521,28.7040,0.2446,0.0358,0.5635,0.3082,0.5810,0.0757,1.2251,0.8660,233.6809,8.3759,1.8422,25.7745,0.7508,1.8422,0.0000,0.0000,0.0000,60.9751,0.0000,0.0000,0.0000,13.5005,0.0000,0.0000,0.0000,0.0486,0.0000,0.0000,0.0000,0.1092,37.6112,6.8022,11.5108
15,15,15.6106,5.3659,3.7220,3.2987,76.4060,14.1721,51.5893,48.3446,0.2537,0.0374,0.6139,0.3873,0.6229,0.0553,1.3074,1.0251,291.3471,8.6969,2.0633,40.7448,0.8481,2.0633,0.0000,0.0000,0.0000,53.0857,0.0000,0.0000,0.0000,21.2128,0.0000,0.0000,0.0000,0.0540,0.0000,0.0000,0.0000,0.1140,38.3544,10.6611,11.4827
16,16,12.6053,6.4574,4.3839,3.6577,76.7000,10.4389,48.7494,55.3283,0.2946,0.0295,0.5549,0.4728,0.6493,0.0422,1.1619,1.2237,292.1941,8.7855,2.0961,40.9395,0.8662,2.0961,0.0000,0.0000,0.0000,52.9862,0.0000,0.0000,0.0000,21.2979,0.0000,0.0000,0.0000,0.0593,0.0000,0.0000,0.0000,0.1189,38.6692,10.7075,11.4073
17,17,10.0600,7.0319,5.3339,4.1321,76.6879,7.6493,45.2493,62.0865,0.3175,0.0341,0.4950,0.5614,0.6493,0.0380,1.0442,1.3596,293.1201,8.8837,2.1297,41.1801,0.8794,2.1297,0.0000,0.0000,0.0000,52.9233,0.0000,0.0000,0.0000,21.3586,0.0000,0.0000,0.0000,0.0646,0.0000,0.0000,0.0000,0.1189,38.9603,10.7402,11.2857
