,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,146.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,141.0240,2.9760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7255,0.0000,0.0000,0.0000,0.0000,145.1062,0.8938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8697,0.0000,0.0000
2,2.0000,137.2846,5.8838,0.8257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0020,0.0000,0.1523,1.4770,0.0020,0.0000,0.0060,0.0020,143.9178,1.8317,0.2485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,7.6413,0.0000,0.9519
3,3.0000,131.8537,9.4810,2.3727,0.0982,0.1242,0.0160,0.0160,0.0000,0.0000,0.0000,0.0160,0.0000,0.0000,0.0000,0.0220,0.0000,0.9138,2.2024,0.0240,0.0180,0.0240,0.0240,142.1162,3.0681,0.6673,0.0281,0.1042,0.0040,0.0020,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0020,0.0000,11.2565,0.0140,2.3808
4,4.0000,124.3347,13.8998,4.6453,0.3768,0.4770,0.0782,0.0882,0.0040,0.0000,0.0000,0.0321,0.0040,0.0000,0.0000,0.0561,0.0040,2.3226,2.8858,0.0701,0.0962,0.0521,0.0701,139.4008,4.6473,1.3367,0.1323,0.4269,0.0140,0.0160,0.0000,0.0000,0.0000,0.0160,0.0000,0.0000,0.0000,0.0080,0.0020,14.8156,0.0581,3.8818
5,5.0000,114.9439,18.6393,7.7896,0.9419,1.0180,0.1864,0.2725,0.0240,0.0000,0.0000,0.0501,0.0080,0.0000,0.0000,0.1122,0.0140,4.4549,3.6152,0.1563,0.3046,0.0782,0.1563,135.6573,6.5711,2.3687,0.3026,0.9519,0.0381,0.0561,0.0040,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0281,0.0020,18.0822,0.1343,5.4068
6,6.0000,111.8717,15.2585,11.6513,1.9058,1.8898,0.4068,0.5812,0.0922,0.0000,0.0000,0.0902,0.0180,0.0000,0.0000,0.2124,0.0220,7.7675,4.3627,0.2766,0.6553,0.1323,0.2766,133.9399,5.3968,3.8697,0.6333,1.8437,0.1022,0.1383,0.0100,0.0000,0.0000,0.0200,0.0040,0.0000,0.0000,0.0321,0.0100,21.1082,0.2665,6.7695
7,7.0000,108.9399,13.0060,14.0220,3.4188,2.5651,0.4449,0.9158,0.2345,0.0000,0.0000,0.1062,0.0361,0.0000,0.0000,0.2645,0.0461,10.5090,5.0441,0.3687,0.9940,0.1764,0.3687,132.4168,4.7134,4.7255,1.1303,2.5230,0.1363,0.2084,0.0541,0.0000,0.0000,0.0301,0.0040,0.0000,0.0000,0.0401,0.0180,24.2084,0.3727,7.8096
8,8.0000,94.5371,22.2605,15.1403,5.1142,3.8517,0.5411,1.4128,0.5291,0.0000,0.0000,0.1543,0.0521,0.0000,0.0000,0.3347,0.0721,14.7735,5.6914,0.4910,1.6132,0.2525,0.4910,126.0762,8.4589,5.1703,1.7234,3.8116,0.1643,0.3467,0.1182,0.0000,0.0000,0.0361,0.0100,0.0000,0.0000,0.0601,0.0240,27.1523,0.5671,8.4850
9,9.0000,80.0501,28.7214,18.7415,6.9539,4.9760,0.8236,2.0000,0.9018,0.0200,0.0000,0.1723,0.0721,0.0120,0.0020,0.4168,0.1363,19.6092,6.4269,0.6713,2.3507,0.3006,0.6713,118.6212,12.0481,6.6894,2.3567,5.1002,0.2465,0.5331,0.1924,0.0160,0.0000,0.0421,0.0140,0.0120,0.0020,0.0862,0.0401,29.9218,0.7816,9.1242
