,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,216.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,211.6320,4.0408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6180,0.0000,0.0000,0.0000,0.0000,73.8348,0.1033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1718,0.0000,0.0000
2,2,205.4725,8.6990,1.0698,0.0000,-0.0247,-0.0016,-0.0016,0.0000,0.0000,0.0000,-0.0016,0.0000,0.0000,0.0000,0.0013,0.0000,0.0495,1.2693,0.0013,-0.0016,-0.0016,0.0013,73.5680,0.2877,0.0202,0.0000,-0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4286,-0.0016,1.0599
3,3,195.8755,15.1277,3.2677,0.1091,0.0695,0.0081,0.0056,-0.0019,0.0000,0.0000,-0.0013,0.0000,0.0000,0.0000,0.0189,-0.0019,0.4515,1.9943,0.0205,0.0056,-0.0013,0.0205,73.2230,0.4773,0.0901,0.0003,0.0103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.5405,0.0052,2.6728
4,4,181.1871,24.3971,6.7683,0.5807,0.4362,0.0565,0.0489,-0.0003,0.0000,0.0000,0.0065,0.0000,0.0000,0.0000,0.0536,-0.0015,1.3758,2.7396,0.0570,0.0439,0.0065,0.0570,72.6751,0.7518,0.2130,0.0141,0.0638,-0.0015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.7326,0.0330,4.3364
5,5,162.1607,34.2410,12.3246,1.3778,1.5653,0.2954,0.3249,0.0231,0.0000,0.0000,0.0339,-0.0019,-0.0267,-0.0038,0.1350,0.0052,3.8215,3.3906,0.1515,0.3070,0.0356,0.1515,71.7373,1.1684,0.4024,0.0347,0.2515,-0.0007,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0038,0.0000,-0.0019,0.0000,20.5680,0.1360,6.0597
6,6,157.5229,26.9615,19.6942,2.8610,2.7847,0.7964,0.9962,0.1126,0.0000,0.0000,0.0771,0.0005,-0.0267,-0.0038,0.2103,0.0345,6.9968,4.0412,0.2623,0.8961,0.0844,0.2623,71.2484,0.9216,0.7148,0.0899,0.5362,-0.0007,0.0099,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0038,0.0000,-0.0015,0.0000,23.9511,0.2844,7.5705
7,7,152.1014,21.7132,23.4964,5.1772,4.8623,1.1596,2.0526,0.4706,0.0000,0.0000,0.1337,0.0066,-0.0267,-0.0038,0.3578,0.0635,11.9371,4.7299,0.4441,1.8624,0.1500,0.4441,70.6425,0.7335,0.8828,0.1876,0.9698,0.0038,0.0207,-0.0019,0.0000,0.0000,0.0000,0.0000,-0.0038,0.0000,-0.0007,0.0000,27.1908,0.5138,8.6226
8,8,123.6575,40.4441,25.4808,7.9754,7.0148,1.3061,3.0339,1.0297,0.0000,0.0000,0.1763,0.0288,-0.0202,-0.0036,0.4862,0.1086,17.0371,5.4317,0.6258,2.7707,0.2204,0.6258,68.8273,1.7432,0.9765,0.3144,1.3834,0.0079,0.0329,0.0055,0.0000,0.0000,-0.0019,0.0000,-0.0029,0.0000,0.0025,0.0000,30.2832,0.7427,9.3343
9,9,96.6367,51.4796,31.2180,10.7735,9.6332,2.1694,4.7722,2.0562,0.0000,0.0000,0.2606,0.0450,0.0185,-0.0029,0.7002,0.1675,24.6752,6.1396,0.9005,4.5226,0.3282,0.9005,66.6934,2.5467,1.3138,0.4319,2.0588,0.0213,0.0494,0.0206,0.0000,0.0000,-0.0007,0.0000,0.0021,-0.0019,0.0052,0.0000,32.9167,1.1212,9.9478
