,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,72.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,218.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,70.6890,1.5147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8161,0.0000,0.0000,0.0000,0.0000,217.6226,0.4883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9651,0.0000,0.0000
2,2,69.2290,2.6612,0.4498,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0059,0.0000,0.1124,1.4911,0.0059,0.0000,0.0000,0.0059,217.2050,0.8301,0.1574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7042,0.0000,0.5436
3,3,67.4479,3.7684,1.1860,0.0620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0127,0.0000,0.0000,0.0000,0.0158,0.0000,0.6117,2.2106,0.0215,0.0000,0.0157,0.0215,216.6043,1.2801,0.3554,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0059,0.0000,0.0000,0.0000,0.0095,0.0000,5.5089,0.0000,1.3143
4,4,65.1328,5.0684,2.1119,0.2108,0.0753,0.0175,0.0203,0.0059,0.0000,0.0000,0.0157,0.0000,0.0000,0.0000,0.0344,0.0000,1.1254,2.9232,0.0421,0.0253,0.0242,0.0421,215.7071,1.7376,0.7113,0.0596,0.2817,0.0059,0.0087,0.0000,0.0000,0.0000,0.0127,0.0000,0.0000,0.0000,0.0127,0.0000,7.4293,0.0211,2.2437
5,5,62.5438,6.1823,3.3160,0.5107,0.1478,0.0319,0.0523,0.0127,0.0000,0.0000,0.0186,0.0000,0.0000,0.0000,0.0735,0.0000,2.0642,3.7735,0.0874,0.0584,0.0296,0.0874,214.5903,2.2493,1.0725,0.1664,0.6031,0.0095,0.0095,0.0046,0.0000,0.0000,0.0158,0.0000,0.0000,0.0000,0.0214,0.0000,9.2200,0.0445,3.2136
6,6,61.2061,5.8187,4.5446,0.8792,0.2235,0.0571,0.0687,0.0384,0.0000,0.0000,0.0333,0.0000,0.0000,0.0000,0.1012,0.0243,3.4688,4.4985,0.1461,0.0896,0.0483,0.1461,213.9110,2.1219,1.5057,0.3004,0.9582,0.0127,0.0269,0.0046,0.0000,0.0000,0.0187,0.0059,0.0000,0.0000,0.0347,0.0095,10.9561,0.0711,3.9847
7,7,59.8824,5.3341,5.5278,1.3982,0.4177,0.0734,0.1652,0.0611,0.0000,0.0000,0.0603,0.0000,0.0000,0.0000,0.1445,0.0449,5.3529,5.3213,0.2175,0.2277,0.0775,0.2175,212.8633,1.9797,1.8408,0.5051,1.7453,0.0360,0.0753,0.0152,0.0000,0.0000,0.0215,0.0059,0.0000,0.0000,0.0448,0.0127,12.5948,0.1328,4.7580
8,8,56.4717,7.3268,6.1194,2.1001,0.5603,0.0721,0.2380,0.0956,0.0000,0.0000,0.0674,0.0095,0.0000,0.0000,0.1788,0.0620,7.0330,6.0452,0.2680,0.3135,0.0959,0.2680,211.0660,2.8156,2.0750,0.7505,2.3365,0.0400,0.0989,0.0407,0.0000,0.0000,0.0270,0.0095,0.0000,0.0000,0.0399,0.0213,14.2395,0.1790,5.2948
9,9,53.0010,8.7341,7.1522,2.8917,0.7449,0.1068,0.3179,0.1426,0.0000,0.0000,0.0815,0.0128,0.0000,0.0000,0.2150,0.0808,8.7939,6.7343,0.3353,0.4294,0.1123,0.3353,208.8450,3.6257,2.5046,1.0664,3.1536,0.0688,0.1330,0.0514,0.0000,0.0000,0.0215,0.0158,0.0000,0.0000,0.0484,0.0294,15.7805,0.2432,5.7705
