,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,72.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,218.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,68.7074,3.2926,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6894,0.0000,0.0000,0.0000,0.0000,214.9980,3.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2946,0.0000,0.0000
2,2.0000,64.9479,6.1182,0.9259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,1.4088,0.0120,0.0000,0.0020,0.0120,211.4168,5.7074,0.8697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0040,0.0000,12.4810,0.0000,1.5030
3,3.0000,60.6573,8.7295,2.4449,0.1363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0240,0.0000,0.0000,2.0822,0.0421,0.0000,0.0140,0.0421,207.1002,8.4088,2.3567,0.1102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,0.0000,0.0000,0.0000,0.0180,0.0000,18.3667,0.0000,3.5210
4,4.0000,55.6513,11.2385,4.5391,0.4910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0220,0.0000,0.0000,0.0000,0.0521,0.0060,0.0000,2.7916,0.1022,0.0000,0.0421,0.1022,201.4910,11.7395,4.2846,0.4208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0160,0.0040,0.0000,0.0000,0.0441,0.0000,24.0942,0.0000,5.4369
5,5.0000,50.2906,13.3467,7.0661,1.1122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0561,0.0020,0.0000,0.0000,0.1162,0.0100,0.0000,3.5571,0.2124,0.0000,0.0982,0.2124,194.8417,15.1002,6.9679,0.9639,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0341,0.0060,0.0000,0.0000,0.0762,0.0100,29.4269,0.0000,7.1503
6,6.0000,47.9018,12.0321,9.7515,2.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0842,0.0040,0.0000,0.0000,0.1824,0.0341,0.0000,4.1884,0.3687,0.0000,0.1523,0.3687,192.2265,13.3467,10.3727,1.8377,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0561,0.0080,0.0000,0.0000,0.1343,0.0180,34.4309,0.0000,8.4890
7,7.0000,45.7014,10.7595,11.7675,3.3407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1122,0.0120,0.0000,0.0000,0.2545,0.0521,0.0000,4.8978,0.5651,0.0000,0.2164,0.5651,189.4509,12.2445,12.7174,3.2365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0782,0.0140,0.0000,0.0000,0.2164,0.0421,39.4068,0.0000,9.4269
8,8.0000,39.1122,14.2325,13.1443,4.9279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1443,0.0281,0.0000,0.0000,0.3186,0.0922,0.0000,5.6613,0.7475,0.0000,0.3066,0.7475,179.8557,18.4008,14.3647,4.9078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1022,0.0321,0.0000,0.0000,0.2786,0.0581,44.1283,0.0000,10.0601
9,9.0000,33.0200,16.2886,15.3968,6.5511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1703,0.0461,0.0000,0.0000,0.3888,0.1383,0.0000,6.3908,0.9699,0.0000,0.3908,0.9699,169.3487,23.7255,17.4248,6.8838,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1263,0.0481,0.0000,0.0000,0.3467,0.0962,48.5010,0.0000,10.5651
